Field Listing :: Citizenship :: The World Factbook - Central Intelligence Agency

This entry provides information related to the acquisition and exercise of citizenship; it includes four subfields:
citizenship by birth describes the acquisition of citizenship based on place of birth, known as Jus soli, regardless of the citizenship of parents.
citizenship by descent only describes the acquisition of citizenship based on the principle of Jus sanguinis, or by descent, where at least one parent is a citizen of the state and being born within the territorial limits of the state is not required. The majority of countries adhere to this practice. In some cases, citizenship is conferred through the father or mother exclusively.
dual citizenship recognized indicates whether a state permits a citizen to simultaneously hold citizenship in another state. Many states do not permit dual citizenship and the voluntary acquisition of citizenship in another country is grounds for revocation of citizenship. Holding dual citizenship makes an individual legally obligated to more than one state and can negate the normal consular protections afforded to citizens outside their original country of citizenship.
residency requirement for naturalization lists the length of time an applicant is required to live in a state before applying for naturalization. In most countries citizenship can be acquired through the legal process of naturalization. The requirements for naturalization vary by state but generally include no criminal record, good health, economic wherewithal, and a period of authorized residency in the state. This time period can vary enormously among states and is often used to make the acquisition of citizenship difficult or impossible.

| Country | Citizenship |
| --- | --- |
| **Afghanistan** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must have been born in - and continuously lived in - Afghanistan |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Albania** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Albania |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 5 years |
| **Algeria** | *citizenship by birth:* no |
| | *citizenship by descent only:* the mother must be a citizen of Algeria |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 7 years |
| **American Samoa** | see United States |
| | *Note:* in accordance with US Code Title 8, Section 1408, persons born in American Samoa are US nationals but not US citizens |
| **Andorra** | *citizenship by birth:* no |
| | *citizenship by descent only:* the mother must be an Andorran citizen or the father must have been born in Andorra and both parents maintain permanent residence in Andorra |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 25 years |
| **Angola** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Angola |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Anguilla** | see United Kingdom |
| **Antigua and Barbuda** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 7 years |
| **Argentina** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 2 years |
| **Armenia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Armenia |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 3 years |
| **Aruba** | see the Netherlands |
| **Ashmore and Cartier Islands** | see Australia |
| **Australia** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen or permanent resident of Australia |
| | *dual citizenship recognized:* yes |
| | *residency requirement for naturalization:* 4 years |
| **Austria** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Austria |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 10 years |
| **Azerbaijan** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 5 years |
| **Bahamas, The** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of The Bahamas |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 6-9 years |
| **Bahrain** | *citizenship by birth:* no |
| | *citizenship by descent only:* the father must be a citizen of Bahrain |
| | *dual citizenship recognized:* no |
| | *residency requirement for naturalization:* 25 years; 15 years for Arab nationals |
| **Bangladesh** | *citizenship by birth:* no |
| | *citizenship by descent only:* at least one parent must be a citizen of Bangladesh |
| | *dual citizenship recognized:* yes, but limited to select countries |
| | *residency requirement for naturalization:* 5 years |
| **Barbados** | *citizenship by birth:* yes |
| | *citizenship by descent only:* yes |
