FIELD LISTING :: CRUDE OIL - IMPORTS

This entry is the total amount of crude oil imported, in barrels per day (bbl/day).

| Country | CRUDE OIL - IMPORTS(BBL/DAY) |
| --- | --- |
| **Afghanistan** | 0 bbl/day (2013 est.) |
| **Albania** | 0 bbl/day (2013 est.) |
| **Algeria** | 2,920 bbl/day (2013 est.) |
| **American Samoa** | 0 bbl/day (2013 est.) |
| **Angola** | 0 bbl/day (2013 est.) |
| **Antigua and Barbuda** | 0 bbl/day (2013 est.) |
| **Argentina** | 7,460 bbl/day (2013 est.) |
| **Armenia** | 0 bbl/day (2013 est.) |
| **Aruba** | 0 bbl/day (2013 est.) |
| **Australia** | 332,800 bbl/day (2015 est.) |
| **Austria** | 165,300 bbl/day (2015 est.) |
| **Azerbaijan** | 0 bbl/day (2013 est.) |
| **Bahamas, The** | 0 bbl/day (2013 est.) |
| **Bahrain** | 219,100 bbl/day (2013 est.) |
| **Bangladesh** | 23,660 bbl/day (2013 est.) |
| **Barbados** | 0 bbl/day (2013 est.) |
| **Belarus** | 439,200 bbl/day (2013 est.) |
| **Belgium** | 715,000 bbl/day (2015 est.) |
| **Belize** | 0 bbl/day (2013 est.) |
| **Benin** | 0 bbl/day (2013 est.) |
| **Bermuda** | 0 bbl/day (2014 est.) |
| **Bhutan** | 0 bbl/day (2013 est.) |
| **Bolivia** | 0 bbl/day (2013 est.) |
| **Bosnia and Herzegovina** | 20,690 bbl/day (2013 est.) |
| **Botswana** | 0 bbl/day (2013 est.) |
| **Brazil** | 394,400 bbl/day (2013 est.) |
| **British Virgin Islands** | 0 bbl/day (2013 est.) |
| **Brunei** | 0 bbl/day (2014 est.) |
| **Bulgaria** | 129,300 bbl/day (2013 est.) |
| **Burkina Faso** | 0 bbl/day (2013 est.) |
| **Burma** | 57 bbl/day (2013 est.) |
| **Burundi** | 0 bbl/day (2013 est.) |
| **Cabo Verde** | 0 bbl/day (2013 est.) |
| **Cambodia** | 0 bbl/day (2013 est.) |
| **Cameroon** | 37,600 bbl/day (2013 est.) |
| **Canada** | 581,300 bbl/day (2015 est.) |
| **Cayman Islands** | 0 bbl/day (2013 est.) |
| **Central African Republic** | 0 bbl/day (2013 est.) |
| **Chad** | 0 bbl/day (2013 est.) |
| **Chile** | 165,900 bbl/day (2015 est.) |
| **China** | 6.167 million bbl/day (2014 est.) |
| **Colombia** | 0 bbl/day (2013 est.) |
| **Comoros** | 0 bbl/day (2013 est.) |
| **Congo, Democratic Republic of the** | 0 bbl/day (2013 est.) |
| **Congo, Republic of the** | 0 bbl/day (2013 est.) |
| **Cook Islands** | 0 bbl/day (2013 est.) |
| **Costa Rica** | 0 bbl/day (2013 est.) |
| **Cote d'Ivoire** | 74,960 bbl/day (2013 est.) |
| **Croatia** | 37,300 bbl/day (2014 est.) |
| **Cuba** | 111,200 bbl/day (2013 est.) |
| **Cyprus** | 0 bbl/day (2013 est.) |
| **Czechia** | 142,500 bbl/day (2015 est.) |
| **Denmark** | 86,480 bbl/day (2015 est.) |
| **Djibouti** | 0 bbl/day (2013 est.) |
| **Dominica** | 0 bbl/day (2013 est.) |
| **Dominican Republic** | 27,660 bbl/day (2013 est.) |
| **Ecuador** | 0 bbl/day (2013 est.) |
| **Egypt** | 59,600 bbl/day (2013 est.) |
| **El Salvador** | 9,940 bbl/day (2013 est.) |
| **Equatorial Guinea** | 0 bbl/day (2013 est.) |
| **Eritrea** | 0 bbl/day (2013 est.) |
| **Estonia** | 0 bbl/day (2015 est.) |
| **Ethiopia** | 0 bbl/day (2013 est.) |
| **Falkland Islands (Islas Malvinas)** | 0 bbl/day (2013 est.) |
| **Faroe Islands** | 0 bbl/day (2013 est.) |
| **Fiji** | 0 bbl/day (2013 est.) |
| **Finland** | 226,100 bbl/day (2015 est.) |
| **France** | 1.174 million bbl/day (2015 est.) |
| **French Polynesia** | 0 bbl/day (2013 est.) |
| **Gabon** | 0 bbl/day (2013 est.) |
| **Gambia, The** | 0 bbl/day (2013 est.) |
| **Georgia** | 0 bbl/day (2013 est.) |
| **Germany** | 1.844 million bbl/day (2015 est.) |
| **Ghana** | 26,040 bbl/day (2013 est.) |
| **Gibraltar** | 0 bbl/day (2013 est.) |
| **Greece** | 549,500 bbl/day (2015 est.) |
| **Greenland** | 0 bbl/day (2013 est.) |
| **Grenada** | 0 bbl/day (2013 est.) |
| **Guam** | 0 bbl/day (2013 est.) |
| **Guatemala** | 0 bbl/day (2013 est.) |
| **Guinea-Bissau** | 0 bbl/day (2013 est.) |
| **Guinea** | 0 bbl/day (2013 est.) |
| **Guyana** | 0 bbl/day (2013 est.) |
| **Haiti** | 0 bbl/day (2013 est.) |
| **Honduras** | 0 bbl/day (2013 est.) |
| **Hong Kong** | 0 bbl/day (2013 est.) |
| **Hungary** | 134,700 bbl/day (2015 est.) |
| **Iceland** | 0 bbl/day (2015 est.) |
| **India** | 3.785 million bbl/day (2013 est.) |
| **Indonesia** | 463,000 bbl/day (2013 est.) |
| **Iran** | 87,440 bbl/day (2013 est.) |
| **Iraq** | 0 bbl/day (2013 est.) |
| **Ireland** | 74,690 bbl/day (2013 est.) |
