Field Listing :: Crude oil - production :: The World Factbook - Central Intelligence Agency

This entry is the total amount of crude oil produced, in barrels per day (bbl/day).

| Country | Crude oil - production |
| --- | --- |
| **Afghanistan** | 0 bbl/day (2017 est.) |
| **Albania** | 16,000 bbl/day (2017 est.) |
| **Algeria** | 1.306 million bbl/day (2017 est.) |
| **American Samoa** | 0 bbl/day (2017 est.) |
| **Andorra** | 0 bbl/day (2016) |
| **Angola** | 1.666 million bbl/day (2017 est.) |
| **Antigua and Barbuda** | 0 bbl/day (2017 est.) |
| **Argentina** | 479,400 bbl/day (2017 est.) |
| **Armenia** | 0 bbl/day (2017 est.) |
| **Aruba** | 0 bbl/day (2017 est.) |
| **Australia** | 263,000 bbl/day (2017 est.) |
| **Austria** | 14,260 bbl/day (2017 est.) |
| **Azerbaijan** | 789,300 bbl/day (2017 est.) |
| **Bahamas, The** | 0 bbl/day (2017 est.) |
| **Bahrain** | 45,000 bbl/day (2017 est.) |
| **Bangladesh** | 3,666 bbl/day (2017 est.) |
| **Barbados** | 1,000 bbl/day (2017 est.) |
| **Belarus** | 32,000 bbl/day (2017 est.) |
| **Belgium** | 0 bbl/day (2017 est.) |
| **Belize** | 2,000 bbl/day (2017 est.) |
| **Benin** | 0 bbl/day (2017 est.) |
| **Bermuda** | 0 bbl/day (2017 est.) |
| **Bhutan** | 0 bbl/day (2017 est.) |
| **Bolivia** | 59,330 bbl/day (2017 est.) |
| **Bosnia and Herzegovina** | 0 bbl/day (2017 est.) |
| **Botswana** | 0 bbl/day (2017 est.) |
| **Brazil** | 2.622 million bbl/day (2017 est.) |
| **British Virgin Islands** | 0 bbl/day (2017 est.) |
| **Brunei** | 100,600 bbl/day (2017 est.) |
| **Bulgaria** | 1,000 bbl/day (2017 est.) |
| **Burkina Faso** | 0 bbl/day (2017 est.) |
| **Burma** | 12,000 bbl/day (2017 est.) |
| **Burundi** | 0 bbl/day (2017 est.) |
| **Cabo Verde** | 0 bbl/day (2017 est.) |
| **Cambodia** | 0 bbl/day (2017 est.) |
| **Cameroon** | 75,720 bbl/day (2017 est.) |
| **Canada** | 3.977 million bbl/day (2017 est.) |
| **Cayman Islands** | 0 bbl/day (2017 est.) |
| **Central African Republic** | 0 bbl/day (2017 est.) |
| **Chad** | 128,000 bbl/day (2017 est.) |
| **Chile** | 3,244 bbl/day (2017 est.) |
| **China** | 3.838 million bbl/day (2017 est.) |
| **Colombia** | 853,600 bbl/day (2017 est.) |
| **Comoros** | 0 bbl/day (2017 est.) |
| **Congo, Democratic Republic of the** | 19,160 bbl/day (2017 est.) |
| **Congo, Republic of the** | 244,200 bbl/day (2017 est.) |
| **Cook Islands** | 0 bbl/day (2017 est.) |
| **Costa Rica** | 0 bbl/day (2017 est.) |
| **Cote d'Ivoire** | 54,000 bbl/day (2017 est.) |
| **Croatia** | 14,000 bbl/day (2017 est.) |
| **Cuba** | 50,000 bbl/day (2017 est.) |
| **Curacao** | 0 bbl/day (2017 est.) |
| **Cyprus** | 0 bbl/day (2017 est.) |
| **Czechia** | 2,000 bbl/day (2017 est.) |
| **Denmark** | 137,100 bbl/day (2017 est.) |
| **Djibouti** | 0 bbl/day (2017 est.) |
| **Dominica** | 0 bbl/day (2017 est.) |
| **Dominican Republic** | 0 bbl/day (2017 est.) |
| **Ecuador** | 531,300 bbl/day (2017 est.) |
| **Egypt** | 589,400 bbl/day (2017 est.) |
| **El Salvador** | 0 bbl/day (2017 est.) |
| **Equatorial Guinea** | 188,300 bbl/day (2017 est.) |
| **Eritrea** | 0 bbl/day (2017 est.) |
| **Estonia** | 0 bbl/day (2017 est.) |
| **Eswatini** | 0 bbl/day (2017 est.) |
| **Ethiopia** | 0 bbl/day (2017 est.) |
| **European Union** | 1.488 million bbl/day (2016 est.) |
| **Falkland Islands (Islas Malvinas)** | 0 bbl/day (2017 est.) |
| **Faroe Islands** | 0 bbl/day (2017 est.) |
| **Fiji** | 0 bbl/day (2017 est.) |
| **Finland** | 0 bbl/day (2017 est.) |
| **France** | 15,170 bbl/day (2017 est.) |
| **French Polynesia** | 0 bbl/day (2017 est.) |
| **Gabon** | 198,800 bbl/day (2017 est.) |
