CIA - The World Factbook -- Field Listing - Electricity - exports

| Country | Electricity - exports (kWh) |
| --- | --- |
| **Afghanistan** | 0 kWh (2007 est.) |
| **Albania** | 0 kWh (2007 est.) |
| **Algeria** | 300 million kWh (2006 est.) |
| **American Samoa** | 0 kWh (2007 est.) |
| **Andorra** | NA kWh |
| **Angola** | 0 kWh (2007 est.) |
| **Antigua and Barbuda** | 0 kWh (2007 est.) |
| **Argentina** | 2.628 billion kWh (2007 est.) |
| **Armenia** | 322.6 million kWh; note - exports an unknown quantity to Georgia; includes exports to Nagorno-Karabakh region in Azerbaijan (2007 est.) |
| **Aruba** | 0 kWh (2007 est.) |
| **Australia** | 0 kWh (2007 est.) |
| **Austria** | 15.51 billion kWh (2007 est.) |
| **Azerbaijan** | 800 million kWh (2007 est.) |
| **Bahamas, The** | 0 kWh (2007 est.) |
| **Bahrain** | 0 kWh (2007 est.) |
| **Bangladesh** | 0 kWh (2007 est.) |
| **Barbados** | 0 kWh (2007 est.) |
| **Belarus** | 5.789 billion kWh (2006 est.) |
| **Belgium** | 9.035 billion kWh (2007 est.) |
| **Belize** | 0 kWh (2007 est.) |
| **Benin** | 0 kWh (2007 est.) |
| **Bermuda** | 0 kWh (2007 est.) |
| **Bhutan** | 3.644 billion kWh (2007 est.) |
| **Bolivia** | 0 kWh (2007 est.) |
| **Bosnia and Herzegovina** | 5.123 billion kWh (2006 est.) |
| **Botswana** | 0 kWh (2007 est.) |
| **Brazil** | 2.034 billion kWh (2007 est.) |
| **British Virgin Islands** | 0 kWh (2007 est.) |
| **Brunei** | 0 kWh (2007 est.) |
| **Bulgaria** | 7.534 billion kWh (2007 est.) |
| **Burkina Faso** | 0 kWh (2007 est.) |
| **Burma** | 0 kWh (2007 est.) |
| **Burundi** | 0 kWh (2007 est.) |
| **Cambodia** | 0 kWh (2007 est.) |
| **Cameroon** | 0 kWh (2007 est.) |
| **Canada** | 50.12 billion kWh (2007 est.) |
| **Cape Verde** | 0 kWh (2007 est.) |
| **Cayman Islands** | 0 kWh (2007 est.) |
| **Central African Republic** | 0 kWh (2007 est.) |
| **Chad** | 0 kWh (2007 est.) |
| **Chile** | 0 kWh (2007 est.) |
| **China** | 14.04 billion kWh (2007 est.) |
| **Colombia** | 876.7 million kWh (2007 est.) |
| **Comoros** | 0 kWh (2007 est.) |
| **Congo, Democratic Republic of the** | 1.799 billion kWh (2006 est.) |
| **Congo, Republic of the** | 0 kWh (2007 est.) |
| **Cook Islands** | 0 kWh (2007 est.) |
| **Costa Rica** | 39.55 million kWh (2007 est.) |
| **Cote d'Ivoire** | 1.066 billion kWh (2006 est.) |
| **Croatia** | 3.306 billion kWh (2006 est.) |
| **Cuba** | 0 kWh (2007 est.) |
| **Cyprus** | 0 kWh (2007 est.) |
| **Czech Republic** | 26.36 billion kWh (2007 est.) |
| **Denmark** | 11.38 billion kWh (2007 est.) |
| **Djibouti** | 0 kWh (2007 est.) |
| **Dominica** | 0 kWh (2007 est.) |
| **Dominican Republic** | 0 kWh (2007 est.) |
| **Ecuador** | 38.53 million kWh (2006 est.) |
| **Egypt** | 557 million kWh (2006 est.) |
| **El Salvador** | 8.64 million kWh (2007 est.) |
| **Equatorial Guinea** | 0 kWh (2007 est.) |
| **Eritrea** | 0 kWh (2007 est.) |
| **Estonia** | 3.179 billion kWh (2007 est.) |
| **Ethiopia** | 0 kWh (2007 est.) |
| **European Union** | NA kWh |
| **Falkland Islands (Islas Malvinas)** | 0 kWh (2007 est.) |
| **Faroe Islands** | 0 kWh (2007 est.) |
| **Fiji** | 0 kWh (2007 est.) |
| **Finland** | 2.86 billion kWh (2007 est.) |
| **France** | 67.6 billion kWh (2007 est.) |
| **French Polynesia** | 0 kWh (2007 est.) |
| **Gabon** | 0 kWh (2007 est.) |
| **Gambia, The** | 0 kWh (2007 est.) |
| **Gaza Strip** | 0 kWh (2005) |
| **Georgia** | 635 million kWh (2007 est.) |
| **Germany** | 62.51 billion kWh (2007 est.) |
| **Ghana** | 755 million kWh (2006 est.) |
| **Gibraltar** | 0 kWh (2007 est.) |
| **Greece** | 269 million kWh (2007 est.) |
| **Greenland** | 0 kWh (2007 est.) |
| **Grenada** | 0 kWh (2007 est.) |
| **Guam** | 0 kWh (2007 est.) |
| **Guatemala** | 131.9 million kWh (2007 est.) |
| **Guernsey** | 0 kWh (2002) |
| **Guinea** | 0 kWh (2007 est.) |
| **Guinea-Bissau** | 0 kWh (2007 est.) |
| **Guyana** | 0 kWh (2007 est.) |
| **Haiti** | 0 kWh (2007 est.) |
| **Honduras** | 0 kWh (2007 est.) |
| **Hong Kong** | 4.035 billion kWh (2007 est.) |
| **Hungary** | 10.69 billion kWh (2007 est.) |
| **Iceland** | 0 kWh (2007 est.) |
| **India** | 378 million kWh (2006 est.) |
| **Indonesia** | 0 kWh (2007 est.) |
| **Iran** | 2.775 billion kWh (2006 est.) |
| **Iraq** | 0 kWh (2007) |
| **Ireland** | 82 million kWh (2007 est.) |
| **Israel** | 1.844 billion kWh (2006 est.) |
| **Italy** | 2.64 billion kWh (2007 est.) |
| **Jamaica** | 0 kWh (2007 est.) |
| **Japan** | 0 kWh (2007 est.) |
| **Jordan** | 13 million kWh (2006 est.) |
| **Kazakhstan** | 3.528 billion kWh (2007 est.) |
| **Kenya** | 58.3 million kWh (2007 est.) |
| **Kiribati** | 0 kWh (2007 est.) |
| **Korea, North** | 0 kWh (2007 est.) |
| **Korea, South** | 0 kWh (2007 est.) |
| **Kuwait** | 0 kWh (2007 est.) |
| **Kyrgyzstan** | 2.387 billion kWh (2007 est.) |
| **Laos** | 547 million kWh (2006 est.) |
| **Latvia** | 1.676 billion kWh (2007 est.) |
| **Lebanon** | 0 kWh (2007 est.) |
| **Lesotho** | 0 kWh (2007 est.) |
| **Liberia** | 0 kWh (2007 est.) |
| **Libya** | 0 kWh (2007 est.) |
| **Lithuania** | 7.217 billion kWh (2007 est.) |
| **Luxembourg** | 2.887 billion kWh (2007 est.) |
| **Macau** | 0 kWh (2007 est.) |
| **Macedonia** | 0 kWh (2007 est.) |
| **Madagascar** | 0 kWh (2007 est.) |
| **Malawi** | 0 kWh (2007 est.) |
| **Malaysia** | 2.524 billion kWh (2006 est.) |
| **Maldives** | 0 kWh (2007 est.) |
| **Mali** | 0 kWh; note - recent hydropower developments may be providing electricity to Senegal and Mauritania (2007 est.) |
| **Malta** | 0 kWh (2007 est.) |
| **Mauritania** | 0 kWh (2007 est.) |
| **Mauritius** | 0 kWh (2007 est.) |
| **Mexico** | 1.278 billion kWh (2007 est.) |
| **Micronesia, Federated States of** | 0 kWh (2002) |
| **Moldova** | 229 million kWh (2006 est.) |
| **Mongolia** | 10 million kWh (2007 est.) |
| **Montenegro** | 0 kWh (2005) |
| **Montserrat** | 0 kWh (2007 est.) |
