CIA - The World Factbook 2002 -- Field Listing - Electricity - production by source

| Country | Electricity - production by source (%) |
| --- | --- |
| **Afghanistan** | *fossil fuel:* 36% |
| | *hydro:* 64% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Albania** | *fossil fuel:* 3% |
| | *hydro:* 97% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Algeria** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **American Samoa** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Andorra** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Angola** | *fossil fuel:* 40% |
| | *hydro:* 60% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Anguilla** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Antigua and Barbuda** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Argentina** | *fossil fuel:* 52% |
| | *hydro:* 41% |
| | *nuclear:* 7% |
| | *other:* 0% (2000) |
| **Armenia** | *fossil fuel:* 36% |
| | *hydro:* 31% |
| | *nuclear:* 32% |
| | *other:* 0% (2000) |
| **Aruba** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Australia** | *fossil fuel:* 90% |
| | *hydro:* 8% |
| | *nuclear:* 0% |
| | *other:* 2% (2000) |
| **Austria** | *fossil fuel:* 28% |
| | *hydro:* 69% |
| | *nuclear:* 0% |
| | *other:* 3% (2000) |
| **Azerbaijan** | *fossil fuel:* 91% |
| | *hydro:* 9% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Bahamas, The** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Bahrain** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Bangladesh** | *fossil fuel:* 92% |
| | *hydro:* 8% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Barbados** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Belarus** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Belgium** | *fossil fuel:* 40% |
| | *hydro:* 1% |
| | *nuclear:* 58% |
| | *other:* 1% (2000) |
| **Belize** | *fossil fuel:* 58% |
| | *hydro:* 42% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Benin** | *fossil fuel:* 17% |
| | *hydro:* 83% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Bermuda** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Bhutan** | *fossil fuel:* 0% |
| | *hydro:* 100% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Bolivia** | *fossil fuel:* 48% |
| | *hydro:* 50% |
| | *nuclear:* 0% |
| | *other:* 2% (2000) |
| **Bosnia and Herzegovina** | *fossil fuel:* 38% |
| | *hydro:* 62% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Botswana** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Brazil** | *fossil fuel:* 6% |
| | *hydro:* 89% |
| | *nuclear:* 1% |
| | *other:* 4% (2000) |
| **British Virgin Islands** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (1999) |
| **Brunei** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Bulgaria** | *fossil fuel:* 48% |
| | *hydro:* 8% |
| | *nuclear:* 44% |
| | *other:* 0% (2000) |
| **Burkina Faso** | *fossil fuel:* 71% |
| | *hydro:* 29% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Burma** | *fossil fuel:* 83% |
| | *hydro:* 17% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Burundi** | *fossil fuel:* 1% |
| | *hydro:* 99% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Cambodia** | *fossil fuel:* 62% |
| | *hydro:* 38% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Cameroon** | *fossil fuel:* 3% |
| | *hydro:* 97% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Canada** | *fossil fuel:* 25% |
| | *hydro:* 61% |
| | *nuclear:* 12% |
| | *other:* 2% (2000) |
| **Cape Verde** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Cayman Islands** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Central African Republic** | *fossil fuel:* 20% |
| | *hydro:* 80% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Chad** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Chile** | *fossil fuel:* 51% |
| | *hydro:* 46% |
| | *nuclear:* 0% |
| | *other:* 2% (2000) |
| **China** | *fossil fuel:* 82% |
| | *hydro:* 17% |
| | *nuclear:* 1% |
| | *other:* 0% (2000) |
| **Christmas Island** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Cocos (Keeling) Islands** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Colombia** | *fossil fuel:* 26% |
| | *hydro:* 73% |
| | *nuclear:* 0% |
| | *other:* 1% (2000) |
| **Comoros** | *fossil fuel:* 89% |
| | *hydro:* 11% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Congo, Democratic Republic of the** | *fossil fuel:* 2% |
| | *hydro:* 98% |
| | *nuclear:* 0% |
| | *other:* 0% (1999) |
| **Congo, Republic of the** | *fossil fuel:* 1% |
| | *hydro:* 99% |
| | *nuclear:* 0% |
| | *other:* 0% (1999) |
| **Cook Islands** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Costa Rica** | *fossil fuel:* 1% |
| | *hydro:* 83% |
| | *nuclear:* 0% |
| | *other:* 16% (2000) |
| **Cote d'Ivoire** | *fossil fuel:* 75% |
| | *hydro:* 25% |
| | *nuclear:* 0% |
| | *other:* 0% (1999) |
| **Croatia** | *fossil fuel:* 45% |
| | *hydro:* 55% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Cuba** | *fossil fuel:* 95% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 5% (2000) |
| **Cyprus** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Czech Republic** | *fossil fuel:* 78% |
| | *hydro:* 3% |
| | *nuclear:* 19% |
| | *other:* 1% (2000) |
| **Denmark** | *fossil fuel:* 84% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 16% (2000) |
| **Djibouti** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Dominica** | *fossil fuel:* 48% |
| | *hydro:* 52% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Dominican Republic** | *fossil fuel:* 87% |
| | *hydro:* 13% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **East Timor** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% |
| **Ecuador** | *fossil fuel:* 25% |
| | *hydro:* 75% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Egypt** | *fossil fuel:* 77% |
| | *hydro:* 23% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **El Salvador** | *fossil fuel:* 42% |
| | *hydro:* 36% |
| | *nuclear:* 0% |
| | *other:* 22% (2000) |
| **Equatorial Guinea** | *fossil fuel:* 91% |
| | *hydro:* 9% |
| | *nuclear:* 0% |
| | *other:* 0% (2000) |
| **Eritrea** | *fossil fuel:* 100% |
