CIA - The World Factbook -- Field Listing - Electricity - production by source

| Country | Electricity - production by source (%) |
| --- | --- |
| **Afghanistan** | *fossil fuel:* 36.3% |
| | *hydro:* 63.7% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Albania** | *fossil fuel:* 2.9% |
| | *hydro:* 97.1% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Algeria** | *fossil fuel:* 99.7% |
| | *hydro:* 0.3% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **American Samoa** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Andorra** | *fossil fuel:* 0% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% |
| **Angola** | *fossil fuel:* 36.4% |
| | *hydro:* 63.6% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Anguilla** | *fossil fuel:* NA% |
| | *hydro:* NA% |
| | *nuclear:* NA% |
| | *other:* NA% |
| **Antigua and Barbuda** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Argentina** | *fossil fuel:* 52.2% |
| | *hydro:* 40.8% |
| | *nuclear:* 6.7% |
| | *other:* 0.2% (2001) |
| **Armenia** | *fossil fuel:* 42.3% |
| | *hydro:* 27% |
| | *nuclear:* 30.7% |
| | *other:* 0% (2001) |
| **Aruba** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Australia** | *fossil fuel:* 90.8% |
| | *hydro:* 8.3% |
| | *nuclear:* 0% |
| | *other:* 0.9% (2001) |
| **Austria** | *fossil fuel:* 29.3% |
| | *hydro:* 67.2% |
| | *nuclear:* 0% |
| | *other:* 3.5% (2001) |
| **Azerbaijan** | *fossil fuel:* 89.7% |
| | *hydro:* 10.3% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Bahamas, The** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Bahrain** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Bangladesh** | *fossil fuel:* 93.7% |
| | *hydro:* 6.3% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Barbados** | *fossil fuel:* 100% |
| | *hydro:* 0% |
| | *nuclear:* 0% |
| | *other:* 0% (2001) |
| **Belarus** | *fossil fuel:* 99.5% |
| | *hydro:* 0.1% |
| | *nuclear:* 0% |
