CIA -- The World Factbook -- GDP - real growth rate

| Country | Background |
| --- | --- |
| **Afghanistan** | NA% |
| **Albania** | 7.5% (2000 est.) |
| **Algeria** | 5% (2000 est.) |
| **American Samoa** | NA% |
| **Andorra** | NA% |
| **Angola** | 4.9% (2000 est.) |
| **Anguilla** | 7% (1999 est.) |
| **Antigua and Barbuda** | 4.6% (1999 est.) |
| **Argentina** | 0.8% (2000 est.) |
| **Armenia** | 5% (2000 est.) |
| **Aruba** | 3.5% (2000 est.) |
| **Australia** | 4.7% (2000 est.) |
| **Austria** | 3.1% (2000 est.) |
| **Azerbaijan** | 11.4% (2000 est.) |
| **Bahamas, The** | 4.5% (2000 est.) |
| **Bahrain** | 5% (2000 est.) |
| **Bangladesh** | 5.3% (2000 est.) |
| **Barbados** | 2.8% (2000 est.) |
| **Belarus** | 4% (2000 est.) |
| **Belgium** | 4.1% (2000 est.) |
| **Belize** | 4% (2000 est.) |
| **Benin** | 5% (2000 est.) |
| **Bermuda** | 1.5% (2000 est.) |
| **Bhutan** | 6% (2000 est.) |
| **Bolivia** | 2.5% (2000 est.) |
| **Bosnia and Herzegovina** | 8% (2000 est.) |
| **Botswana** | 6% (2000 est.) |
| **Brazil** | 4.2% (2000 est.) |
| **British Virgin Islands** | 6% (2000 est.) |
| **Brunei** | 3% (2000 est.) |
| **Bulgaria** | 5% (2000 est.) |
| **Burkina Faso** | 5% (2000 est.) |
| **Burma** | 4.9% (2000 est.) |
| **Burundi** | 1.8% (2000 est.) |
| **Cambodia** | 4% (2000 est.) |
| **Cameroon** | 4.4% (2000 est.) |
| **Canada** | 4.3% (2000 est.) |
| **Cape Verde** | 6% (2000 est.) |
| **Cayman Islands** | 4.9% (1999 est.) |
| **Central African Republic** | 3.5% (2000 est.) |
| **Chad** | 4% (2000 est.) |
| **Chile** | 5.5% (2000 est.) |
| **China** | 8% (2000 est.) |
| **Christmas Island** | NA% |
| **Cocos (Keeling) Islands** | NA% |
| **Colombia** | 3% (2000 est.) |
| **Comoros** | 0.5% (2000 est.) |
| **Congo, Democratic Republic of the** | -15% (2000 est.) |
| **Congo, Republic of the** | 3.8% (2000 est.) |
| **Cook Islands** | NA% |
| **Costa Rica** | 3% (2000 est.) |
| **Cote d'Ivoire** | -0.3% (2000 est.) |
| **Croatia** | 3.2% (2000 est.) |
| **Cuba** | 5.6% (2000 est.) |
| **Cyprus** | *Greek Cypriot area:* 4.2% (2000 est.); Turkish Cypriot area: 4.9% (1999 est.) |
| **Czech Republic** | 2.5% (2000 est.) |
| **Denmark** | 2.8% (2000 est.) |
| **Djibouti** | 2% (2000 est.) |
| **Dominica** | 0.5% (2000 est.) |
| **Dominican Republic** | 8% (2000 est.) |
| **Ecuador** | 0.8% (2000 est.) |
| **Egypt** | 5% (2000 est.) |
| **El Salvador** | 2.5% (2000 est.) |
| **Equatorial Guinea** | 12% (2000 est.) |
| **Eritrea** | -1% (2000 est.) |
| **Estonia** | 6.4% (2000 est.) |
| **Ethiopia** | 2% (2000 est.) |
| **Falkland Islands (Islas Malvinas)** | 1% (FY95/96 est.) |
| **Faroe Islands** | 5% (2000 est.) |
| **Fiji** | -8% (1999 est.) |
| **Finland** | 5.6% (2000 est.) |
| **France** | 3.1% (2000 est.) |
| **French Guiana** | NA% |
| **French Polynesia** | 2.5% (1997 est.) |
| **Gabon** | 1.2% (2000 est.) |
| **Gambia, The** | 4.9% (2000 est.) |
| **Gaza Strip** | -7.5% (2000 est.) |
| **Georgia** | 1.9% (2000 est.) |
| **Germany** | 3% (2000 est.) |
| **Ghana** | 3% (2000 est.) |
| **Gibraltar** | NA% |
| **Greece** | 3.8% (2000 est.) |
| **Greenland** | NA% |
| **Grenada** | 7% (2000 est.) |
| **Guadeloupe** | NA% |
| **Guam** | NA% |
| **Guatemala** | 3% (2000 est.) |
| **Guernsey** | 5.7% (1999 est.) |
| **Guinea** | 5% (2000 est.) |
| **Guinea-Bissau** | 7.6% (2000 est.) |
| **Guyana** | 3% (2000 est.) |
| **Haiti** | 1.2% (2000 est.) |
| **Honduras** | 5% (2000 est.) |
| **Hong Kong** | 10% (2000 est.) |
| **Hungary** | 5.5% (2000 est.) |
| **Iceland** | 4.3% (2000 est.) |
| **India** | 6% (2000 est.) |
| **Indonesia** | 4.8% (2000 est.) |
| **Iran** | 3% (2000 est.) |
| **Iraq** | 15% (2000 est.) |
| **Ireland** | 9.9% (2000 est.) |
| **Israel** | 5.9% (2000 est.) |
| **Italy** | 2.7% (2000 est.) |
| **Jamaica** | 0.2% (2000 est.) |
| **Japan** | 1.3% (2000 est.) |
| **Jersey** | NA% |
| **Jordan** | 2% (2000 est.) |
| **Kazakhstan** | 10.5% (2000 est.) |
| **Kenya** | 0.4% (2000 est.) |
