CIA -- The World Factbook -- Heliports

| Country | Background |
| --- | --- |
| **Afghanistan** | 3 (2000 est.) |
| **Albania** | 1 (2000 est.) |
| **Algeria** | 1 (2000 est.) |
| **Antarctica** | 27 stations have helicopter landing facilities (helipads) (2001 est.) |
| **Austria** | 1 (2000 est.) |
| **Bahamas, The** | 1 (2000 est.) |
| **Bahrain** | 1 (2000 est.) |
| **Belgium** | 1 (2000 est.) |
| **Bosnia and Herzegovina** | 4 (2000 est.) |
| **Brunei** | 3 (2000 est.) |
| **Bulgaria** | 1 (2000 est.) |
| **Burma** | 1 (2000 est.) |
| **Cambodia** | 3 (2000 est.) |
| **Canada** | 18 (2000 est.) |
| **Croatia** | 1 (2000 est.) |
| **Cyprus** | 7 (2000 est.) |
| **Czech Republic** | 1 (2000 est.) |
| **Ecuador** | 1 (2000 est.) |
| **Egypt** | 2 (2000 est.) |
| **El Salvador** | 1 (2000 est.) |
| **France** | 3 (2000 est.) |
| **Germany** | 59 (2000 est.) |
| **Greece** | 2 (2000 est.) |
| **Holy See (Vatican City)** | 1 (2000 est.) |
| **Hong Kong** | 2 (2000 est.) |
| **Hungary** | 5 (2000 est.) |
| **India** | 16 (2000 est.) |
| **Indonesia** | 4 (2000 est.) |
| **Iran** | 11 (2000 est.) |
| **Iraq** | 4 (2000 est.) |
| **Israel** | 2 (2000 est.) |
| **Italy** | 4 (2000 est.) |
| **Japan** | 16 (2000 est.) |
| **Jordan** | 1 (2000 est.) |
| **Korea, South** | 203 (2000 est.) |
| **Kuwait** | 3 (2000 est.) |
| **Luxembourg** | 1 (2000 est.) |
| **Malaysia** | 1 (2000 est.) |
| **Mexico** | 2 (2000 est.) |
| **Monaco** | 1 (shuttle service between the international airport at Nice, France, and Monaco's heliport at Fontvieille) |
| **Morocco** | 1 (2000 est.) |
| **Netherlands** | 1 (2000 est.) |
| **New Caledonia** | 6 (2000 est.) |
| **Nigeria** | 1 (2000 est.) |
| **Northern Mariana Islands** | 1 (2000 est.) |
| **Norway** | 1 (2000 est.) |
| **Oman** | 1 (2000 est.) |
| **Pakistan** | 8 (2000 est.) |
| **Papua New Guinea** | 2 (2000 est.) |
| **Philippines** | 1 (2000 est.) |
| **Poland** | 3 (2000 est.) |
| **Qatar** | 1 (2000 est.) |
| **Romania** | 1 (2000 est.) |
| **Saudi Arabia** | 5 (2000 est.) |
| **Sierra Leone** | 1 (2000 est.) |
| **Singapore** | 1 (2000 est.) |
| **Spain** | 2 (2000 est.) |
| **Sudan** | 1 (2000 est.) |
| **Sweden** | 1 (2000 est.) |
| **Syria** | 2 (2000 est.) |
| **Thailand** | 2 (2000 est.) |
| **Turkey** | 2 (2000 est.) |
| **Uganda** | 1 (2000 est.) |
| **United Arab Emirates** | 2 (2000 est.) |
| **United Kingdom** | 11 (2000 est.) |
| **United States** | 131 (2000 est.) |
| **Venezuela** | 1 (2000 est.) |
| **Western Sahara** | 1 (2000 est.) |
| **Yugoslavia** | 2 (2000 est.) |
| **Taiwan** | 3 (2000 est.) |


