CIA - The World Factbook 2002 -- Field Listing - Heliports

| Country | Heliports |
| --- | --- |
| **Afghanistan** | 5 (2002) |
| **Albania** | 1 (2002) |
| **Algeria** | 1 (2002) |
| **Antarctica** | 27 stations have helicopter landing facilities (helipads) (2002) |
| **Austria** | 1 (2002) |
| **Bahamas, The** | 1 (2002) |
| **Bahrain** | 1 (2002) |
| **Belgium** | 1 (2002) |
| **Bosnia and Herzegovina** | 5 (2002) |
| **Brunei** | 3 (2002) |
| **Bulgaria** | 1 (2002) |
| **Burma** | 1 (2002) |
| **Cambodia** | 2 (2002) |
| **Canada** | 12 (2002) |
| **Colombia** | 1 (2002) |
| **Congo, Democratic Republic of the** | 1 (2002) |
| **Croatia** | 1 (2002) |
| **Cyprus** | 10 (2002) |
| **Czech Republic** | 2 (2002) |
| **East Timor** | 1 (2002) |
| **Ecuador** | 1 (2002) |
| **Egypt** | 2 (2002) |
| **El Salvador** | 1 (2002) |
| **France** | 3 (2002) |
| **Germany** | 40 (2002) |
| **Greece** | 7 (2002) |
| **Holy See (Vatican City)** | 1 (2002) |
| **Hong Kong** | 2 (2002) |
| **Hungary** | 5 (2002) |
| **India** | 19 (2002) |
| **Indonesia** | 9 (2002) |
| **Iran** | 13 (2002) |
| **Iraq** | 5 (2002) |
| **Israel** | 3 (2002) |
| **Italy** | 4 (2002) |
| **Japan** | 15 (2002) |
| **Jordan** | 2 (2002) |
| **Korea, South** | 204 (2002) |
| **Kuwait** | 3 (2002) |
| **Libya** | 1 (2002) |
| **Luxembourg** | 1 (2002) |
| **Malaysia** | 1 (2002) |
| **Mexico** | 2 (2002) |
| **Monaco** | 1 (shuttle service between the international airport at Nice, France, and Monaco's heliport at Fontvieille) (2002) |
| **Morocco** | 1 (2002) |
| **Netherlands** | 1 (2002) |
| **New Caledonia** | 5 (2002) |
| **New Zealand** | 1 (2002) |
| **Nigeria** | 1 (2002) |
| **Northern Mariana Islands** | 1 (2002) |
| **Oman** | 1 (2002) |
| **Pakistan** | 13 (2002) |
| **Papua New Guinea** | 2 (2002) |
| **Philippines** | 2 (2002) |
| **Poland** | 3 (2002) |
| **Qatar** | 1 (2002) |
| **Romania** | 1 (2002) |
| **Saudi Arabia** | 5 (2002) |
| **Serbia and Montenegro** | 4 (2002) |
| **Sierra Leone** | 2 (2002) |
| **Slovakia** | 1 (2002) |
| **Spain** | 7 (2002) |
| **Sudan** | 2 (2002) |
| **Sweden** | 2 (2002) |
| **Switzerland** | 1 (2002) |
| **Syria** | 7 (2002) |
| **Taiwan** | 3 (2002) |
| **Thailand** | 2 (2002) |
| **Turkey** | 8 (2002) |
| **United Arab Emirates** | 2 (2002) |
| **United Kingdom** | 11 (2002) |
| **United States** | 149 (2002) |
| **Venezuela** | 1 (2002) |

This page was last updated on 19 March 2003
 
