CIA - The World Factbook -- Field Listing - Heliports

| Country | Heliports |
| --- | --- |
| **Afghanistan** | 9 (2007) |
| **Albania** | 1 (2007) |
| **Algeria** | 2 (2007) |
| **Antarctica** | 53 |
| | *note:* all year-round and seasonal stations operated by National Antarctic Programs stations have some kind of helicopter landing facilities, prepared (helipads) or unprepared (2007) |
| **Argentina** | 1 (2007) |
| **Australia** | 1 (2007) |
| **Austria** | 1 (2007) |
| **Azerbaijan** | 1 (2007) |
| **Bahamas, The** | 1 (2007) |
| **Bahrain** | 1 (2007) |
| **Belarus** | 1 (2007) |
| **Belgium** | 1 (2007) |
| **Bosnia and Herzegovina** | 5 (2007) |
| **Brazil** | 16 (2007) |
| **Brunei** | 3 (2007) |
| **Bulgaria** | 4 (2007) |
| **Burma** | 4 (2007) |
| **Burundi** | 1 (2007) |
| **Cambodia** | 1 (2007) |
| **Canada** | 11 (2007) |
| **China** | 35 (2007) |
| **Colombia** | 2 (2007) |
| **Croatia** | 2 (2007) |
| **Cyprus** | 10 (2007) |
| **Czech Republic** | 1 (2007) |
| **Ecuador** | 1 (2007) |
| **Egypt** | 3 (2007) |
| **El Salvador** | 1 (2007) |
| **Eritrea** | 1 (2007) |
| **Estonia** | 1 (2007) |
| **European Union** | 100 (2007) |
| **France** | 3 (2007) |
| **French Polynesia** | 1 (2007) |
| **Gaza Strip** | 1 (2007) |
| **Georgia** | 3 (2007) |
| **Germany** | 28 (2007) |
| **Greece** | 9 (2007) |
| **Hong Kong** | 5 (2007) |
| **Hungary** | 5 (2007) |
| **India** | 30 (2007) |
| **Indonesia** | 17 (2007) |
| **Iran** | 14 (2007) |
| **Iraq** | 17 (2007) |
| **Israel** | 3 (2007) |
| **Italy** | 5 (2007) |
| **Japan** | 14 (2007) |
| **Jordan** | 1 (2007) |
| **Kazakhstan** | 5 (2007) |
| **Korea, North** | 23 (2007) |
| **Korea, South** | 536 (2007) |
| **Kosovo** | 2 (2008) |
| **Kuwait** | 4 (2007) |
| **Libya** | 2 (2007) |
| **Luxembourg** | 1 (2007) |
| **Macau** | 1 (2007) |
| **Malaysia** | 2 (2007) |
| **Mexico** | 1 (2007) |
| **Monaco** | 1 (2007) |
| **Mongolia** | 1 (2007) |
| **Montenegro** | 1 (2007) |
| **Morocco** | 1 (2007) |
| **Netherlands** | 1 (2007) |
| **New Caledonia** | 6 (2007) |
| **Nigeria** | 2 (2007) |
| **Northern Mariana Islands** | 1 (2007) |
| **Norway** | 1 (2007) |
| **Oman** | 2 (2007) |
| **Pakistan** | 18 (2007) |
| **Panama** | 2 (2007) |
| **Papua New Guinea** | 2 (2007) |
| **Peru** | 1 (2007) |
| **Philippines** | 2 (2007) |
| **Poland** | 7 (2007) |
| **Qatar** | 1 (2007) |
| **Romania** | 2 (2007) |
| **Russia** | 47 (2007) |
| **Saudi Arabia** | 8 (2007) |
| **Serbia** | 2 (2007) |
| **Sierra Leone** | 2 (2007) |
| **Slovakia** | 1 (2007) |
| **Solomon Islands** | 3 (2007) |
| **South Africa** | 1 (2007) |
| **Spain** | 8 (2007) |
| **Spratly Islands** | 3 (2007) |
| **Sudan** | 4 (2007) |
| **Svalbard** | 1 (2007) |
| **Sweden** | 2 (2007) |
| **Switzerland** | 2 (2007) |
| **Syria** | 7 (2007) |
| **Taiwan** | 4 (2007) |
| **Thailand** | 3 (2007) |
| **Timor-Leste** | 9 (2007) |
| **Turkey** | 18 (2007) |
| **Turkmenistan** | 1 (2007) |
| **Ukraine** | 10 (2007) |
| **United Arab Emirates** | 5 (2007) |
| **United Kingdom** | 11 (2007) |
| **United States** | 146 (2007) |
| **Venezuela** | 2 (2007) |
| **Vietnam** | 1 (2007) |
| **World** | 1,359 (2007) |

This page was last updated on 18 December 2008
 
