CIA - The World Factbook -- Field Listing - Illicit drugs

| Country | Illicit drugs |
| --- | --- |
| **Afghanistan** | world's largest producer of opium; cultivation dropped 48% to 107,400 hectares in 2005; better weather and lack of widespread disease returned opium yields to normal levels, meaning potential opium production declined by only 10% to 4,475 metric tons; if the entire poppy crop were processed, it is estimated that 526 metric tons of heroin could be processed; source of hashish; many narcotics-processing labs throughout the country; drug trade source of instability and some antigovernment groups profit from the trade; 80-90% of the heroin consumed in Europe comes from Afghan opium; vulnerable to narcotics money laundering through informal financial networks |
| **Albania** | increasingly active transshipment point for Southwest Asian opiates, hashish, and cannabis transiting the Balkan route and - to a far lesser extent - cocaine from South America destined for Western Europe; limited opium and growing cannabis production; ethnic Albanian narcotrafficking organizations active and expanding in Europe; vulnerable to money laundering associated with regional trafficking in narcotics, arms, contraband, and illegal aliens |
| **Angola** | used as a transshipment point for cocaine destined for Western Europe and other African states |
| **Anguilla** | transshipment point for South American narcotics destined for the US and Europe |
| **Antigua and Barbuda** | considered a minor transshipment point for narcotics bound for the US and Europe; more significant as an offshore financial center |
| **Argentina** | used as a transshipment country for cocaine headed for Europe; some money-laundering activity, especially in the Tri-Border Area; domestic consumption of drugs in urban centers is increasing |
| **Armenia** | illicit cultivation of small amount of cannabis for domestic consumption; minor transit point for illicit drugs - mostly opium and hashish - moving from Southwest Asia to Russia and to a lesser extent the rest of Europe |
| **Aruba** | transit point for US- and Europe-bound narcotics with some accompanying money-laundering activity |
| **Australia** | Tasmania is one of the world's major suppliers of licit opiate products; government maintains strict controls over areas of opium poppy cultivation and output of poppy straw concentrate |
| **Austria** | transshipment point for Southwest Asian heroin and South American cocaine destined for Western Europe |
| **Azerbaijan** | limited illicit cultivation of cannabis and opium poppy, mostly for CIS consumption; small government eradication program; transit point for Southwest Asian opiates bound for Russia and to a lesser extent the rest of Europe |
| **Bahamas, The** | transshipment point for cocaine and marijuana bound for US and Europe; offshore financial center |
| **Bangladesh** | transit country for illegal drugs produced in neighboring countries |
| **Barbados** | one of many Caribbean transshipment points for narcotics bound for Europe and the US; offshore financial center |
| **Belarus** | limited cultivation of opium poppy and cannabis, mostly for the domestic market; transshipment point for illicit drugs to and via Russia, and to the Baltics and Western Europe; a small and lightly regulated financial center; new anti-money-laundering legislation does not meet international standards; few investigations or prosecutions of money-laundering activities |
| **Belgium** | growing producer of synthetic drugs; transit point for US-bound ecstasy; source of precursor chemicals for South American cocaine processors; transshipment point for cocaine, heroin, hashish, and marijuana entering Western Europe; despite a strengthening of legislation, the country remains vulnerable to money laundering related to narcotics, automobiles, alcohol, and tobacco |
| **Belize** | transshipment point for cocaine; small-scale illicit producer of cannabis for the international drug trade; money-laundering activity related to narcotics trafficking and offshore sector |
| **Benin** | transshipment point for narcotics associated with Nigerian trafficking organizations and most commonly destined for Western Europe and the US; vulnerable to money laundering due to a poorly regulated financial infrastructure |
| **Bolivia** | world's third-largest cultivator of coca (after Colombia and Peru) with an estimated 26,500 hectares under cultivation in August 2005, an 8% increase from 2004; intermediate coca products and cocaine exported mostly to or through Brazil, Argentina, and Chile to European drug markets; cultivation steadily increasing despite eradication and alternative crop programs; money-laundering activity related to narcotics trade, especially along the borders with Brazil and Paraguay |
| **Bosnia and Herzegovina** | minor transit point for marijuana and opiate trafficking routes to Western Europe; remains highly vulnerable to money-laundering activity given a primarily cash-based and unregulated economy, weak law enforcement, and instances of corruption |
| **Brazil** | illicit producer of cannabis; trace amounts of coca cultivation in the Amazon region, used for domestic consumption; government has a large-scale eradication program to control cannabis; important transshipment country for Bolivian, Colombian, and Peruvian cocaine headed for Europe; also used by traffickers as a way station for narcotics air transshipments between Peru and Colombia; upsurge in drug-related violence and weapons smuggling; important market for Colombian, Bolivian, and Peruvian cocaine; illicit narcotics proceeds earned in Brazil are often laundered through the financial system; significant illicit financial activity in the Tri-Border Area |
| **British Virgin Islands** | transshipment point for South American narcotics destined for the US and Europe; large offshore financial center makes it vulnerable to money laundering |
| **Brunei** | drug trafficking and illegally importing controlled substances are serious offenses in Brunei and carry a mandatory death penalty |
| **Bulgaria** | major European transshipment point for Southwest Asian heroin and, to a lesser degree, South American cocaine for the European market; limited producer of precursor chemicals; some money laundering of drug-related proceeds through financial institutions |
| **Burma** | remains world's second largest producer of illicit opium (estimated production in 2004 - 292 metric tons, down 40% from 2003 due to eradication efforts and drought; cultivation in 2004 - 30,900 hectares, a 34% decline from 2003); lack of government will to take on major narcotrafficking groups and lack of serious commitment against money laundering continues to hinder the overall antidrug effort; major source of methamphetamine and heroin for regional consumption; currently under Financial Action Task Force countermeasures due to continued failure to address its inadequate money-laundering controls (2005) |
| **Cambodia** | narcotics-related corruption reportedly involving some in the government, military, and police; possible small-scale heroin and methamphetamine production; vulnerable to money laundering due to its cash-based economy and porous borders |
| **Canada** | illicit producer of cannabis for the domestic drug market and export to US; use of hydroponics technology permits growers to plant large quantities of high-quality marijuana indoors; transit point for ecstasy entering the US market; vulnerable to narcotics money laundering because of its mature financial services sector |
| **Cape Verde** | used as a transshipment point for illicit drugs moving from Latin America and Asia destined for Western Europe; the lack of a well-developed financial system limits the country's utility as a money-laundering center |
| **Cayman Islands** | offshore financial center; vulnerable to drug transshipment to the US and Europe |
| **Chile** | important transshipment country for cocaine destined for Europe; economic prosperity and increasing trade have made Chile more attractive to traffickers seeking to launder drug profits, especially through the Iquique Free Trade Zone, but a new anti-money-laundering law improves controls; imported precursors passed on to Bolivia; domestic cocaine consumption is rising |
| **China** | major transshipment point for heroin produced in the Golden Triangle; growing domestic drug abuse problem; source country for chemical precursors and methamphetamine |
| **Colombia** | illicit producer of coca, opium poppy, and cannabis; world's leading coca cultivator (cultivation of coca in 2004 was 114,100 hectares, virtually unchanged from 2003, but down one-third from its peak of 169,800 ha); producing a potential of 430 mt of pure cocaine; the world's largest producer of coca derivatives; supplying most of the US market and the great majority of cocaine to other international drug markets; important supplier of heroin to the US market; opium poppy cultivation fell 50% between 2003 and 2004 to 2,100 hectares yielding a potential 3.8 metric tons of pure heroin, mostly for the US market; in 2004, aerial eradication treated over 130,000 hectares of coca but aggressive replanting on the part of growers means Colombia remains a key producer; a significant portion of non-US narcotics proceeds are either laundered or invested in Colombia through the black market peso exchange |
| **Congo, Democratic Republic of the** | illicit producer of cannabis, mostly for domestic consumption; while rampant corruption and inadequate supervision leaves the banking system vulnerable to money laundering, the lack of a well-developed financial system limits the country's utility as a money-laundering center |
| **Costa Rica** | transshipment country for cocaine and heroin from South America; illicit production of cannabis on small, scattered plots; domestic cocaine consumption, particularly crack cocaine, is rising |
| **Cote d'Ivoire** | illicit producer of cannabis, mostly for local consumption; transshipment point for Southwest and Southeast Asian heroin to Europe and occasionally to the US, and for Latin American cocaine destined for Europe and South Africa; while rampant corruption and inadequate supervision leave the banking system vulnerable to money laundering, the lack of a developed financial system limits the country's utility as a major money-laundering center |
| **Croatia** | transit point along the Balkan route for Southwest Asian heroin to Western Europe; has been used as a transit point for maritime shipments of South American cocaine bound for Western Europe |
| **Cuba** | territorial waters and air space serve as transshipment zone for US and European-bound drugs; established the death penalty for certain drug-related crimes in 1999 |
| **Cyprus** | minor transit point for heroin and hashish via air routes and container traffic to Europe, especially from Lebanon and Turkey; some cocaine transits as well; despite a strengthening of anti-money-laundering legislation, remains vulnerable to money laundering; reporting of suspicious transactions in offshore sector remains weak |
| **Czech Republic** | transshipment point for Southwest Asian heroin and minor transit point for Latin American cocaine to Western Europe; producer of synthetic drugs for local and regional markets; susceptible to money laundering related to drug trafficking, organized crime |
| **Dominica** | transshipment point for narcotics bound for the US and Europe; minor cannabis producer; anti-money-laundering enforcement is weak, making the country particularly vulnerable to money laundering |
| **Dominican Republic** | transshipment point for South American drugs destined for the US and Europe; has become a transshipment point for ecstasy from the Netherlands and Belgium destined for US and Canada; substantial money-laundering activity; Colombian narcotics traffickers favor the Dominican Republic for illicit financial transactions |
| **East Timor** | NA |
| **Ecuador** | significant transit country for cocaine originating in Colombia and Peru; importer of precursor chemicals used in production of illicit narcotics; attractive location for cash-placement by drug traffickers laundering money because of dollarization and weak anti-money-laundering regime; increased activity on the northern frontier by trafficking groups and Colombian insurgents |
| **Egypt** | transit point for Southwest Asian and Southeast Asian heroin and opium moving to Europe, Africa, and the US; transit stop for Nigerian couriers; concern as money-laundering site due to lax enforcement of financial regulations |
| **El Salvador** | transshipment point for cocaine; small amounts of marijuana produced for local consumption; domestic cocaine abuse on the rise |
| **Estonia** | transshipment point for opiates and cannabis from Southwest Asia and the Caucasus via Russia, cocaine from Latin America to Western Europe and Scandinavia, and synthetic drugs from Western Europe to Scandinavia; increasing domestic drug abuse problem; possible precursor manufacturing and/or trafficking; potential money laundering related to organized crime and drug trafficking is a concern, as is possible use of the gambling sector to launder funds |
| **Ethiopia** | transit hub for heroin originating in Southwest and Southeast Asia and destined for Europe and North America, as well as cocaine destined for markets in southern Africa; cultivates qat (khat) for local use and regional export, principally to Djibouti and Somalia (legal in all three countries); the lack of a well-developed financial system limits the country's utility as a money-laundering center |
| **France** | transshipment point for and consumer of South American cocaine, Southwest Asian heroin, and European synthetics |
| **French Guiana** | small amount of marijuana grown for local consumption; minor transshipment point to Europe |
| **Georgia** | limited cultivation of cannabis and opium poppy, mostly for domestic consumption; used as transshipment point for opiates via Central Asia to Western Europe and Russia |
| **Germany** | source of precursor chemicals for South American cocaine processors; transshipment point for and consumer of Southwest Asian heroin, Latin American cocaine, and European-produced synthetic drugs; major financial center |
| **Ghana** | illicit producer of cannabis for the international drug trade; major transit hub for Southwest and Southeast Asian heroin and, to a lesser extent, South American cocaine destined for Europe and the US; widespread crime and money laundering problem, but the lack of a well-developed financial infrastructure limits the country's utility as a money-laundering center |
| **Greece** | a gateway to Europe for traffickers smuggling cannabis and heroin from the Middle East and Southwest Asia to the West and precursor chemicals to the East; some South American cocaine transits or is consumed in Greece; money laundering related to drug trafficking and organized crime |
| **Grenada** | small-scale cannabis cultivation; lesser transshipment point for marijuana and cocaine to US |
| **Guatemala** | major transit country for cocaine and heroin; in 2004, reemerged as a potential source of opium, growing 330 hectares of opium poppy, with potential pure heroin production of 1.4 metric tons; 76% of opium poppy cultivation in western highlands along Mexican border; marijuana cultivation for mostly domestic consumption; proximity to Mexico makes Guatemala a major staging area for drugs (particularly for cocaine); money laundering is a serious problem; corruption is a major problem |
| **Guyana** | transshipment point for narcotics from South America - primarily Venezuela - to Europe and the US; producer of cannabis; rising money laundering related to drug trafficking and human smuggling |
| **Haiti** | Caribbean transshipment point for cocaine en route to the US and Europe; substantial money-laundering activity; Colombian narcotics traffickers favor Haiti for illicit financial transactions; pervasive corruption |
| **Honduras** | transshipment point for drugs and narcotics; illicit producer of cannabis, cultivated on small plots and used principally for local consumption; corruption is a major problem; some money-laundering activity |
| **Hong Kong** | makes strenuous law enforcement efforts, but faces difficult challenges in controlling transit of heroin and methamphetamine to regional and world markets; modern banking system provides conduit for money laundering; rising indigenous use of synthetic drugs, especially among young people |
| **Hungary** | transshipment point for Southwest Asian heroin and cannabis and for South American cocaine destined for Western Europe; limited producer of precursor chemicals, particularly for amphetamine and methamphetamine; improving, but remains vulnerable to money laundering related to organized crime and drug trafficking |
| **India** | world's largest producer of licit opium for the pharmaceutical trade, but an undetermined quantity of opium is diverted to illicit international drug markets; transit point for illicit narcotics produced in neighboring countries; illicit producer of methaqualone; vulnerable to narcotics money laundering through the hawala system |
| **Indonesia** | illicit producer of cannabis largely for domestic use; producer of methamphetamine and ecstasy |
