FIELD LISTING :: IMPORTS - COMMODITIES

| Country | IMPORTS - COMMODITIES(%) |
| --- | --- |
| **Afghanistan** | machinery and other capital goods, food, textiles, petroleum products |
| **Albania** | machinery and equipment, foodstuffs, textiles, chemicals |
| **Algeria** | capital goods, foodstuffs, consumer goods |
| **American Samoa** | raw materials for canneries, food, petroleum products, machinery and parts |
| **Andorra** | consumer goods, food, fuel, electricity |
| **Angola** | machinery and electrical equipment, vehicles and spare parts; medicines, food, textiles, military goods |
| **Anguilla** | fuels, foodstuffs, manufactures, chemicals, trucks, textiles |
| **Antigua and Barbuda** | food and live animals, machinery and transport equipment, manufactures, chemicals, oil |
| **Argentina** | machinery, motor vehicles, petroleum and natural gas, organic chemicals, plastics |
| **Armenia** | natural gas, petroleum, tobacco products, foodstuffs, diamonds, pharmaceuticals, cars |
| **Aruba** | machinery and electrical equipment, refined oil for bunkering and reexport, chemicals; foodstuffs |
| **Australia** | machinery and transport equipment, computers and office machines, telecommunication equipment and parts; crude oil and petroleum products |
| **Austria** | machinery and equipment, motor vehicles, chemicals, metal goods, oil and oil products, natural gas; foodstuffs |
| **Azerbaijan** | machinery and equipment, foodstuffs, metals, chemicals |
| **Bahamas, The** | machinery and transport equipment, manufactures, chemicals, mineral fuels; food and live animals |
| **Bahrain** | crude oil, machinery, chemicals |
| **Bangladesh** | cotton, machinery and equipment, chemicals, iron and steel, foodstuffs |
| **Barbados** | consumer goods, machinery, foodstuffs, construction materials, chemicals, fuel, electrical components |
| **Belarus** | mineral products, machinery and equipment, chemicals, foodstuffs, metals |
| **Belgium** | raw materials, machinery and equipment, chemicals, raw diamonds, pharmaceuticals, foodstuffs, transportation equipment, oil products |
| **Belize** | machinery and transport equipment, manufactured goods; fuels, chemicals, pharmaceuticals; food, beverages, tobacco |
| **Benin** | foodstuffs, capital goods, petroleum products |
| **Bermuda** | clothing, fuels, machinery and transport equipment, construction materials, chemicals, food and live animals |
| **Bhutan** | fuel and lubricants, passenger cars, machinery and parts, fabrics, rice |
| **Bolivia** | machinery, petroleum products, vehicles, iron and steel, plastics |
| **Bosnia and Herzegovina** | machinery and equipment, chemicals, fuels, foodstuffs |
| **Botswana** | foodstuffs, machinery, electrical goods, transport equipment, textiles, fuel and petroleum products, wood and paper products, metal and metal products |
| **Brazil** | machinery, electrical and transport equipment, chemical products, oil, automotive parts, electronics |
| **British Virgin Islands** | building materials, automobiles, foodstuffs, machinery |
| **Brunei** | machinery and mechanical appliance parts, mineral fuels, motor vehicles, electric machinery |
| **Bulgaria** | machinery and equipment; metals and ores; chemicals and plastics; fuels, minerals, and raw materials |
| **Burkina Faso** | capital goods, foodstuffs, petroleum |
| **Burma** | fabric; petroleum products; fertilizer; plastics; machinery; transport equipment; cement, construction materials; food products‘ edible oil |
| **Burundi** | capital goods, petroleum products, foodstuffs |
| **Cabo Verde** | foodstuffs, industrial products, transport equipment, fuels |
| **Cambodia** | petroleum products, cigarettes, gold, construction materials, machinery, motor vehicles, pharmaceutical products |
| **Cameroon** | machinery, electrical equipment, transport equipment, fuel, food |
| **Canada** | machinery and equipment, motor vehicles and parts, crude oil, chemicals, electricity, durable consumer goods |
| **Cayman Islands** | foodstuffs, manufactured goods, fuels |
