CIA - The World Factbook 2000 -- Merchant marine

| Country | Merchant marine |
| --- | --- |
| **Albania** | *total:* 6 ships (1,000 GRT or over) totaling 10,907 GRT/16,101 DWT |
| | *ships by type:* cargo 6 (1999 est.) |
| **Algeria** | *total:* 78 ships (1,000 GRT or over) totaling 940,196 GRT/1,094,104 DWT |
| | *ships by type:* bulk 9, cargo 27, chemical tanker 7, liquified gas 11, petroleum tanker 5, roll-on/roll-off 13, short-sea passenger 5, specialized tanker 1 (1999 est.) |
| **American Samoa** | none (1999 est.) |
| **Angola** | *total:* 9 ships (1,000 GRT or over) totaling 39,305 GRT/63,067 DWT |
| | *ships by type:* cargo 8, petroleum tanker 1 (1999 est.) |
| **Anguilla** | none (1999 est.) |
| **Antigua and Barbuda** | *total:* 607 ships (1,000 GRT or over) totaling 3,528,944 GRT/4,590,590 DWT |
| | *ships by type:* bulk 17, cargo 385, chemical tanker 9, combination bulk 2, container 149, liquified gas 3, petroleum tanker 2, refrigerated cargo 12, roll-on/roll-off 28 (1999 est.) |
| | *note:* a flag of convenience registry: Germany owns 10 ships, Slovenia 2, and Cyprus 2 (1998 est.) |
| **Argentina** | *total:* 26 ships (1,000 GRT or over) totaling 218,540 GRT/333,413 DWT |
| | *ships by type:* cargo 9, petroleum tanker 11, rail car carrier 1, refrigerated cargo 2, roll-on/roll-off 1, short-sea passenger 2 (1999 est.) |
| **Australia** | *total:* 57 ships (1,000 GRT or over) totaling 1,657,194 GRT/2,206,574 DWT |
| | *ships by type:* bulk 28, cargo 4, chemical tanker 4, container 1, liquified gas 4, passenger 2, petroleum tanker 8, roll-on/roll-off 6 (1999 est.) |
| **Austria** | *total:* 20 ships (1,000 GRT or over) totaling 65,284 GRT/91,951 DWT |
| | *ships by type:* bulk 1, cargo 15, combination bulk 2, container 2 (1999 est.) |
| **Azerbaijan** | *total:* 55 ships (1,000 GRT or over) totaling 248,155 GRT/304,215 DWT |
| | *ships by type:* cargo 12, petroleum tanker 40, roll-on/roll-off 2, short-sea passenger 1 (1999 est.) |
| **Bahamas, The** | *total:* 1,075 ships (1,000 GRT or over) totaling 28,630,674 GRT/44,111,353 DWT |
| | *ships by type:* bulk 201, cargo 233, chemical tanker 41, combination bulk 15, combination ore/oil 25, container 59, liquified gas 35, livestock carrier 1, passenger 68, passenger/cargo 1, petroleum tanker 177, rail car carrier 1, refrigerated cargo 129, roll-on/roll-off 51, short-sea passenger 12, specialized tanker 3, vehicle carrier 23 (1999 est.) |
