CIA - The World Factbook -- Field Listing - Merchant marine

| Country | Merchant marine |
| --- | --- |
| **Albania** | *total:* 24 ships (1000 GRT or over) 52,987 GRT/79,863 DWT |
| | *by type:* cargo 23, roll on/roll off 1 |
| | *foreign-owned:* 1 (Turkey 1) |
| | *registered in other countries:* 1 (Georgia 1) (2006) |
| **Algeria** | *total:* 41 ships (1000 GRT or over) 744,406 GRT/766,764 DWT |
| | *by type:* bulk carrier 7, cargo 10, chemical tanker 2, liquefied gas 9, passenger/cargo 4, petroleum tanker 5, roll on/roll off 3, specialized tanker 1 |
| | *foreign-owned:* 13 (UK 13) (2006) |
| **Angola** | *total:* 4 ships (1000 GRT or over) 4,343 GRT/4,643 DWT |
| | *by type:* cargo 1, passenger/cargo 2, petroleum tanker 1 |
| | *registered in other countries:* 5 (Bahamas 5) (2006) |
| **Anguilla** | *registered in other countries:* 1 (Panama 1) (2006) |
| **Antigua and Barbuda** | *total:* 1,011 ships (1000 GRT or over) 7,452,503 GRT/9,783,309 DWT |
| | *by type:* bulk carrier 40, cargo 596, chemical tanker 7, container 321, liquefied gas 11, passenger/cargo 2, petroleum tanker 1, refrigerated cargo 12, roll on/roll off 21 |
| | *foreign-owned:* 984 (Australia 1, Bangladesh 4, Belgium 4, Colombia 2, Denmark 14, Estonia 12, France 1, Germany 858, Iceland 8, Isle of Man 2, Latvia 5, Lebanon 1, Lithuania 3, Netherlands 14, Norway 11, NZ 1, Poland 3, Russia 6, Singapore 1, Slovenia 6, Switzerland 4, Turkey 8, UK 7, US 7, Vietnam 1) (2006) |
| **Argentina** | *total:* 41 ships (1000 GRT or over) 435,969 GRT/707,767 DWT |
| | *by type:* bulk carrier 2, cargo 10, chemical tanker 1, passenger 1, passenger/cargo 3, petroleum tanker 21, refrigerated cargo 2, roll on/roll off 1 |
| | *foreign-owned:* 11 (Chile 6, UK 4, Uruguay 1) |
| | *registered in other countries:* 24 (Bolivia 1, Chile 1, Liberia 7, Panama 9, Paraguay 3, Uruguay 3) (2006) |
| **Australia** | *total:* 53 ships (1000 GRT or over) 1,361,000 GRT/1,532,874 DWT |
| | *by type:* bulk carrier 17, cargo 4, chemical tanker 3, container 1, liquefied gas 4, passenger 6, passenger/cargo 7, petroleum tanker 6, roll on/roll off 5 |
| | *foreign-owned:* 17 (Canada 1, France 3, Germany 3, Japan 1, Netherlands 2, Norway 1, Philippines 1, UK 2, US 3) |
| | *registered in other countries:* 34 (Antigua and Barbuda 1, Bahamas 2, Bermuda 3, Fiji 1, Hong Kong 1, Liberia 2, Marshall Islands 2, Netherlands 1, NZ 2, Panama 3, Portugal 1, Singapore 7, Tonga 1, UK 3, US 2, Vanuatu 2) (2006) |
| **Austria** | *total:* 8 ships (1000 GRT or over) 34,072 GRT/44,437 DWT |
| | *by type:* cargo 6, container 2 |
| | *foreign-owned:* 2 (Netherlands 2) |
| | *registered in other countries:* 14 (Liberia 13, Malta 1) (2006) |
| **Azerbaijan** | *total:* 84 ships (1000 GRT or over) 405,395 GRT/436,666 DWT |
| | *by type:* cargo 26, passenger 2, passenger/cargo 8, petroleum tanker 43, roll on/roll off 2, specialized tanker 3 |
| | *registered in other countries:* 4 (Georgia 2, Malta 2) (2006) |
| **Bahamas, The** | *total:* 1,177 ships (1000 GRT or over) 37,743,270 GRT/50,918,747 DWT |
| | *by type:* barge carrier 1, bulk carrier 253, cargo 250, chemical tanker 64, container 79, liquefied gas 35, livestock carrier 2, passenger 115, passenger/cargo 34, petroleum tanker 175, refrigerated cargo 114, roll on/roll off 20, specialized tanker 5, vehicle carrier 30 |
| | *foreign-owned:* 1,093 (Angola 5, Australia 2, Belgium 13, Canada 18, China 3, Cuba 1, Cyprus 13, Denmark 59, Estonia 1, Finland 8, France 37, Germany 22, Greece 232, Hong Kong 8, Iceland 1, India 1, Indonesia 4, Ireland 2, Israel 1, Italy 5, Japan 51, Jordan 2, Kenya 1, Latvia 1, Malaysia 12, Monaco 17, Montenegro 2, Netherlands 24, Nigeria 2, Norway 259, Philippines 1, Poland 15, Reunion 1, Russia 6, Saudi Arabia 12, Singapore 12, Slovenia 1, Spain 12, Sweden 6, Switzerland 2, Thailand 1, Turkey 8, UAE 16, UK 69, Uruguay 2, US 121, Venezuela 1) |
| | *registered in other countries:* 4 (Barbados 1, Liberia 1, Panama 2) (2006) |
| **Bahrain** | *total:* 8 ships (1000 GRT or over) 235,449 GRT/339,728 DWT |
| | *by type:* bulk carrier 4, cargo 1, container 2, petroleum tanker 1 |
| | *foreign-owned:* 3 (Kuwait 3) (2006) |
| **Bangladesh** | *total:* 42 ships (1000 GRT or over) 341,733 GRT/485,840 DWT |
| | *by type:* bulk carrier 3, cargo 29, container 6, passenger/cargo 1, petroleum tanker 3 |
| | *foreign-owned:* 1 (China 1) |
| | *registered in other countries:* 10 (Antigua and Barbuda 4, Comoros 1, Malta 3, Saint Vincent and the Grenadines 1, Singapore 1) (2006) |
| **Barbados** | *total:* 58 ships (1000 GRT or over) 433,390 GRT/664,998 DWT |
| | *by type:* bulk carrier 11, cargo 32, chemical tanker 7, passenger 1, passenger/cargo 1, petroleum tanker 3, roll on/roll off 2, specialized tanker 1 |
| | *foreign-owned:* 57 (Bahamas, The 1, Canada 8, Greece 11, Lebanon 1, Monaco 1, Norway 29, UAE 1, UK 5) |
| | *registered in other countries:* 1 (Saint Vincent and the Grenadines 1) (2006) |
| **Belgium** | *total:* 66 ships (1000 GRT or over) 3,952,159 GRT/6,521,645 DWT |
| | *by type:* bulk carrier 19, cargo 4, chemical tanker 2, container 10, liquefied gas 15, petroleum tanker 12, roll on/roll off 4 |
| | *foreign-owned:* 10 (Denmark 4, Greece 4, UK 2) |
