CIA - The World Factbook -- Field Listing - Military branches

| Country | Military branches |
| --- | --- |
| **Afghanistan** | Afghan National Army (includes Afghan Air Force) (2006) |
| **Albania** | Land Forces Command (Army), Naval Forces Command, Air Defense Command, General Staff Headquarters (includes Logistics Command, Training and Doctrine Command) (2007) |
| **Algeria** | National Popular Army (ANP; includes Land Forces), Algerian National Navy (MRA), Air Force (QJJ), Territorial Air Defense Force (2005) |
| **Andorra** | no regular military forces, Police Service of Andorra |
| **Angola** | *Angolan Armed Forces (FAA):* Army, Navy (Marinha de Guerra, MdG), Angolan National Air Force (FANA) (2007) |
| **Antigua and Barbuda** | Royal Antigua and Barbuda Defense Force (2006) |
| **Argentina** | Argentine Army (Ejercito Argentino), Navy of the Argentine Republic (Armada Republica; includes naval aviation and naval infantry), Argentine Air Force (Fuerza Aerea Argentina, FAA) (2007) |
| **Armenia** | *Armed Forces:* Ground Forces, Nagorno-Karabakh Self Defense Force (NKSDF), Air Force, Air Defense Force (2006) |
| **Aruba** | no regular indigenous military forces; the Netherlands maintains a detachment of marines, a frigate, and an amphibious combat detachment in the neighboring Netherlands Antilles (2005) |
| **Australia** | *Australian Defense Force (ADF):* Australian Army, Royal Australian Navy, Royal Australian Air Force, Special Operations Command (2006) |
| **Austria** | Land Forces (KdoLdSK), Air Forces (KdoLuSK) |
| **Azerbaijan** | Army, Navy, Air and Air Defense Forces |
| **Bahamas, The** | *Royal Bahamian Defense Force:* Land Force, Navy, Air Wing (2007) |
| **Bahrain** | *Bahrain Defense Forces (BDF):* Ground Force (includes Air Defense), Naval Force, Air Force, National Guard |
| **Bangladesh** | *Bangladesh Defense Force:* Bangladesh Army, Bangladesh Navy, Bangladesh Air Force (Bangladesh Biman Bahini, BAF) (2006) |
| **Barbados** | *Royal Barbados Defense Force:* Troops Command, Barbados Coast Guard (2007) |
| **Belarus** | *Belarus Armed Forces:* Land Force, Air and Air Defense Force (2006) |
| **Belgium** | *Belgian Armed Forces:* Land Operations Command, Naval Operations Command, Air Operations Commands (2005) |
| **Belize** | *Belize Defense Force (BDF):* Army, Maritime Wing, Air Wing, and Volunteer Guard |
| **Benin** | *Benin Armed Forces:* Ground Forces Command, Benin Navy, Benin People's Air Force (Force Aerienne Populaire de Benin, FAPB) (2007) |
| **Bermuda** | no regular military forces; Bermuda Police Service, Bermuda Reserve Constabulary, Bermuda Regiment |
| **Bhutan** | *Royal Bhutan Army:* Royal Bodyguard, Royal Bhutan Police (2005) |
| **Bolivia** | *Bolivian Armed Forces:* Bolivian Army (Ejercito Boliviano), Bolivian Navy (Armada Boliviana; includes marines), Bolivian Air Force (Fuerza Aerea Boliviana, FAB) (2007) |
| **Bosnia and Herzegovina** | VF Army (the air and air defense forces are subordinate commands within the Army), VRS Army (the air and air defense forces are subordinate commands within the Army) |
| **Botswana** | Botswana Defense Force (includes an air wing) (2006) |
| **Brazil** | Brazilian Army, Brazilian Navy (Marinha do Brasil (MB), includes Naval Air and Marine Corps (Corpo de Fuzileiros Navais)), Brazilian Air Force (Forca Aerea Brasileira, FAB) (2007) |
| **Brunei** | *Royal Brunei Armed Forces (RBAF):* Royal Brunei Land Forces, Royal Brunei Navy, Royal Brunei Air Force (Tentera Udara Diraja Brunei) (2005) |
| **Bulgaria** | *Bulgarian Armed Forces:* Ground Forces, Naval Forces, Bulgarian Air Forces (Bulgarski Voennovazdyshni Sily, BVVS) (2006) |
| **Burkina Faso** | Army, Air Force of Burkina Faso (Force Aerienne de Burkina Faso, FABF), National Gendarmerie (2006) |
| **Burma** | *Myanmar Armed Forces (Tatmadaw):* Army, Navy, Air Force (Tatmadaw Lay) (2007) |
| **Burundi** | *National Defense Force (Forces de Defense Nationales, FDN):* Army (includes Naval Detachment and Air Wing) (2006) |
| **Cambodia** | *Royal Cambodian Armed Forces:* Royal Cambodian Army, Royal Khmer Navy, Royal Cambodian Air Force (2005) |
| **Cameroon** | *Cameroon Armed Forces:* Army, Navy (includes naval infantry), Air Force (Armee de l'Air du Cameroun, AAC) (2006) |
| **Canada** | *Canadian Forces:* Land Forces Command, Maritime Command, Air Command, Canada Command (homeland security) (2006) |
| **Cape Verde** | *People's Revolutionary Armed Forces (FARP):* Army, Coast Guard (includes maritime air wing) (2007) |
| **Cayman Islands** | no regular military forces; Royal Cayman Islands Police Force |
| **Central African Republic** | *Central African Armed Forces (FACA):* Ground Forces, Military Air Service, General Directorate of Gendarmerie Inspection (DGIG); National Police (2006) |
| **Chad** | Chadian National Army (Armee Nationale Tchadienne, ANT), Chadian Air Force (Force Aerienne Tchadienne, FAT), Gendarmerie (2007) |
| **Chile** | Army of the Nation, Chilean Navy (Armada de Chile, includes naval air, marine corps, and Maritime Territory and Merchant Marine Directorate (Directemar)), Chilean Air Force (Fuerza Aerea de Chile, FACh), Chilean Carabineros (National Police) (2007) |
| **China** | *People's Liberation Army (PLA):* Ground Forces, Navy (includes marines and naval aviation), Air Force (includes airborne forces), and Second Artillery Corps (strategic missile force); People's Armed Police (PAP); Reserve and Militia Forces (2006) |
| **Colombia** | National Army (Ejercito Nacional), National Navy (Armada Nacional, includes Naval Aviation, Naval Infantry (Infanteria de Marina, Colmar), and Coast Guard), Colombian Air Force (Fuerza Aerea de Colombia, FAC) (2007) |
| **Comoros** | *Comoran Defense Force:* Comoran Security Force; Comoran Federal Police (2007) |
| **Congo, Democratic Republic of the** | *Armed Forces of the Democratic Republic of the Congo (FARDC):* Army, Navy, Congolese Air Force (Force Aerienne Congolaise, FAC) (2006) |
| **Congo, Republic of the** | *Congolese Armed Forces (Forces Armees Congolaises, FAC):* Army, Navy, Congolese Air Force (Armee de l'Air Congolaise), Gendarmerie, Republican Guard (2007) |
| **Cook Islands** | no regular military forces; National Police Department (2007) |
| **Costa Rica** | no regular military forces; Ministry of Public Security, Government, and Police (2006) |
| **Cote d'Ivoire** | *Cote d'Ivoire Defense and Security Forces (FDSC):* Army, Navy, Air Force (2006) |
| **Croatia** | *Armed Forces of the Republic of Croatia (Oruzane Snage Republike Hrvatske, OSRH), consists of five major commands directly subordinate to a General Staff:* Ground Forces (Hrvatska Kopnena Vojska, HKoV), Naval Forces (Hrvatska Ratna Mornarica, HRM), Air Force, Joint Education and Training Command, Logistics Command; Military Police Force supports each of the three Croatian military forces (2007) |
| **Cuba** | *Revolutionary Armed Forces (FAR):* Revolutionary Army (ER), Revolutionary Navy (Marina de Guerra Revolucionaria, MGR), Revolutionary Air and Air Defense Force (DAAFAR), Youth Labor Army (EJT) (2007) |
| **Cyprus** | *Republic of Cyprus:* Greek Cypriot National Guard (GCNG; includes air and naval elements); north Cyprus: Turkish Cypriot Security Force (GKK) |
| **Czech Republic** | *Army of the Czech Republic (ACR):* Joint Forces Command (includes Army and Air Forces), Support and Training Forces Command (2007) |
| **Denmark** | *Defense Command:* Army Operational Command, Admiral Danish Fleet, Island Command Greenland, Tactical Air Command (2006) |
| **Djibouti** | Djibouti National Army (includes Navy and Air Force) |
| **Dominica** | no regular military forces; Commonwealth of Dominica Police Force (includes coast guard) (2006) |
| **Dominican Republic** | Army, Navy, Air Force |
| **Ecuador** | Army, Navy (includes Naval Infantry, Naval Aviation, Coast Guard), Air Force (Fuerza Aerea Ecuatoriana, FAE) (2007) |
| **Egypt** | Army, Navy, Air Force, Air Defense Command |
| **El Salvador** | Salvadoran Army (ES), Salvadoran Navy (FNES), Salvadoran Air Force (Fuerza Aerea Salvadorena, FAS) (2006) |
| **Equatorial Guinea** | National Guard (Army, with Coast Guard (Navy) and Air Wing) (2007) |
| **Eritrea** | Army, Navy, Air Force |
| **Estonia** | *Estonian Defense Forces:* Land Force, Navy, Air Force, Volunteer Defense League (Kaitseliit, KL) (2006) |
| **Ethiopia** | *Ethiopian National Defense Force (ENDF):* Ground Forces, Ethiopian Air Force |
| | *note:* Ethiopia is landlocked and has no navy; following the secession of Eritrea, Ethiopian naval facilities remained in Eritrean possession |
| **Falkland Islands (Islas Malvinas)** | no regular military forces |
| **Faroe Islands** | no regular military forces |
| **Fiji** | *Republic of Fiji Military Forces (RFMF):* Land Forces, Naval Forces (2006) |
| **Finland** | *Finnish Defense Forces (FDF):* Army, Navy (includes coastal defense forces), Air Force (Suomen Ilmavoimat) (2006) |
| **France** | Army (includes marines, Foreign Legion, light aviation), Navy (includes naval air), Air Force (includes air defense), National Gendarmerie |
| **French Polynesia** | no regular military forces; Gendarmerie and National Police Force |
| **Gabon** | Army, Navy, Air Force, National Gendarmerie, National Police |
| **Gambia, The** | Gambian National Army (National Guard, GNA), Gambian Navy (GN) (2007) |
| **Gaza Strip** | in accordance with the peace agreement, the Palestinian Authority is not permitted conventional military forces; there are, however, public security forces (2007) |
| **Georgia** | *Georgian Armed Forces:* Land Forces (includes National Guard), Navy, Air and Air Defense Forces (2006) |
| **Germany** | *Federal Armed Forces (Bundeswehr):* Army (Heer), Navy (Deutsche Marine, includes naval air arm), Air Force (Luftwaffe), Joint Service Support Command (Streitkraeftebasis), Central Medical Service (Zentraler Sanitaetsdienst) (2006) |
| **Ghana** | Ghanaian Army, Ghanaian Navy, Ghanaian Air Force (2007) |
| **Gibraltar** | Royal Gibraltar Regiment |
| **Greece** | Hellenic Army (Ellinikos Stratos, ES), Hellenic Navy (Ellinikos Polemiko Navtiko, EPN), Hellenic Air Force (Elliniki Polimiki Aeroporia, EPA) (2007) |
| **Grenada** | no regular military forces; Royal Grenada Police Force (includes Coast Guard) (2007) |
| **Guatemala** | Army, Navy (includes Marines), Air Force |
| **Guinea** | Army, Navy, Air Force, Presidential Guard (2007) |
| **Guinea-Bissau** | *People's Revolutionary Armed Force (FARP):* Army, Navy, Air Force; paramilitary force |
| **Guyana** | *Guyana Defense Force:* Army (includes Coast Guard, Air Corps) (2007) |
| **Haiti** | no regular military forces - small coast guard; the regular Haitian Armed Forces (FAdH) - Army, Navy, and Air Force - have been demobilized but still exist on paper unless they are constitutionally abolished (2007) |
| **Holy See (Vatican City)** | Pontifical Swiss Guard (Corpo della Guardia Svizzera Pontificia) |
| **Honduras** | Army, Navy (includes Naval Infantry), Honduran Air Force (Fuerza Aerea Hondurena, FAH) (2007) |
| **Hong Kong** | no regular indigenous military forces; Hong Kong garrison of China's People's Liberation Army (PLA) includes elements of Ground Forces, Navy, and Air Force; these forces are under the direct leadership of the Central Military Commission in Beijing and under administrative control of the adjacent Guangzhou Military Region |
| **Hungary** | Ground Forces, Hungarian Air Force (Magyar Legiero, ML) (2006) |
| **Iceland** | no regular military forces; Icelandic National Police (2006) |
| **India** | Army, Navy (includes naval air arm), Air Force, Coast Guard, various security or paramilitary forces (includes Border Security Force, Assam Rifles, National Security Guards, Indo-Tibetan Border Police, Special Frontier Force, Central Reserve Police Force, Central Industrial Security Force, Railway Protection Force, and Defense Security Corps) |
| **Indonesia** | *Indonesian Armed Forces (Tentara Nasional Indonesia, TNI):* Army (TNI-AD), Navy (TNI-AL, includes marines, naval air arm), Air Force (TNI-Angkatan Udara (TNI-AU)), National Air Defense Command (Kommando Pertahanan Udara Nasional, Kohanudnas) |
