CIA - The World Factbook 2000 -- Military manpower - military age

| Country | Military manpower - military age |
| --- | --- |
| **Afghanistan** | 22 years of age |
| **Albania** | 19 years of age |
| **Algeria** | 19 years of age |
| **Angola** | 18 years of age |
| **Argentina** | 20 years of age |
| **Armenia** | 18 years of age |
| **Australia** | 17 years of age |
| **Austria** | 19 years of age |
| **Azerbaijan** | 18 years of age |
| **Bahrain** | 15 years of age |
| **Belarus** | 18 years of age |
| **Belgium** | 19 years of age |
| **Belize** | 18 years of age |
| **Benin** | 18 years of age |
| **Bhutan** | 18 years of age |
| **Bolivia** | 19 years of age |
| **Bosnia and Herzegovina** | 19 years of age |
| **Botswana** | 18 years of age |
| **Brazil** | 18 years of age |
| **Brunei** | 18 years of age |
| **Bulgaria** | 19 years of age |
| **Burma** | 18 years of age |
| **Burundi** | 16 years of age |
| **Cambodia** | 18 years of age |
| **Cameroon** | 18 years of age |
| **Canada** | 17 years of age |
| **Chad** | 20 years of age |
| **Chile** | 19 years of age |
| **China** | 18 years of age |
| **Colombia** | 18 years of age |
| **Congo, Republic of the** | 20 years of age |
| **Costa Rica** | 18 years of age |
| **Cote d'Ivoire** | 18 years of age |
| **Croatia** | 19 years of age |
| **Cuba** | 17 years of age |
| **Cyprus** | 18 years of age |
| **Czech Republic** | 18 years of age |
| **Denmark** | 20 years of age |
| **Dominican Republic** | 18 years of age |
| **Ecuador** | 20 years of age |
| **Egypt** | 20 years of age |
| **El Salvador** | 18 years of age |
| **Estonia** | 18 years of age |
| **Ethiopia** | 18 years of age |
| **Fiji** | 18 years of age |
| **Finland** | 17 years of age |
| **France** | 18 years of age |
| **Gabon** | 20 years of age |
| **Georgia** | 18 years of age |
| **Germany** | 18 years of age |
| **Ghana** | 18 years of age |
| **Greece** | 21 years of age |
| **Guatemala** | 18 years of age |
| **Haiti** | 18 years of age |
| **Honduras** | 18 years of age |
| **Hong Kong** | 18 years of age |
| **Hungary** | 18 years of age |
| **India** | 17 years of age |
| **Indonesia** | 18 years of age |
| **Iran** | 21 years of age |
| **Iraq** | 18 years of age |
| **Ireland** | 17 years of age |
| **Israel** | 18 years of age |
| **Italy** | 18 years of age |
| **Jamaica** | 18 years of age |
| **Japan** | 18 years of age |
| **Jordan** | 18 years of age |
| **Kazakhstan** | 18 years of age |
| **Korea, North** | 18 years of age |
| **Korea, South** | 18 years of age |
| **Kuwait** | 18 years of age |
| **Kyrgyzstan** | 18 years of age |
| **Laos** | 18 years of age |
| **Latvia** | 18 years of age |
| **Libya** | 17 years of age |
| **Lithuania** | 18 years of age |
| **Luxembourg** | 19 years of age |
| **Macedonia, The Former Yugoslav Republic of** | 19 years of age |
| **Madagascar** | 20 years of age |
| **Malaysia** | 21 years of age |
| **Mexico** | 18 years of age |
| | *note:* starting in 2000, females will be allowed to volunteer for military service |
| **Moldova** | 18 years of age |
| **Mongolia** | 18 years of age |
| **Morocco** | 18 years of age |
| **Nepal** | 17 years of age |
| **Netherlands** | 20 years of age |
| **Netherlands Antilles** | 20 years of age |
| **New Zealand** | 20 years of age |
| **Nicaragua** | 18 years of age |
| **Niger** | 18 years of age |
| **Nigeria** | 18 years of age |
| **Norway** | 20 years of age |
| **Oman** | 14 years of age |
| **Pakistan** | 17 years of age |
| **Paraguay** | 17 years of age |
| **Peru** | 20 years of age |
| **Philippines** | 20 years of age |
| **Poland** | 19 years of age |
| **Portugal** | 20 years of age |
| **Qatar** | 18 years of age |
| **Reunion** | 18 years of age |
| **Romania** | 20 years of age |
| **Russia** | 18 years of age |
| **Saudi Arabia** | 17 years of age |
| **Senegal** | 18 years of age |
| **Serbia and Montenegro** | Serbia - 19 years of age; Montenegro - 19 years of age |
| **Slovakia** | 18 years of age |
| **Slovenia** | 19 years of age |
| **South Africa** | 18 years of age |
| **Spain** | 20 years of age |
| **Sri Lanka** | 18 years of age |
| **Sudan** | 18 years of age |
| **Sweden** | 19 years of age |
| **Switzerland** | 20 years of age |
| **Syria** | 19 years of age |
| **Tajikistan** | 18 years of age |
| **Thailand** | 18 years of age |
| **Tunisia** | 20 years of age |
| **Turkey** | 20 years of age |
| **Turkmenistan** | 18 years of age |
| **Ukraine** | 18 years of age |
| **United Arab Emirates** | 18 years of age |
| **United States** | 18 years of age |
| **Uzbekistan** | 18 years of age |
| **Venezuela** | 18 years of age |
| **Vietnam** | 17 years of age |
| **Yemen** | 14 years of age |
| **Taiwan: | 19 years of age** | 



