CIA - The World Factbook -- Field Listing - Military service age and obligation

| Country | Military service age and obligation (years of age) |
| --- | --- |
| **Afghanistan** | 22 years of age; inductees are contracted into service for a 4-year term (2005) |
| **Albania** | 19 years of age (2004) |
| **Algeria** | 19-30 years of age for compulsory military service; conscript service obligation - 18 months (6 months basic training, 12 months civil projects) (2006) |
| **Angola** | 17 years of age for compulsory military service; conscript service obligation - two years plus time for training (2001) |
| **Antigua and Barbuda** | 18 years of age (est.); no conscript military service (2001) |
| **Argentina** | 18 years of age for voluntary military service; no conscription (2001) |
| **Armenia** | 18 to 27 years of age for compulsory military service, conscript service obligation - 12 months; 18 years of age for voluntary military service (2004) |
| **Australia** | 16 years of age for voluntary service; women allowed to serve in Army combat units in non-combat support roles (2001) |
| **Austria** | 18 years of age for compulsory military service; 16 years of age for voluntary service; from 2007, at the earliest, compulsory military service obligation will be reduced from eight months to six (2005) |
| **Azerbaijan** | men between 18 and 35 are liable for military service; 18 years of age for voluntary military service; length of military service is 18 months and 12 months for university graduates (2006) |
| **Bahamas, The** | 18 years of age (est.); no conscription (2001) |
| **Bahrain** | 18 years of age for voluntary military service (2001) |
| **Bangladesh** | 18 years of age for voluntary military service; no conscription (2005) |
| **Barbados** | 18 years of age for voluntary military service; volunteers at earlier age with parental consent; no conscription (2001) |
| **Belarus** | 18-27 years of age for compulsory military service; conscript service obligation - 18 months (2005) |
| **Belgium** | 16 years of age for voluntary military service; women comprise approx. 7% of the Belgian armed forces (2001) |
| **Belize** | 18 years of age for voluntary military service; laws allow for conscription only if volunteers are insufficient; conscription has never been implemented; volunteers typically outnumber available positions by 3:1 (2001) |
| **Benin** | 21 years of age for compulsory and voluntary military service; in practice, volunteers may be taken at the age of 18; both sexes are eligible for military service; conscript tour of duty - 18 months (2004) |
| **Bhutan** | 18 years of age for voluntary military service; no conscription (2001) |
| **Bolivia** | 18 years of age for voluntary military service; when annual number of volunteers falls short of goal, compulsory recruitment is effected, including conscription of boys as young as 14; one estimate holds that 40% of the armed forces are under the age of 18, with 50% of those under the age of 16; conscript tour of duty - 12 months (2002) |
| **Bosnia and Herzegovina** | 18 years of age for compulsory military service in the Federation of Bosnia and Herzegovina; 16 years of age in times of war; 18 years of age for Republika Srpska; 17 years of age for voluntary military service in the Federation and in the Republika Srpska; by law, military obligations cover all healthy men between the ages of 18 and 60, and all women between the ages of 18 and 55; service obligation is four months (July 2004) |
| **Botswana** | 18 is the apparent age of voluntary military service; the official qualifications for determining minimum age are unknown (2001) |
| **Brazil** | 21-45 years of age for compulsory military service; conscript service obligation - nine to 12 months; 17-45 years of age for voluntary service; an increasing percentage of the ranks are "long-service" volunteer professionals; women were allowed to serve in the armed forces beginning in early 1980s when the Brazilian Army became the first army in South America to accept women into career ranks; women serve in Navy and Air Force only in Women's Reserve Corps (2001) |
| **Brunei** | 18 years of age (est.) (2004) |
| **Bulgaria** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 9 months; as of May 2006, 67% of the Bulgarian Army comprised of professional soldiers; conscription into the Army to end as of 1 January 2008; Air and Air Defense Forces and Naval Forces will become fully professional by end of 2006 (2006) |
| **Burkina Faso** | 18 years of age for compulsory military service; 20 years of age for voluntary military service (2001) |
| **Burma** | 18 years of age for voluntary military service for both sexes (2004) |
| **Burundi** | 16 years of age for compulsory and voluntary military service (2001) |
| **Cambodia** | conscription law made effective in October 2006 requires all males between 18-30 to register for military service; service obligation is 18 months (2006) |
| **Cameroon** | 18 years of age for voluntary military service; no conscription (1999) |
| **Canada** | 16 years of age for voluntary military service; women comprise approximately 11% of Canada's armed forces (2001) |
| **Central African Republic** | 18 years of age for voluntary and compulsory military service; conscript service obligation is two years (2005) |
| **Chad** | 20 years of age for conscripts, with three-year service obligation; 18 years of age for volunteers; no minimum age restriction for volunteers with consent from a guardian; women are subject to one year of compulsory military or civic service at age of 21 (2004) |
| **Chile** | all male citizens 18-45 are obligated to perform military service; conscript service obligation - 12 months for Army, 24 months for Navy and Air Force (2004) |
| **China** | 18-22 years of age for compulsory military service, with 24-month service obligation; no minimum age for voluntary service (all officers are volunteers); 18-22 years of age for women who meet requirements for specific military jobs (2006) |
| **Colombia** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 24 months (2004) |
| **Congo, Democratic Republic of the** | 18-45 years of age for military service |
| **Congo, Republic of the** | 18 years of age for voluntary military service (2001) |
| **Costa Rica** | 18 years of age (2004) |
| **Cote d'Ivoire** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 18 months (2004) |
| **Croatia** | 18 years of age for compulsory military service, with six-month service obligation; 16 years of age with consent for voluntary service (December 2004) |
| **Cuba** | 17 years of age; both sexes are eligible for military service (2004) |
| **Cyprus** | 18 years of age (2004) |
| **Czech Republic** | 18-50 years of age for voluntary military service; on-going transformation of military service into a fully professional, all-volunteer force no longer dependent on conscription began in January 2004 and is scheduled to be completed by 2007 (2005) |
| **Denmark** | 18 years of age for compulsory and volunteer military service; conscripts serve an initial training period that varies from four to 12 months according to specialization; reservists are assigned to mobilization units following completion of their conscript service; women eligible to volunteer for military service (2004) |
| **Djibouti** | 18 years of age (est.); no conscription (2001) |
| **Dominican Republic** | 18 years of age for voluntary military service (2001) |
| **East Timor** | 18 years of age for voluntary military service (2001) |
| **Ecuador** | 20 years of age for conscript military service; 12-month service obligation (2004) |
| **Egypt** | 18 years of age for conscript military service; three-year service obligation (2001) |
| **El Salvador** | 18 years of age for compulsory military service, with 12-month service obligation; 16 years of age for volunteers (2002) |
| **Equatorial Guinea** | 18 years of age (est.) (2004) |
| **Eritrea** | 18 years of age for voluntary and compulsory military service; conscript service obligation - 16 months (2004) |
