CIA - The World Factbook -- Field Listing - Oil - exports

| Country | Oil - exports (bbl/day) |
| --- | --- |
| **Afghanistan** | NA bbl/day |
| **Albania** | 0 bbl/day (2005 est.) |
| **Algeria** | 1.127 million bbl/day (2004 est.) |
| **American Samoa** | NA bbl/day |
| **Angola** | NA bbl/day |
| **Antigua and Barbuda** | NA bbl/day |
| **Argentina** | NA bbl/day |
| **Armenia** | NA bbl/day |
| **Aruba** | NA bbl/day |
| **Australia** | 523,400 bbl/day (2001) |
| **Austria** | 30,140 bbl/day (2004) |
| **Azerbaijan** | NA bbl/day |
| **Bahamas, The** | transhipments of 29,000 bbl/day (2003) |
| **Bahrain** | NA bbl/day |
| **Bangladesh** | NA bbl/day |
| **Barbados** | NA bbl/day |
| **Belarus** | 14,500 bbl/day (2003 est.) |
| **Belgium** | 450,000 bbl/day (2001) |
| **Belize** | NA bbl/day |
| **Benin** | NA bbl/day |
| **Bermuda** | 0 bbl/day NA bbl/day |
| **Bhutan** | NA bbl/day |
| **Bolivia** | NA bbl/day |
| **Bosnia and Herzegovina** | NA bbl/day |
| **Botswana** | NA bbl/day |
| **Brazil** | 241,700 bbl/day NA bbl/day |
| **British Virgin Islands** | NA bbl/day |
| **Brunei** | 192,700 bbl/day (2005) |
| **Bulgaria** | NA bbl/day |
| **Burkina Faso** | NA bbl/day |
| **Burma** | 3,356 bbl/day (2003) |
| **Burundi** | NA bbl/day |
| **Cambodia** | NA bbl/day |
| **Cameroon** | NA bbl/day |
| **Canada** | 1.6 million bbl/day (2004) |
| **Cape Verde** | NA bbl/day |
| **Cayman Islands** | NA bbl/day |
| **Central African Republic** | NA bbl/day |
| **Chad** | NA bbl/day |
| **Chile** | 0 bbl/day |
| **China** | 340,300 bbl/day (2004) |
| **Colombia** | NA bbl/day |
| **Comoros** | NA bbl/day |
| **Congo, Democratic Republic of the** | NA bbl/day |
| **Congo, Republic of the** | NA bbl/day |
| **Cook Islands** | NA bbl/day |
| **Costa Rica** | NA bbl/day |
| **Cote d'Ivoire** | NA bbl/day |
| **Croatia** | NA bbl/day |
| **Cuba** | NA bbl/day |
| **Cyprus** | NA bbl/day |
| **Czech Republic** | 26,670 bbl/day (2001) |
| **Denmark** | 332,100 bbl/day (2001) |
| **Djibouti** | NA bbl/day |
| **Dominica** | NA bbl/day |
| **Dominican Republic** | NA bbl/day |
| **Ecuador** | 387,000 bbl/day (2004 est.) |
| **Egypt** | 134,000 bbl/day NA bbl/day |
| **El Salvador** | NA bbl/day |
| **Equatorial Guinea** | NA bbl/day |
| **Eritrea** | NA bbl/day |
| **Estonia** | 0 bbl/day (2004) |
| **Ethiopia** | NA bbl/day |
| **European Union** | 5.322 million bbl/day (2001) |
| **Falkland Islands (Islas Malvinas)** | NA bbl/day |
| **Faroe Islands** | NA bbl/day |
| **Fiji** | NA bbl/day |
| **Finland** | 101,000 bbl/day (2001) |
| **France** | 409,600 bbl/day (2001) |
| **French Guiana** | NA bbl/day |
| **French Polynesia** | NA bbl/day |
| **Gabon** | NA bbl/day |
| **Gambia, The** | NA bbl/day |
| **Georgia** | NA bbl/day |
| **Germany** | 12,990 bbl/day (2003) |
| **Ghana** | NA bbl/day |
| **Gibraltar** | NA bbl/day |
| **Greece** | 84,720 bbl/day (2001) |
| **Greenland** | NA bbl/day |
| **Grenada** | NA bbl/day |
| **Guadeloupe** | NA bbl/day |
| **Guam** | NA bbl/day |
| **Guatemala** | 3,104 bbl/day (2003) |
| **Guinea** | NA bbl/day |
| **Guinea-Bissau** | NA bbl/day |
| **Guyana** | NA bbl/day |
| **Haiti** | NA bbl/day |
| **Honduras** | NA bbl/day |
| **Hong Kong** | NA bbl/day |
| **Hungary** | 47,180 bbl/day (2001) |
| **Iceland** | 0 bbl/day (2001) |
| **India** | 350,000 bbl/day |
| **Indonesia** | 431,500 bbl/day (2004 est.) |
| **Iran** | 2.5 million bbl/day (2004 est.) |
| **Iraq** | 1.42 million bbl/day (2005 est.) |
| **Ireland** | 27,450 bbl/day (2001) |
| **Israel** | NA bbl/day |
| **Italy** | 456,600 bbl/day (2001) |
| **Jamaica** | NA bbl/day |
| **Japan** | 93,360 bbl/day (2001) |
| **Jordan** | 0 bbl/day (2004 est.) |
| **Kazakhstan** | 890,000 bbl/day (2003) |
| **Kenya** | NA bbl/day |
| **Kiribati** | NA bbl/day |
| **Korea, North** | NA bbl/day |
| **Korea, South** | 645,200 bbl/day (2004) |
| **Kuwait** | 1.97 million bbl/day (2003) |
| **Kyrgyzstan** | NA bbl/day |
| **Laos** | NA bbl/day |
| **Latvia** | 0 bbl/day (2004) |
| **Lebanon** | NA bbl/day |
| **Lesotho** | NA bbl/day |
| **Libya** | 1.34 million bbl/day NA bbl/day |
| **Lithuania** | NA bbl/day |
| **Luxembourg** | 634 bbl/day (2001) |
| **Macau** | NA bbl/day |
| **Macedonia** | NA bbl/day |
| **Madagascar** | NA bbl/day |
| **Malawi** | NA bbl/day |
| **Malaysia** | 230,200 bbl/day (2003) |
| **Maldives** | NA bbl/day |
| **Mali** | NA bbl/day |
| **Malta** | NA bbl/day |
| **Martinique** | NA bbl/day |
| **Mauritania** | NA bbl/day |
| **Mauritius** | NA bbl/day |
| **Mexico** | 1.863 million bbl/day (2004) |
| **Moldova** | NA bbl/day |
| **Mongolia** | 515 bbl/day (2005 est.) |
| **Montserrat** | NA bbl/day |
| **Morocco** | 0 bbl/day NA bbl/day |
| **Mozambique** | NA bbl/day |
| **Namibia** | NA bbl/day |
| **Nauru** | NA bbl/day |
| **Nepal** | NA bbl/day |
| **Netherlands** | 1.418 million bbl/day (2001) |
| **Netherlands Antilles** | NA bbl/day |
| **New Caledonia** | NA bbl/day |
| **New Zealand** | 30,220 bbl/day (2001) |
| **Nicaragua** | 758.9 bbl/day (2004) |
| **Niger** | NA bbl/day |
| **Nigeria** | NA bbl/day |
| **Niue** | NA bbl/day |
| **Norway** | 3.466 million bbl/day (2001) |
| **Oman** | 721,000 bbl/day (2004) |
| **Pakistan** | NA bbl/day |
| **Panama** | NA bbl/day |
| **Papua New Guinea** | NA bbl/day |
| **Paraguay** | NA bbl/day |
| **Peru** | 49,000 bbl/day (2004 est.) |
| **Philippines** | 0 bbl/day (2001) |
| **Poland** | 53,000 bbl/day (2001) |
| **Portugal** | 28,830 bbl/day (2001) |
| **Puerto Rico** | NA bbl/day |
| **Qatar** | NA bbl/day |
| **Reunion** | NA bbl/day |
| **Romania** | NA bbl/day |
| **Russia** | 5.15 million bbl/day (2004) |
| **Rwanda** | NA bbl/day |
| **Saint Helena** | NA bbl/day |
| **Saint Kitts and Nevis** | NA bbl/day |
| **Saint Lucia** | NA bbl/day |
| **Saint Pierre and Miquelon** | NA bbl/day |
| **Saint Vincent and the Grenadines** | NA bbl/day |
| **Samoa** | NA bbl/day |
| **Sao Tome and Principe** | NA bbl/day |
| **Saudi Arabia** | 7.92 million bbl/day (2003) |
| **Senegal** | NA bbl/day |
| **Seychelles** | NA bbl/day |
| **Sierra Leone** | NA bbl/day |
| **Singapore** | NA bbl/day |
| **Slovakia** | 2,160 bbl/day NA bbl/day |
| **Slovenia** | NA bbl/day |
| **Solomon Islands** | NA bbl/day |
| **Somalia** | NA bbl/day |
| **South Africa** | NA bbl/day |
| **Spain** | 135,100 bbl/day (2001) |
| **Sri Lanka** | NA bbl/day |
| **Sudan** | 275,000 bbl/day (2004) |
| **Suriname** | 1,370 bbl/day (2003) |
| **Swaziland** | NA bbl/day |
| **Sweden** | 203,700 bbl/day (2001) |
| **Switzerland** | 10,420 bbl/day (2001) |
| **Syria** | 285,000 bbl/day (2004) |
| **Taiwan** | NA bbl/day |
| **Tajikistan** | NA bbl/day |
| **Tanzania** | NA bbl/day |
| **Thailand** | NA bbl/day |
| **Togo** | NA bbl/day |
| **Tonga** | NA bbl/day |
