CIA - The World Factbook 2002 -- Field Listing - Political pressure groups and leaders

| Country | Political pressure groups and leaders |
| --- | --- |
| **Afghanistan** | NA; note - ministries formed under the Transitional Islamic State of Afghanistan (TISA) include former influential Afghans, diaspora members, and former political leaders |
| **Albania** | NA |
| **Algeria** | NA |
| **American Samoa** | NA |
| **Andorra** | NA |
| **Angola** | Front for the Liberation of the Enclave of Cabinda or FLEC [N'zita Henriques TIAGO; Antonio Bento BEMBE] |
| | *note:* FLEC is waging a small-scale, highly factionalized, armed struggle for the independence of Cabinda Province |
| **Anguilla** | NA |
| **Antigua and Barbuda** | Antigua Trades and Labor Union or ATLU [William ROBINSON]; People's Democratic Movement or PDM [Hugh MARSHALL] |
| **Argentina** | Argentine Association of Pharmaceutical Labs (CILFA); Argentine Industrial Union (manufacturers' association); Argentine Rural Society (large landowners' association); business organizations; General Confederation of Labor or CGT (Peronist-leaning umbrella labor organization); Peronist-dominated labor movement; Roman Catholic Church; students |
| **Armenia** | Yerkrapah Union [Manvel GRIGORIAN] |
| **Aruba** | NA |
| **Australia** | Australian Monarchist League [leader NA]; Australian Republican Movement [leader NA] |
| **Austria** | Austrian Trade Union Federation (primarily Socialist) or OeGB; Federal Economic Chamber; OeVP-oriented League of Austrian Industrialists or VOeI; Roman Catholic Church, including its chief lay organization, Catholic Action; three composite leagues of the Austrian People's Party or OeVP representing business, labor, and farmers |
| **Azerbaijan** | Sadval, Lezgin movement; self-proclaimed Armenian Nagorno-Karabakh Republic; Talysh independence movement |
| **Bahamas, The** | NA |
| **Bahrain** | Shi'a activists fomented unrest sporadically in 1994-97, demanding the return of an elected National Assembly and an end to unemployment; several small, clandestine leftist and Islamic fundamentalist groups are active |
| **Bangladesh** | NA |
| **Barbados** | Barbados Workers Union [Leroy TROTMAN]; Clement Payne Labor Union [David COMMISSIONG]; People's Progressive Movement [Eric SEALY]; Worker's Party of Barbados [Dr. George BELLE] |
| **Belarus** | NA |
| **Belgium** | Christian and Socialist Trade Unions; Federation of Belgian Industries; numerous other associations representing bankers, manufacturers, middle-class artisans, and the legal and medical professions; various organizations represent the cultural interests of Flanders and Wallonia; various peace groups such as Pax Christi and groups representing immigrants |
| **Belize** | Society for the Promotion of Education and Research or SPEAR [Adele CATZIM] |
| **Benin** | NA |
| **Bermuda** | Bermuda Employer's Union [Eddie SAINTS]; Bermuda Industrial Union or BIU [Derrick BURGESS]; Bermuda Public Services Association or BPSA [leader NA]; Bermuda Union of Teachers [Michael CHARLES] |
| **Bhutan** | Buddhist clergy; ethnic Nepalese organizations leading militant antigovernment campaign; Indian merchant community; United Front for Democracy (exiled) |
| **Bolivia** | Cocalero Groups; indigenous organizations; labor unions; Sole Confederation of Campesino Workers of Bolivia or CSUTCB [Felipe QUISPE] |
| **Bosnia and Herzegovina** | NA |
| **Botswana** | NA |
| **Brazil** | left wing of the Catholic Church; Landless Worker's Movement; labor unions allied to leftist Worker's Party |
| **British Virgin Islands** | NA |
| **Brunei** | NA |
| **Bulgaria** | agrarian movement; Bulgarian Democratic Center; Confederation of Independent Trade Unions of Bulgaria or CITUB; Democratic Alliance for the Republic or DAR; New Union for Democracy or NUD; Podkrepa Labor Confederation; numerous regional, ethnic, and national interest groups with various agendas |
| **Burkina Faso** | Burkinabe General Confederation of Labor or CGTB; Burkinabe Movement for Human Rights or MBDHP; Group of 14 February; National Confederation of Burkinabe Workers or CNTB; National Organization of Free Unions or ONSL; watchdog/political action groups throughout the country in both organizations and communities |
| **Burma** | All Burma Student Democratic Front or ABSDF; Kachin Independence Army or KIA; Karen National Union or KNU; National Coalition Government of the Union of Burma or NCGUB [Dr. SEIN WIN] consists of individuals legitimately elected to the People's Assembly but not recognized by the military regime (the group fled to a border area and joined with insurgents in December 1990 to form a parallel government); several Shan factions; United Wa State Army or UWSA |
| **Burundi** | Loosely organized Hutu and Tutsi militias, often affiliated with Hutu and Tutsi extremist parties or subordinate to government security forces |
| **Cambodia** | NA |
