CIA - The World Factbook -- Field Listing - Political pressure groups and leaders

| Country | Political pressure groups and leaders |
| --- | --- |
| **Afghanistan** | Jamiat-e Islami (Society of Islam), [former President Burhanuddin RABBANI]; Ittihad-e Islami (Islamic Union for the Liberation of Afghanistan), [Abdul Rasul SAYYAF]; there are also small monarchist, communist, and democratic groups |
| **Albania** | Confederation of Trade Unions of Albania or KSSH [Kastriot MUCO]; Front for Albanian National Unification or FBKSH [Gafur ADILI]; Omonia [Jani JANI]; Union of Independent Trade Unions of Albania or BSPSH [Gezim KALAJA] |
| **Algeria** | The Algerian Human Rights League or LADH or LADDH [Yahia Ali ABDENOUR]; SOS Disparus [Nacera DUTOUR]; Somoud [Ali MERABET] |
| **American Samoa** | NA |
| **Andorra** | NA |
| **Angola** | Front for the Liberation of the Enclave of Cabinda or FLEC [N'zita Henriques TIAGO; Antonio Bento BEMBE] |
| | *note:* FLEC is waging a small-scale, highly factionalized, armed struggle for the independence of Cabinda Province |
| **Anguilla** | NA |
| **Antigua and Barbuda** | Antigua Trades and Labor Union or ATLU [William ROBINSON]; People's Democratic Movement or PDM [Hugh MARSHALL] |
| **Argentina** | Argentine Association of Pharmaceutical Labs (CILFA); Argentine Industrial Union (manufacturers' association); Argentine Rural Society (large landowners' association); business organizations; General Confederation of Labor or CGT (Peronist-leaning umbrella labor organization); Central of Argentine Workers or CTA (a radical union for employed and unemployed workers); Peronist-dominated labor movement; Roman Catholic Church; students |
| **Armenia** | Yerkrapah Union [Manvel GRIGORIAN] |
| **Aruba** | NA |
| **Australia** | Australian Monarchist League [leader NA]; Australian Republican Movement [leader NA] |
| **Austria** | Austrian Trade Union Federation (nominally independent but primarily Socialist) or OeGB; Federal Economic Chamber; OeVP-oriented League of Austrian Industrialists or VOeI; Roman Catholic Church, including its chief lay organization, Catholic Action; three composite leagues of the Austrian People's Party or OeVP representing business, labor, and farmers and other non-government organizations in the areas of environment and human rights |
| **Azerbaijan** | Sadval, Lezgin movement; self-proclaimed Armenian Nagorno-Karabakh Republic; Talysh independence movement; Union of Pro-Azerbaijani Forces (UPAF) |
| **Bahamas, The** | NA |
| **Bahrain** | Shi'a activists fomented unrest sporadically in 1994-97, demanding the return of an elected National Assembly and an end to unemployment; several small, clandestine leftist and Islamic fundamentalist groups are active |
| **Bangladesh** | NA |
| **Barbados** | Barbados Workers Union [Leroy TROTMAN]; Clement Payne Labor Union [David COMMISSIONG]; People's Progressive Movement [Eric SEALY]; Worker's Party of Barbados [Dr. George BELLE] |
| **Belarus** | NA |
| **Belgium** | Christian, Socialist, and Liberal Trade Unions; Federation of Belgian Industries; numerous other associations representing bankers, manufacturers, middle-class artisans, and the legal and medical professions; various organizations represent the cultural interests of Flanders and Wallonia; various peace groups such as Pax Christi and groups representing immigrants |
| **Belize** | Society for the Promotion of Education and Research or SPEAR [Adele CATZIM] |
| **Benin** | NA |
| **Bermuda** | Bermuda Employer's Union [Eddie SAINTS]; Bermuda Industrial Union or BIU [Derrick BURGESS]; Bermuda Public Services Union or BPSU [Ed BALL]; Bermuda Union of Teachers [Michael CHARLES] |
| **Bhutan** | Buddhist clergy; ethnic Nepalese organizations leading militant antigovernment campaign; Indian merchant community; United Front for Democracy (exiled) |
| **Bolivia** | Cocalero Groups; indigenous organizations; labor unions; Sole Confederation of Campesino Workers of Bolivia or CSUTCB [Roman LOAYZA] |
| **Bosnia and Herzegovina** | NA |
| **Botswana** | NA |
| **Brazil** | Landless Worker's Movement; large farmers' associations; labor unions and federations; religious groups including evangelical christian churches and the Catholic Church |
| **British Virgin Islands** | NA |
| **Brunei** | NA |
| **Bulgaria** | Confederation of Independent Trade Unions of Bulgaria or CITUB; Podkrepa Labor Confederation; numerous regional, ethnic, and national interest groups with various agendas |
| **Burkina Faso** | Burkinabe General Confederation of Labor or CGTB; Burkinabe Movement for Human Rights or MBDHP; Group of 14 February; National Confederation of Burkinabe Workers or CNTB; National Organization of Free Unions or ONSL; watchdog/political action groups throughout the country in both organizations and communities |
| **Burma** | National Coalition Government of the Union of Burma or NCGUB (self-proclaimed government in exile) ["Prime Minister" Dr. SEIN WIN] consists of individuals, some legitimately elected to the People's Assembly in 1990 (the group fled to a border area and joined insurgents in December 1990 to form parallel government in exile); Kachin Independence Army or KIA; Karen National Union or KNU; several Shan factions; United Wa State Army or UWSA; Union Solidarity and Development Association or USDA (progovernment, a social and political organization) [THAN AUNG, general secretary] |
| **Burundi** | loosely organized Hutu and Tutsi militias, often affiliated with Hutu and Tutsi extremist parties or subordinate to government security forces |
| **Cambodia** | NA |
| **Cameroon** | Southern Cameroon National Council [Ayamba Ette OTUN]; Human Rights Defense Group [Albert MUKONG, president] |
| **Canada** | NA |
| **Cape Verde** | NA |
| **Cayman Islands** | NA |
| **Central African Republic** | NA |
| **Chad** | NA |
| **Chile** | revitalized university student federations at all major universities; Roman Catholic Church; United Labor Central or CUT includes trade unionists from the country's five largest labor confederations |
| **China** | no substantial political opposition groups exist, although the government has identified the Falungong spiritual movement and the China Democracy Party as subversive groups |
| **Christmas Island** | none |
| **Cocos (Keeling) Islands** | none |
| **Colombia** | two largest insurgent groups active in Colombia - Revolutionary Armed Forces of Colombia or FARC and National Liberation Army or ELN; largest anti-insurgent paramilitary group is United Self-Defense Groups of Colombia or AUC |
| **Comoros** | NA |
| **Congo, Democratic Republic of the** | NA |
| **Congo, Republic of the** | Congolese Trade Union Congress or CSC; General Union of Congolese Pupils and Students or UGEEC; Revolutionary Union of Congolese Women or URFC; Union of Congolese Socialist Youth or UJSC |
| **Cook Islands** | NA |
| **Costa Rica** | Authentic Confederation of Democratic Workers or CATD (Communist Party affiliate); Chamber of Coffee Growers; Confederated Union of Workers or CUT (Communist Party affiliate); Costa Rican Confederation of Democratic Workers or CCTD (Liberation Party affiliate); Federation of Public Service Workers or FTSP; National Association for Economic Development or ANFE; National Association of Educators or ANDE; Rerum Novarum or CTRN (PLN affiliate) [Gilbert Brown] |
| **Cote d'Ivoire** | NA |
| **Croatia** | NA |
| **Cuba** | NA |
| **Cyprus** | Confederation of Cypriot Workers or SEK (pro-West); Confederation of Revolutionary Labor Unions or Dev-Is; Federation of Turkish Cypriot Labor Unions or Turk-Sen; Pan-Cyprian Labor Federation or PEO (Communist controlled) |
| **Czech Republic** | Bohemian and Moravian Trade Union Confederation [Milan STECH] |
| **Denmark** | NA |
