CIA - The World Factbook -- Field Listing :: School life expectancy (primary to tertiary education)   

School life expectancy (SLE) is the total number of years of schooling (primary to tertiary) that a child can expect to receive, assuming that the probability of his or her being enrolled in school at any particular future age is equal to the current enrollment ratio at that age. Caution must be maintained when utilizing this indicator in international comparisons. For example, a year or grade completed in one country is not necessarily the same in terms of educational content or quality as a year or grade completed in another country. SLE represents the expected number of years of schooling that will be completed, including years spent repeating one or more grades.

| Country | School life expectancy (primary to tertiary education)(years) |
| --- | --- |
| **Afghanistan** | *total:* 9 years |
| | *male:* 11 years |
| | *female:* 7 years (2009) |
| **Akrotiri** | NA |
| **Albania** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2004) |
| **Algeria** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2005) |
| **American Samoa** | NA |
| **Andorra** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 12 years (2008) |
| **Angola** | *total:* 9 years (2006) |
| **Anguilla** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2008) |
| **Antigua and Barbuda** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2009) |
| **Argentina** | *total:* 16 years |
| | *male:* 15 years |
| | *female:* 17 years (2007) |
| **Armenia** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2009) |
| **Aruba** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 13 years (2009) |
| **Australia** | *total:* 21 years |
| | *male:* 20 years |
| | *female:* 21 years (2008) |
| **Austria** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 15 years (2008) |
| **Azerbaijan** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2009) |
| **Bahamas, The** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2006) |
| **Bahrain** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2006) |
| **Bangladesh** | *total:* 8 years |
| | *male:* 8 years |
| | *female:* 8 years (2007) |
| **Barbados** | *total:* 13 years |
| | *male:* 13 years |
| | *female:* 14 years (2001) |
| **Belarus** | *total:* 15 years |
| | *male:* 14 years |
| | *female:* 15 years (2007) |
| **Belgium** | *total:* 16 years |
| | *male:* 16 years |
| | *female:* 16 years (2008) |
| **Belize** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 13 years (2009) |
| **Benin** | *total:* 9 years |
| | *male:* 11 years |
| | *female:* 8 years (2005) |
| **Bermuda** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2006) |
| **Bhutan** | *total:* 11 years |
| | *male:* 11 years |
| | *female:* 11 years (2008) |
| **Bolivia** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2007) |
| **Bosnia and Herzegovina** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2009) |
| **Botswana** | *total:* 12 years |
| | *male:* 12 years |
| | *female:* 12 years (2007) |
| **Brazil** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2008) |
| **British Indian Ocean Territory** | NA |
| **British Virgin Islands** | *total:* 15 years |
| | *male:* 15 years |
| | *female:* 16 years (2009) |
| **Brunei** | *total:* 14 years |
| | *male:* 14 years |
| | *female:* 14 years (2009) |
| **Bulgaria** | *total:* 14 years |
| | *male:* 13 years |
| | *female:* 14 years (2008) |
| **Burkina Faso** | *total:* 6 years |
| | *male:* 7 years |
| | *female:* 6 years (2009) |
| **Burma** | *total:* 9 years |
| | *male:* 8 years |
| | *female:* 8 years (2007) |
| **Burundi** | *total:* 10 years |
| | *male:* 9 years |
| | *female:* 7 years (2009) |
| **Cambodia** | *total:* 10 years |
| | *male:* 10 years |
| | *female:* 9 years (2007) |
| **Cameroon** | *total:* 10 years |
| | *male:* 11 years |
| | *female:* 9 years (2009) |
| **Canada** | *total:* 17 years |
| | *male:* 17 years |
| | *female:* 17 years (2004) |
| **Cape Verde** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 12 years (2009) |
| **Cayman Islands** | *total:* 12 years |
| | *male:* 11 years |
| | *female:* 12 years (2008) |
