CIA - The World Factbook -- Field Listing - Telephone system

| Country | Telephone system |
| --- | --- |
| **Afghanistan** | *general assessment:* very limited telephone and telegraph service; many Afghans utilize growing cellular phone coverage in major cities |
| | *domestic:* telephone service is improving with the licensing of several wireless telephone service providers in 2005 and 2006; approximately 8 in 100 Afghans own a wireless telephone; telephone main lines remain limited |
| | *international:* country code - 93; five VSAT's installed in Kabul, Herat, Mazar-e-Sharif, Kandahar, and Jalalabad provide international and domestic voice and data connectivity (2007) |
| **Albania** | *general assessment:* despite new investment in fixed lines, the density of main lines remains low with roughly 10 lines per 100 people; however, cellular telephone use is widespread and generally effective; combined fixed line and mobile telephone density is approximately 60 telephones per 100 persons |
| | *domestic:* offsetting the shortage of fixed line capacity, mobile phone service has been available since 1996; by 2003 two companies were providing mobile services at a greater density than some of Albania's Balkan neighbors; Internet broadband services initiated in 2005; internet cafes are popular in Tirana and have started to spread outside the capital |
| | *international:* country code - 355; submarine cable provides connectivity to Italy, Croatia, and Greece; the Trans-Balkan Line, a combination submarine cable and land fiber optic system, provides additional connectivity to Bulgaria, Macedonia, and Turkey; international traffic carried by fiber-optic cable and, when necessary, by microwave radio relay from the Tirana exchange to Italy and Greece (2007) |
| **Algeria** | *general assessment:* a weak network of fixed-main lines, which remains low at less than 10 telephones per 100 persons, is partially offset by the rapid increase in mobile cellular subscribership; in 2006, combined fixed-line and mobile telephone density surpassed 70 telephones per 100 persons |
| | *domestic:* privatization of Algeria's telecommunications sector began in 2000; three mobile cellular licenses have been issued and, in 2005, a consortium led by Egypt's Orascom Telecom won a 15-year license to build and operate a fixed-line network in Algeria; the license will allow Orascom to develop high-speed data and other specialized services and contribute to meeting the large unfulfilled demand for basic residential telephony; internet broadband services began in 2003 with approximately 200,000 subscribers in 2006 |
| | *international:* country code - 213; landing point for the SEA-ME-WE-4 fiber- optic submarine cable system that provides links to Europe, the Middle East and Asia; microwave radio relay to Italy, France, Spain, Morocco, and Tunisia; coaxial cable to Morocco and Tunisia; participant in Medarabtel; satellite earth stations - 51 (Intelsat, Intersputnik, and Arabsat) (2007) |
| **American Samoa** | *general assessment:* NA |
| | *domestic:* good telex, telegraph, facsimile and cellular telephone services; domestic satellite system with 1 Comsat earth station |
| | *international:* country code - 1-684; satellite earth station - 1 (Intelsat-Pacific Ocean) |
| **Andorra** | *general assessment:* NA |
| | *domestic:* modern system with microwave radio relay connections between exchanges |
