CIA - The World Factbook --  Birth rate   

This entry gives the average annual number of births during a year per 1,000 persons in the population at midyear; also known as crude birth rate. The birth rate is usually the dominant factor in determining the rate of population growth. It depends on both the level of fertility and the age structure of the population.

| Rank | country | (births/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Niger | 46.84 | 2013 est. |
| 2 | Mali | 46.06 | 2013 est. |
| 3 | Uganda | 44.50 | 2013 est. |
| 4 | Burkina Faso | 42.81 | 2013 est. |
| 5 | Zambia | 42.79 | 2013 est. |
| 6 | Somalia | 41.45 | 2013 est. |
| 7 | Burundi | 40.04 | 2013 est. |
| 8 | Malawi | 39.98 | 2013 est. |
| 9 | Congo, Republic of the | 39.63 | 2013 est. |
| 10 | Angola | 39.16 | 2013 est. |
| 11 | Mozambique | 39.08 | 2013 est. |
| 12 | Afghanistan | 39.05 | 2013 est. |
| 13 | Nigeria | 38.78 | 2013 est. |
| 14 | South Sudan | 38.50 | 2013 est. |
| 15 | Ethiopia | 38.07 | 2013 est. |
| 16 | Chad | 37.99 | 2013 est. |
| 17 | Sierra Leone | 37.77 | 2013 est. |
| 18 | Tanzania | 37.25 | 2013 est. |
| 19 | Benin | 37.02 | 2013 est. |
| 20 | Congo, Democratic Republic of the | 36.34 | 2013 est. |
| 21 | Guinea | 36.30 | 2013 est. |
| 22 | Sao Tome and Principe | 36.05 | 2013 est. |
| 23 | Central African Republic | 35.80 | 2013 est. |
| 24 | Liberia | 35.75 | 2013 est. |
| 25 | Senegal | 35.64 | 2013 est. |
| 26 | Rwanda | 35.49 | 2013 est. |
| 27 | Togo | 34.90 | 2013 est. |
| 28 | Timor-Leste | 34.85 | 2013 est. |
| 29 | Gabon | 34.82 | 2013 est. |
| 30 | Equatorial Guinea | 34.35 | 2013 est. |
| 31 | Guinea-Bissau | 34.28 | 2013 est. |
| 32 | Madagascar | 33.58 | 2013 est. |
| 33 | Gaza Strip | 33.27 | 2013 est. |
| 34 | Gambia, The | 32.59 | 2013 est. |
| 35 | Zimbabwe | 32.41 | 2013 est. |
| 36 | Mauritania | 32.31 | 2013 est. |
| 37 | Cameroon | 31.93 | 2013 est. |
| 38 | Ghana | 31.70 | 2013 est. |
| 39 | Yemen | 31.63 | 2013 est. |
| 40 | Eritrea | 31.39 | 2013 est. |
| 41 | Western Sahara | 31.18 | 2013 est. |
| 42 | Sudan | 30.84 | 2013 est. |
| 43 | Comoros | 30.26 | 2013 est. |
| 44 | Kenya | 30.08 | 2013 est. |
| 45 | Cote d'Ivoire | 29.83 | 2013 est. |
| 46 | Iraq | 27.51 | 2013 est. |
| 47 | Marshall Islands | 27.21 | 2013 est. |
| 48 | Solomon Islands | 26.90 | 2013 est. |
| 49 | Nauru | 26.39 | 2013 est. |
| 50 | Vanuatu | 26.35 | 2013 est. |
| 51 | Lesotho | 26.31 | 2013 est. |
| 52 | Jordan | 26.23 | 2013 est. |
| 53 | Guatemala | 25.99 | 2013 est. |
| 54 | Swaziland | 25.68 | 2013 est. |
| 55 | Belize | 25.58 | 2013 est. |
| 56 | Tajikistan | 25.49 | 2013 est. |
| 57 | Papua New Guinea | 25.40 | 2013 est. |
| 58 | Laos | 25.23 | 2013 est. |
| 59 | Cambodia | 24.88 | 2013 est. |
| 60 | Philippines | 24.62 | 2013 est. |
| 61 | Djibouti | 24.50 | 2013 est. |
| 62 | Oman | 24.43 | 2013 est. |
| 63 | Algeria | 24.25 | 2013 est. |
