CIA - The World Factbook --  BUDGET SURPLUS (+) OR DEFICIT (-)

Budget surplus or deficit records the difference between national government revenues and expenditures, expressed as a percent of GDP. A positive (+) number indicates that revenues exceeded expenditures (a budget surplus), while a negative (-) number indicates the reverse (a budget deficit).

| Rank | Country | (% OF GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Macau | 35.50 | 2014 est. |
| 2 | Kuwait | 25.40 | 2014 est. |
| 3 | Brunei | 14.30 | 2014 est. |
| 4 | Norway | 12.50 | 2014 est. |
| 5 | Qatar | 11.20 | 2014 est. |
| 6 | United Arab Emirates | 5.90 | 2014 est. |
| 7 | Saint Kitts and Nevis | 4.60 | 2014 est. |
| 8 | Saint Pierre and Miquelon | 4.60 | 1996 |
| 9 | Congo, Republic of the | 3.70 | 2014 est. |
| 10 | Oman | 3.00 | 2014 est. |
| 11 | Iraq | 2.90 | 2014 est. |
| 12 | Antigua and Barbuda | 2.70 | 2014 est. |
| 13 | Montenegro | 2.10 | 2012 est. |
| 14 | Liechtenstein | 2.10 | 2012 est. |
| 15 | Greenland | 1.90 | 2010 |
| 16 | Botswana | 1.70 | 2014 est. |
| 17 | Seychelles | 1.60 | 2014 est. |
| 18 | Micronesia, Federated States of | 1.50 | FY10/11 est. |
| 19 | Nepal | 1.30 | 2014 est. |
| 20 | Gibraltar | 1.30 | 2008 est. |
| 21 | Guernsey | 1.20 | 2005 |
| 22 | Brazil | 1.20 | 2014 est. |
| 23 | Cayman Islands | 1.10 | 2014 est. |
| 24 | Turkmenistan | 1.00 | 2014 est. |
| 25 | Cook Islands | 1.00 | FY05/06 est. |
| 26 | French Polynesia | 0.90 | 2012 |
| 27 | Hong Kong | 0.70 | 2014 est. |
| 28 | Korea, South | 0.50 | 2014 est. |
| 29 | Singapore | 0.50 | 2014 est. |
| 30 | Isle of Man | 0.50 | FY05/06 est. |
| 31 | Marshall Islands | 0.40 | FY09 est. |
| 32 | Russia | 0.40 | 2014 est. |
| 33 | Germany | 0.40 | 2014 est. |
| 34 | Switzerland | 0.30 | 2014 est. |
| 35 | Luxembourg | 0.20 | 2014 est. |
| 36 | Iceland | 0.10 | 2014 est. |
| 37 | Solomon Islands | 0.00 | 2014 est. |
| 38 | Latvia | 0.00 | 2014 est. |
| 39 | British Virgin Islands | 0.00 | 2014 est. |
| 40 | Saint Vincent and the Grenadines | 0.00 | 2014 est. |
| 41 | Tonga | 0.00 | 2014 est. |
| 42 | Puerto Rico | -0.10 | 2014 est. |
| 43 | Peru | -0.10 | 2014 est. |
| 44 | Estonia | -0.20 | 2014 est. |
| 45 | Belarus | -0.20 | 2014 est. |
| 46 | Andorra | -0.30 | 2012 |
| 47 | Congo, Democratic Republic of the | -0.30 | 2014 est. |
| 48 | Tajikistan | -0.40 | 2014 est. |
| 49 | Curacao | -0.40 | 2012 est. |
| 50 | Jersey | -0.40 | 2005 |
| 51 | Korea, North | -0.40 | 2007 est. |
| 52 | Bolivia | -0.50 | 2014 est. |
| 53 | Anguilla | -0.50 | 2014 est. |
| 54 | Afghanistan | -0.60 | 2013 est. |
| 55 | Iran | -0.70 | 2014 est. |
