CIA - The World Factbook --  Budget   

This entry includes revenues, expenditures, and capital expenditures. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Budget | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 2,978,000,000,000 | 2008 est. |
| 2 | United States | $ 2,524,000,000,000 | 2008 est. |
| 3 | Japan | $ 1,788,000,000,000 | 2008 est. |
| 4 | Japan | $ 1,720,000,000,000 | 2008 est. |
| 5 | Germany | $ 1,591,000,000,000 | 2008 est. |
| 6 | Germany | $ 1,591,000,000,000 | 2008 est. |
| 7 | France | $ 1,506,000,000,000 | 2008 est. |
| 8 | France | $ 1,407,000,000,000 | 2008 est. |
| 9 | United Kingdom | $ 1,214,000,000,000 | 2008 est. |
| 10 | Italy | $ 1,132,000,000,000 | 2008 est. |
| 11 | Italy | $ 1,068,000,000,000 | 2008 est. |
| 12 | United Kingdom | $ 1,056,000,000,000 | 2008 est. |
| 13 | China | $ 861,600,000,000 | 2008 est. |
| 14 | China | $ 847,800,000,000 | 2008 est. |
| 15 | Spain | $ 659,100,000,000 | 2008 est. |
| 16 | Spain | $ 598,100,000,000 | 2008 est. |
| 17 | Canada | $ 594,100,000,000 | 2008 est. |
| 18 | Canada | $ 573,700,000,000 | 2008 est. |
| 19 | Netherlands | $ 405,900,000,000 | 2008 est. |
| 20 | Netherlands | $ 397,300,000,000 | 2008 est. |
| 21 | Russia | $ 364,600,000,000 | 2008 est. |
| 22 | Australia | $ 350,300,000,000 | 2008 est. |
| 23 | Australia | $ 332,400,000,000 | 2008 est. |
| 24 | Russia | $ 304,600,000,000 | 2008 est. |
| 25 | Saudi Arabia | $ 293,700,000,000 | 2008 est. |
| 26 | Norway | $ 266,200,000,000 | 2008 est. |
| 27 | Sweden | $ 259,900,000,000 | 2008 est. |
| 28 | Mexico | $ 258,100,000,000 | 2008 est. |
| 29 | Mexico | $ 257,100,000,000 | 2008 est. |
| 30 | Sweden | $ 248,100,000,000 | 2008 est. |
| 31 | Belgium | $ 245,700,000,000 | 2008 est. |
| 32 | Belgium | $ 239,400,000,000 | 2008 est. |
| 33 | Korea, South | $ 227,500,000,000 | 2008 est. |
| 34 | Korea, South | $ 216,700,000,000 | 2008 est. |
| 35 | India | $ 202,600,000,000 | 2008 est. |
| 36 | Austria | $ 200,700,000,000 | 2008 est. |
| 37 | Austria | $ 196,400,000,000 | 2008 est. |
| 38 | Switzerland | $ 189,800,000,000 | 2008 est. |
| 39 | Denmark | $ 188,600,000,000 | 2008 est. |
| 40 | Switzerland | $ 185,200,000,000 | 2008 est. |
| 41 | Norway | $ 178,100,000,000 | 2008 est. |
| 42 | Denmark | $ 176,300,000,000 | 2008 est. |
| 43 | Turkey | $ 173,600,000,000 | 2008 est. |
| 44 | Turkey | $ 160,500,000,000 | 2008 est. |
| 45 | Greece | $ 144,400,000,000 | 2008 est. |
| 46 | Finland | $ 143,800,000,000 | 2008 est. |
| 47 | Saudi Arabia | $ 136,000,000,000 | 2008 est. |
| 48 | Finland | $ 132,300,000,000 | 2008 est. |
| 49 | India | $ 126,700,000,000 | 2008 est. |
| 50 | Greece | $ 126,500,000,000 | 2008 est. |
| 51 | Poland | $ 115,700,000,000 | 2008 est. |
| 52 | Portugal | $ 111,900,000,000 | 2008 est. |
| 53 | Ireland | $ 109,900,000,000 | 2008 est. |
