CIA - The World Factbook --  Budget   

| Rank | country | Budget | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 3,517,000,000,000 | 2013 est. |
| 2 | United States | $ 2,849,000,000,000 | 2013 est. |
| 3 | China | $ 2,292,000,000,000 | 2013 est. |
| 4 | Japan | $ 2,149,000,000,000 | 2013 est. |
| 5 | China | $ 2,118,000,000,000 | 2013 est. |
| 6 | Japan | $ 1,739,000,000,000 | 2013 est. |
| 7 | Germany | $ 1,626,000,000,000 | 2013 est. |
| 8 | Germany | $ 1,624,000,000,000 | 2013 est. |
| 9 | France | $ 1,522,000,000,000 | 2013 est. |
| 10 | France | $ 1,410,000,000,000 | 2013 est. |
| 11 | United Kingdom | $ 1,112,000,000,000 | 2013 est. |
| 12 | Italy | $ 1,052,000,000,000 | 2013 est. |
| 13 | United Kingdom | $ 1,023,000,000,000 | 2013 est. |
| 14 | Italy | $ 984,000,000,000 | 2013 est. |
| 15 | Brazil | $ 851,100,000,000 | 2013 est. |
| 16 | Brazil | $ 815,600,000,000 | 2013 est. |
| 17 | Canada | $ 740,800,000,000 | 2013 est. |
| 18 | Canada | $ 687,800,000,000 | 2013 est. |
| 19 | Spain | $ 597,300,000,000 | 2013 est. |
| 20 | Australia | $ 514,400,000,000 | 2013 est. |
| 21 | Spain | $ 505,100,000,000 | 2013 est. |
| 22 | Australia | $ 494,300,000,000 | 2013 est. |
| 23 | Russia | $ 450,300,000,000 | 2013 est. |
| 24 | Russia | $ 439,000,000,000 | 2013 est. |
| 25 | Netherlands | $ 339,300,000,000 | 2014 est. |
| 26 | Mexico | $ 324,100,000,000 | 2013 est. |
| 27 | Netherlands | $ 315,500,000,000 | 2014 est. |
| 28 | Saudi Arabia | $ 302,600,000,000 | 2013 est. |
| 29 | Korea, South | $ 296,100,000,000 | 2013 est. |
| 30 | Sweden | $ 294,700,000,000 | 2013 est. |
| 31 | Norway | $ 292,800,000,000 | 2013 est. |
| 32 | Mexico | $ 291,200,000,000 | 2013 est. |
| 33 | Korea, South | $ 287,200,000,000 | 2013 est. |
| 34 | Sweden | $ 283,500,000,000 | 2013 est. |
| 35 | India | $ 281,600,000,000 | 2013 est. |
| 36 | Saudi Arabia | $ 258,400,000,000 | 2013 est. |
| 37 | Belgium | $ 258,200,000,000 | 2013 est. |
| 38 | Belgium | $ 241,900,000,000 | 2013 est. |
| 39 | Norway | $ 225,000,000,000 | 2013 est. |
| 40 | Switzerland | $ 217,800,000,000 | 2013 est. |
