CIA - The World Factbook --  Carbon dioxide emissions from consumption of energy   

This entry is the total amount of carbon dioxide, measured in metric tons, released by burning fossil fuels in the process of producing and consuming energy.

| Rank | country | (Mt) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | 3,700,000,000,000 | 2011 est. |
| 2 | China | 8,715,000,000 | 2011 est. |
| 3 | United States | 5,491,000,000 | 2011 est. |
| 4 | Russia | 1,788,000,000 | 2011 est. |
| 5 | India | 1,726,000,000 | 2011 est. |
| 6 | Japan | 1,181,000,000 | 2011 est. |
| 7 | Germany | 748,500,000 | 2011 est. |
| 8 | Iran | 624,900,000 | 2011 est. |
| 9 | Korea, South | 611,000,000 | 2011 est. |
| 10 | Canada | 552,600,000 | 2011 est. |
| 11 | Saudi Arabia | 513,500,000 | 2011 est. |
| 12 | United Kingdom | 496,800,000 | 2011 est. |
| 13 | Brazil | 475,400,000 | 2011 est. |
| 14 | Mexico | 462,300,000 | 2011 est. |
| 15 | South Africa | 461,600,000 | 2011 est. |
| 16 | Indonesia | 426,800,000 | 2011 est. |
| 17 | Italy | 400,900,000 | 2011 est. |
| 18 | Australia | 392,300,000 | 2011 est. |
| 19 | France | 374,300,000 | 2011 est. |
| 20 | Spain | 318,600,000 | 2011 est. |
| 21 | Poland | 307,900,000 | 2011 est. |
| 22 | Ukraine | 304,400,000 | 2011 est. |
| 23 | Turkey | 296,300,000 | 2011 est. |
| 24 | Taiwan | 293,300,000 | 2011 est. |
| 25 | Thailand | 269,600,000 | 2011 est. |
| 26 | Netherlands | 253,000,000 | 2011 est. |
| 27 | United Arab Emirates | 245,400,000 | 2011 est. |
| 28 | Singapore | 212,400,000 | 2011 est. |
| 29 | Egypt | 201,700,000 | 2011 est. |
| 30 | Kazakhstan | 195,400,000 | 2011 est. |
| 31 | Malaysia | 191,400,000 | 2011 est. |
| 32 | Argentina | 190,600,000 | 2011 est. |
| 33 | Venezuela | 182,700,000 | 2011 est. |
| 34 | Pakistan | 139,700,000 | 2011 est. |
| 35 | Iraq | 139,400,000 | 2011 est. |
| 36 | Belgium | 131,100,000 | 2011 est. |
| 37 | Algeria | 117,200,000 | 2011 est. |
| 38 | Uzbekistan | 115,900,000 | 2011 est. |
| 39 | Vietnam | 112,700,000 | 2011 est. |
| 40 | Hong Kong | 92,910,000 | 2011 est. |
| 41 | Czech Republic | 92,400,000 | 2011 est. |
| 42 | Greece | 91,300,000 | 2011 est. |
| 43 | Romania | 86,190,000 | 2011 est. |
| 44 | Kuwait | 82,370,000 | 2011 est. |
| 45 | Philippines | 81,150,000 | 2011 est. |
| 46 | Chile | 80,100,000 | 2011 est. |
| 47 | Nigeria | 75,960,000 | 2011 est. |
| 48 | Israel | 72,100,000 | 2011 est. |
| 49 | Colombia | 71,150,000 | 2011 est. |
| 50 | Austria | 67,180,000 | 2011 est. |
| 51 | Belarus | 67,160,000 | 2011 est. |
| 52 | Korea, North | 65,960,000 | 2011 est. |
| 53 | Qatar | 64,460,000 | 2011 est. |
| 54 | Syria | 63,140,000 | 2011 est. |
| 55 | Bangladesh | 58,810,000 | 2011 est. |
| 56 | Serbia | 58,500,000 | 2011 est. |
| 57 | Portugal | 54,170,000 | 2011 est. |
| 58 | Finland | 54,060,000 | 2011 est. |
| 59 | Sweden | 53,150,000 | 2011 est. |
| 60 | Oman | 52,670,000 | 2011 est. |
| 61 | Bulgaria | 52,440,000 | 2011 est. |
| 62 | Trinidad and Tobago | 52,070,000 | 2011 est. |
| 63 | Turkmenistan | 51,850,000 | 2011 est. |
