CIA - The World Factbook --  Central bank discount rate   

This entry provides the annualized interest rate a country's central bank charges commercial, depository banks for loans to meet temporary shortages of funds.

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Zimbabwe | 975.00 | 31 December 2007 |
| 2 | Venezuela | 28.50 | 31 December 2007 |
| 3 | Sao Tome and Principe | 28.00 | 31 December 2007 |
| 4 | Turkey | 25.00 | 31 December 2007 |
| 5 | Guinea | 22.25 | 31 December 2005 |
| 6 | Iraq | 20.00 | 31 December 2007 |
| 7 | Paraguay | 20.00 | 31 December 2007 |
| 8 | Angola | 19.57 | 31 December 2007 |
| 9 | Brazil | 17.85 | 31 December 2007 |
| 10 | Costa Rica | 17.00 | 31 December 2007 |
| 11 | Tanzania | 16.40 | 31 December 2007 |
| 12 | Iceland | 15.25 | 31 December 2007 |
| 13 | Sri Lanka | 15.00 | 31 December 2007 |
| 14 | Tajikistan | 15.00 | 31 December 2007 |
| 15 | Malawi | 15.00 | 31 December 2007 |
| 16 | Uganda | 14.68 | 31 December 2007 |
| 17 | Botswana | 14.50 | 31 December 2007 |
| 18 | Ghana | 13.50 | 31 December 2007 |
| 19 | Azerbaijan | 13.00 | 31 December 2007 |
| 20 | Lesotho | 12.82 | 31 December 2007 |
| 21 | Laos | 12.67 | 31 December 2007 |
| 22 | Maldives | 12.50 | 31 December 2007 |
| 23 | Rwanda | 12.50 | 31 December 2007 |
| 24 | Barbados | 12.00 | 31 December 2007 |
| 25 | Burma | 12.00 | 31 December 2007 |
| 26 | Belize | 12.00 | 31 December 2007 |
| 27 | Mauritania | 12.00 | 31 December 2007 |
| 28 | Lebanon | 12.00 | 31 December 2007 |
| 29 | Zambia | 11.73 | 31 December 2007 |
| 30 | Colombia | 11.50 | 31 December 2007 |
| 31 | Kazakhstan | 11.00 | 31 December 2007 |
| 32 | South Africa | 11.00 | 31 December 2007 |
| 33 | Swaziland | 11.00 | 31 December 2007 |
| 34 | Ecuador | 10.72 | 31 December 2007 |
| 35 | Namibia | 10.50 | 31 December 2007 |
| 36 | Burundi | 10.12 | 31 December 2007 |
| 37 | Belarus | 10.00 | 31 December 2007 |
| 38 | Russia | 10.00 | 31 December 2007 |
| 39 | Uruguay | 10.00 | 31 December 2007 |
| 40 | Trinidad and Tobago | 10.00 | 31 December 2007 |
| 41 | Gambia, The | 10.00 | 31 December 2007 |
| 42 | Pakistan | 10.00 | 31 December 2007 |
| 43 | Mozambique | 9.95 | 31 December 2007 |
| 44 | Mongolia | 9.87 | 31 December 2007 |
| 45 | Serbia | 9.57 | 31 December 2007 |
| 46 | Nigeria | 9.50 | 31 December 2007 |
| 47 | Fiji | 9.25 | 31 December 2007 |
| 48 | Egypt | 9.00 | 31 December 2007 |
| 49 | Croatia | 9.00 | 31 December 2007 |
| 50 | Cape Verde | 8.50 | 31 December 2007 |
| 51 | New Zealand | 8.25 | 31 December 2007 |
| 52 | Indonesia | 8.00 | 31 December 2007 |
| 53 | Ukraine | 8.00 | 31 December 2007 |
| 54 | Hungary | 7.50 | 31 December 2007 |
| 55 | Papua New Guinea | 7.38 | 31 December 2007 |
