CIA - The World Factbook --  Child labor - children ages 5-14   

This entry gives the percent of children aged 5-14 (or the age range specified) engaged in child labor. We define â€œchild laborâ€? as work that deprives children of their childhood, their potential, and their dignity, and that is harmful to physical and mental development. It refers to work that is mentally, physically, socially, or morally dangerous and harmful to children. Such labor may deprive them of the opportunity to attend school, oblige them to leave school prematurely, or require them to combine school attendance with excessively long and heavy work. In its most extreme forms, child labor involves children being enslaved, separated from their families, exposed to serious hazards and illnesses, and/or left to fend for themselves on the streets of large cities â€“ often a very early age.

| Rank | country | Child labor - children ages 5-14 | Date of Information |
| --- | --- | --- | --- |
| 1 | India | 26,965,074.00 | 2006 est. |
| 2 | Nigeria | 11,396,823.00 | 2007 est. |
| 3 | Ethiopia | 10,693,164.00 | 2005 est. |
| 4 | Congo, Democratic Republic of the | 8,284,395.00 | 2010 est. |
| 5 | Bangladesh | 4,485,497.00 | 2006 est. |
| 6 | Indonesia | 4,026,285.00 | 2009 est. |
| 7 | Afghanistan | 3,252,243.00 | 2008 est. |
| 8 | Tanzania | 2,815,085.00 | 2006 est. |
| 9 | Haiti | 2,587,205.00 | 2006 est. |
| 10 | Peru | 2,545,855.00 | 2007 est. |
| 11 | Vietnam | 2,545,616.00 | 2006 est. |
| 12 | Nepal | 2,467,549.00 | 2008 est. |
| 13 | Kenya | 2,146,058.00 | 2000 est. |
| 14 | Madagascar | 1,827,423.00 | 2007 est. |
| 15 | Ghana | 1,806,750.00 | 2006 est. |
| 16 | Cote d'Ivoire | 1,796,802.00 | 2006 est. |
| 17 | Niger | 1,557,913.00 | 2006 est. |
| 18 | Burkina Faso | 1,521,006.00 | 2006 est. |
| 19 | Mali | 1,485,027.00 | 2010 est. |
| 20 | Chad | 1,475,960.00 | 2010 est. |
| 21 | Cameroon | 1,396,281.00 | 2006 est. |
| 22 | Mozambique | 1,369,080.00 | 2008 est. |
| 23 | Cambodia | 1,345,269.00 | 2001 est. |
| 24 | Yemen | 1,334,288.00 | 2006 est. |
| 25 | Somalia | 1,148,265.00 | 2006 est. |
| 26 | Mexico | 1,105,617.00 | 2009 est. |
| 27 | Egypt | 1,066,526.00 | 2005 est. |
| 28 | Benin | 1,020,981.00 | 2006 est. |
| 29 | Zambia | 1,000,850.00 | 2005 est. |
| 30 | Malawi | 993,318.00 | 2006 est. |
| 31 | Colombia | 988,362.00 | 2009 est. |
| 32 | Brazil | 959,942.00 | 2009 est. |
