CIA - The World Factbook --  Commercial bank prime lending rate   

This entry provides a simple average of annualized interest rates commercial banks charge on new loans, denominated in the national currency, to their most credit-worthy customers.

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Zimbabwe | 578.96 | 31 December 2007 |
| 2 | Haiti | 46.99 | 31 December 2007 |
| 3 | Madagascar | 45.00 | 31 December 2007 |
| 4 | Brazil | 43.72 | 31 December 2007 |
| 5 | Sao Tome and Principe | 32.40 | 31 December 2007 |
| 6 | Laos | 28.50 | 31 December 2007 |
| 7 | Argentina | 28.00 | 28 November 2008 |
| 8 | Gambia, The | 27.92 | 31 December 2007 |
| 9 | Malawi | 27.72 | 31 December 2007 |
| 10 | Kyrgyzstan | 25.32 | 31 December 2007 |
| 11 | Paraguay | 25.03 | 31 December 2007 |
| 12 | Sierra Leone | 25.00 | 31 December 2007 |
| 13 | Peru | 24.10 | December 2008 |
| 14 | Mauritius | 21.87 | 31 December 2007 |
| 15 | Georgia | 20.41 | 31 December 2007 |
| 16 | Iraq | 19.74 | 31 December 2007 |
| 17 | Mozambique | 19.52 | 31 December 2007 |
| 18 | Iceland | 19.29 | 31 December 2007 |
| 19 | Azerbaijan | 19.13 | 31 December 2007 |
| 20 | Uganda | 19.11 | 31 December 2007 |
| 21 | Zambia | 18.89 | 31 December 2007 |
| 22 | Moldova | 18.83 | 31 December 2007 |
| 23 | Afghanistan | 18.14 | 31 December 2007 |
| 24 | Yemen | 18.00 | 31 December 2007 |
| 25 | Angola | 17.70 | 31 December 2007 |
| 26 | Mongolia | 17.54 | 31 December 2007 |
| 27 | Armenia | 17.52 | 31 December 2007 |
| 28 | Jamaica | 17.20 | 31 December 2007 |
| 29 | Venezuela | 17.11 | 31 December 2007 |
| 30 | Burma | 17.00 | 31 December 2007 |
| 31 | Nigeria | 16.94 | 31 December 2007 |
| 32 | Burundi | 16.84 | 31 December 2007 |
| 33 | Honduras | 16.61 | 31 December 2007 |
| 34 | Botswana | 16.22 | 31 December 2007 |
| 35 | Cambodia | 16.18 | 31 December 2007 |
| 36 | Tanzania | 16.03 | 31 December 2007 |
| 37 | Bangladesh | 16.00 | 31 December 2007 |
| 38 | Rwanda | 15.84 | 31 December 2007 |
| 39 | Dominican Republic | 15.83 | 31 December 2007 |
| 40 | Liberia | 15.05 | 31 December 2007 |
| 41 | Timor-Leste | 15.05 | 31 December 2007 |
| 42 | Chad | 15.00 | 31 December 2007 |
| 43 | Gabon | 15.00 | 31 December 2007 |
| 44 | Equatorial Guinea | 15.00 | 31 December 2007 |
| 45 | Central African Republic | 15.00 | 31 December 2007 |
| 46 | Congo, Republic of the | 15.00 | 31 December 2007 |
| 47 | Cameroon | 15.00 | 31 December 2007 |
| 48 | Guyana | 14.61 | 31 December 2007 |
| 49 | Belize | 14.33 | 31 December 2007 |
| 50 | Lesotho | 14.13 | 31 December 2007 |
| 51 | Solomon Islands | 14.12 | 31 December 2007 |
| 52 | Albania | 14.10 | 31 December 2007 |
| 53 | Micronesia, Federated States of | 14.03 | 31 December 2007 |
| 54 | Bhutan | 14.00 | 31 December 2007 |
| 55 | Romania | 13.35 | 31 December 2007 |
| 56 | Kenya | 13.34 | 31 December 2007 |
| 57 | South Africa | 13.17 | 31 December 2007 |
| 58 | Swaziland | 13.17 | 31 December 2007 |
| 59 | Nicaragua | 13.04 | 31 December 2007 |
| 60 | Maldives | 13.00 | 31 December 2007 |
| 61 | Namibia | 12.88 | 31 December 2007 |
| 62 | Bolivia | 12.86 | 31 December 2007 |
| 63 | Guatemala | 12.84 | 31 December 2007 |
| 64 | New Zealand | 12.83 | 31 December 2007 |
| 65 | Costa Rica | 12.80 | 31 December 2007 |
| 66 | Samoa | 12.65 | 31 December 2007 |
| 67 | Egypt | 12.51 | 31 December 2007 |
| 68 | Tonga | 12.16 | 31 December 2007 |
| 69 | Iran | 12.00 | 31 December 2007 |
| 70 | Trinidad and Tobago | 11.75 | 31 December 2007 |
| 71 | Ukraine | 11.33 | 31 December 2007 |
| 72 | Vietnam | 11.18 | 31 December 2007 |
| 73 | Serbia | 11.13 | 31 December 2007 |
| 74 | Aruba | 11.01 | 31 December 2007 |
| 75 | Italy | 10.93 | 31 December 2007 |
| 76 | Seychelles | 10.89 | 31 December 2007 |
| 77 | Barbados | 10.80 | 31 December 2007 |
| 78 | Cape Verde | 10.55 | 31 December 2007 |
| 79 | Comoros | 10.50 | 31 December 2007 |
| 80 | Antigua and Barbuda | 10.44 | 31 December 2007 |
| 81 | Montserrat | 10.40 | 31 December 2007 |
| 82 | Lebanon | 10.26 | 31 December 2007 |
| 83 | Macedonia | 10.23 | 31 December 2007 |
| 84 | Australia | 10.02 | 31 December 2007 |
| 85 | Bulgaria | 10.00 | 31 December 2007 |
| 86 | Papua New Guinea | 9.78 | 31 December 2007 |
| 87 | Anguilla | 9.76 | 31 December 2007 |
| 88 | Grenada | 9.76 | 31 December 2007 |
| 89 | Suriname | 9.71 | 31 December 2007 |
| 90 | Netherlands Antilles | 9.21 | 31 December 2007 |
| 91 | Dominica | 9.17 | 31 December 2007 |
| 92 | Montenegro | 9.09 | 31 December 2007 |
| 93 | Fiji | 9.01 | 31 December 2007 |
| 94 | Saint Kitts and Nevis | 8.89 | 31 December 2007 |
| 95 | Saint Vincent and the Grenadines | 8.80 | 31 December 2007 |
| 96 | Netherlands | 8.72 | 31 December 2007 |
| 97 | Philippines | 8.69 | 31 December 2007 |
| 98 | Chile | 8.67 | 31 December 2007 |
| 99 | Belarus | 8.58 | 31 December 2007 |
| 100 | Kuwait | 8.54 | 31 December 2007 |
| 101 | Bahrain | 8.35 | 31 December 2007 |
| 102 | Saint Lucia | 8.34 | 31 December 2007 |
| 103 | Panama | 8.25 | 31 December 2007 |
| 104 | Vanuatu | 8.16 | 31 December 2007 |
| 105 | United States | 8.05 | 31 December 2007 |
| 106 | European Union | 8.03 | 31 December 2007 |
| 107 | Algeria | 8.00 | 31 December 2007 |
| 108 | Portugal | 7.92 | 31 December 2007 |
| 109 | El Salvador | 7.81 | 31 December 2007 |
| 110 | Gaza Strip | 7.73 | 31 December 2006 |
| 111 | West Bank | 7.73 | 31 December 2006 |
| 112 | Greece | 7.71 | 31 December 2007 |
| 113 | San Marino | 7.58 | 31 December 2007 |
| 114 | Mexico | 7.56 | 31 December 2007 |
| 115 | Qatar | 7.43 | 31 December 2007 |
| 116 | Oman | 7.29 | 31 December 2007 |
| 117 | Thailand | 7.25 | 31 December 2007 |
| 118 | Uruguay | 7.25 | 31 December 2007 |
| 119 | Indonesia | 7.21 | 31 December 2007 |
| 120 | Bosnia and Herzegovina | 7.17 | 31 December 2007 |
| 121 | Ethiopia | 7.00 | 31 December 2006 |
| 122 | Lithuania | 6.86 | 31 December 2007 |
| 123 | Slovenia | 6.82 | 31 December 2007 |
| 124 | Cyprus | 6.74 | 31 December 2007 |
| 125 | Ireland | 6.52 | 31 December 2007 |
| 126 | Estonia | 6.46 | 31 December 2007 |
| 127 | Malaysia | 6.41 | 31 December 2007 |
| 128 | Austria | 6.30 | 31 December 2007 |
| 129 | Israel | 6.27 | 31 December 2007 |
| 130 | Malta | 6.24 | 31 December 2007 |
| 131 | Canada | 6.10 | 31 December 2007 |
| 132 | Libya | 6.00 | 31 December 2007 |
| 133 | Germany | 5.96 | 31 December 2007 |
| 134 | Czech Republic | 5.79 | 31 December 2007 |
| 135 | Poland | 5.72 | 31 December 2007 |
| 136 | China | 5.58 | 17 December 2007 |
| 137 | United Kingdom | 5.52 | 31 December 2007 |
| 138 | Bahamas, The | 5.50 | 31 December 2007 |
| 139 | Brunei | 5.50 | February 2009 |
| 140 | Sweden | 4.00 | 2004 |
| 141 | Norway | 3.50 | 1st quarter 2009 |
| 142 | Switzerland | 3.15 | 31 December 2007 |
