CIA - The World Factbook --  CURRENT ACCOUNT BALANCE

Current account balance compares a country's net trade in goods and services, plus net earnings, and net transfer payments to and from the rest of the world during the period specified. These figures are calculated on an exchange rate basis.

| Rank | Country | CURRENT ACCOUNT BALANCE | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $351,900,000,000 | 2015 est. |
| 2 | China | $330,600,000,000 | 2015 est. |
| 3 | Germany | $284,200,000,000 | 2015 est. |
| 4 | Japan | $135,600,000,000 | 2015 est. |
| 5 | Korea, South | $105,900,000,000 | 2015 est. |
| 6 | Taiwan | $76,170,000,000 | 2015 est. |
| 7 | Switzerland | $75,820,000,000 | 2015 est. |
| 8 | Russia | $69,000,000,000 | 2015 est. |
| 9 | Netherlands | $64,420,000,000 | 2015 est. |
| 10 | Singapore | $57,920,000,000 | 2015 est. |
| 11 | Italy | $39,910,000,000 | 2015 est. |
| 12 | Norway | $35,040,000,000 | 2015 est. |
| 13 | Thailand | $30,990,000,000 | 2015 est. |
| 14 | Ireland | $29,020,000,000 | 2015 est. |
| 15 | Sweden | $25,860,000,000 | 2015 est. |
| 16 | Denmark | $20,750,000,000 | 2015 est. |
| 17 | Spain | $16,700,000,000 | 2015 est. |
| 18 | Israel | $13,890,000,000 | 2015 est. |
| 19 | Qatar | $13,750,000,000 | 2015 est. |
| 20 | Macau | $12,920,000,000 | 2015 est. |
| 21 | United Arab Emirates | $12,310,000,000 | 2015 est. |
| 22 | Hong Kong | $9,631,000,000 | 2015 est. |
| 23 | Austria | $9,583,000,000 | 2015 est. |
| 24 | Malaysia | $8,874,000,000 | 2015 est. |
| 25 | Philippines | $8,396,000,000 | 2015 est. |
| 26 | Iran | $8,234,000,000 | 2015 est. |
| 27 | Kuwait | $5,970,000,000 | 2015 est. |
| 28 | Hungary | $5,291,000,000 | 2015 est. |
| 29 | Luxembourg | $3,189,000,000 | 2015 est. |
| 30 | Croatia | $2,551,000,000 | 2015 est. |
| 31 | Slovenia | $2,217,000,000 | 2015 est. |
| 32 | Papua New Guinea | $2,134,000,000 | 2015 est. |
| 33 | Czechia | $1,682,000,000 | 2015 est. |
| 34 | Brunei | $1,556,000,000 | 2015 est. |
| 35 | Bangladesh | $1,507,000,000 | 2015 est. |
| 36 | Nepal | $1,067,000,000 | 2015 est. |
