CIA - The World Factbook --  Death rate   

This entry gives the average annual number of deaths during a year per 1,000 population at midyear; also known as crude death rate. The death rate, while only a rough indicator of the mortality situation in a country, accurately indicates the current mortality impact on population growth. This indicator is significantly affected by age distribution, and most countries will eventually show a rise in the overall death rate, in spite of continued decline in mortality at all ages, as declining fertility results in an aging population.

| Rank | country | (deaths/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | South Africa | 17.36 | 2013 est. |
| 2 | Ukraine | 15.75 | 2013 est. |
| 3 | Lesotho | 15.02 | 2013 est. |
| 4 | Chad | 14.85 | 2013 est. |
| 5 | Guinea-Bissau | 14.77 | 2013 est. |
| 6 | Central African Republic | 14.42 | 2013 est. |
| 7 | Afghanistan | 14.35 | 2013 est. |
| 8 | Bulgaria | 14.31 | 2013 est. |
| 9 | Somalia | 14.22 | 2013 est. |
| 10 | Russia | 13.97 | 2013 est. |
| 11 | Swaziland | 13.95 | 2013 est. |
| 12 | Serbia | 13.77 | 2013 est. |
| 13 | Belarus | 13.68 | 2013 est. |
| 14 | Estonia | 13.65 | 2013 est. |
| 15 | Latvia | 13.60 | 2013 est. |
| 16 | Mali | 13.55 | 2013 est. |
| 17 | Namibia | 13.33 | 2013 est. |
| 18 | Nigeria | 13.20 | 2013 est. |
| 19 | Zambia | 13.17 | 2013 est. |
| 20 | Gabon | 13.11 | 2013 est. |
| 21 | Niger | 13.07 | 2013 est. |
| 22 | Botswana | 12.91 | 2013 est. |
| 23 | Hungary | 12.71 | 2013 est. |
| 24 | Moldova | 12.61 | 2013 est. |
| 25 | Mozambique | 12.57 | 2013 est. |
| 26 | Malawi | 12.54 | 2013 est. |
| 27 | Burkina Faso | 12.21 | 2013 est. |
| 28 | Croatia | 12.06 | 2013 est. |
| 29 | Angola | 11.86 | 2013 est. |
| 30 | Romania | 11.86 | 2013 est. |
| 31 | Cameroon | 11.51 | 2013 est. |
| 32 | Lithuania | 11.48 | 2013 est. |
| 33 | Zimbabwe | 11.40 | 2013 est. |
| 34 | Sierra Leone | 11.26 | 2013 est. |
| 35 | Uganda | 11.26 | 2013 est. |
