CIA - The World Factbook --  Death rate   

Death rate compares the average annual number of deaths during a year per 1,000 population at midyear; also known as crude death rate.

| Rank | country | (deaths/1,000 population) | Date of Information |
| --- | --- | --- | --- |
| 1 | South Africa | 17.49 | 2014 est. |
| 2 | Ukraine | 15.72 | 2014 est. |
| 3 | Lesotho | 14.91 | 2014 est. |
| 4 | Chad | 14.56 | 2014 est. |
| 5 | Guinea-Bissau | 14.54 | 2014 est. |
| 6 | Bulgaria | 14.30 | 2014 est. |
| 7 | Afghanistan | 14.12 | 2014 est. |
| 8 | Central African Republic | 14.11 | 2014 est. |
| 9 | Somalia | 13.91 | 2014 est. |
| 10 | Russia | 13.83 | 2014 est. |
| 11 | Swaziland | 13.75 | 2014 est. |
| 12 | Serbia | 13.71 | 2014 est. |
| 13 | Estonia | 13.69 | 2014 est. |
| 14 | Latvia | 13.60 | 2014 est. |
| 15 | Namibia | 13.60 | 2014 est. |
| 16 | Belarus | 13.51 | 2014 est. |
| 17 | Botswana | 13.32 | 2014 est. |
| 18 | Mali | 13.22 | 2014 est. |
| 19 | Nigeria | 13.16 | 2014 est. |
| 20 | Gabon | 13.13 | 2014 est. |
| 21 | Zambia | 12.92 | 2014 est. |
| 22 | Niger | 12.73 | 2014 est. |
| 23 | Hungary | 12.72 | 2014 est. |
| 24 | Moldova | 12.60 | 2014 est. |
| 25 | Mozambique | 12.34 | 2014 est. |
| 26 | Croatia | 12.13 | 2014 est. |
| 27 | Burkina Faso | 11.96 | 2014 est. |
| 28 | Romania | 11.88 | 2014 est. |
| 29 | Angola | 11.67 | 2014 est. |
| 30 | Lithuania | 11.55 | 2014 est. |
| 31 | Germany | 11.29 | 2014 est. |
| 32 | Slovenia | 11.25 | 2014 est. |
| 33 | Sierra Leone | 11.03 | 2014 est. |
| 34 | Greece | 11.00 | 2014 est. |
| 35 | Uganda | 10.97 | 2014 est. |
| 36 | Portugal | 10.97 | 2014 est. |
| 37 | Georgia | 10.77 | 2014 est. |
| 38 | Belgium | 10.76 | 2014 est. |
| 39 | Zimbabwe | 10.62 | 2014 est. |
| 40 | Finland | 10.51 | 2014 est. |
| 41 | Cameroon | 10.40 | 2014 est. |
| 42 | Austria | 10.38 | 2014 est. |
| 43 | Poland | 10.37 | 2014 est. |
| 44 | Congo, Democratic Republic of the | 10.30 | 2014 est. |
| 45 | Czech Republic | 10.29 | 2014 est. |
| 46 | Denmark | 10.23 | 2014 est. |
| 47 | Congo, Republic of the | 10.17 | 2014 est. |
| 48 | Italy | 10.10 | 2014 est. |
| 49 | Isle of Man | 10.03 | 2014 est. |
| 50 | Liberia | 9.90 | 2014 est. |
| 51 | Slovakia | 9.70 | 2014 est. |
| 52 | Guinea | 9.69 | 2014 est. |
| 53 | Cote d'Ivoire | 9.67 | 2014 est. |
| 54 | Bosnia and Herzegovina | 9.64 | 2014 est. |
| 55 | Burundi | 9.54 | 2014 est. |
| 56 | Uruguay | 9.48 | 2014 est. |
| 57 | Sweden | 9.45 | 2014 est. |
| 58 | Japan | 9.38 | 2014 est. |
| 59 | United Kingdom | 9.34 | 2014 est. |
| 60 | Montenegro | 9.30 | 2014 est. |
| 61 | Armenia | 9.30 | 2014 est. |
| 62 | Saint Pierre and Miquelon | 9.27 | 2014 est. |
| 63 | Rwanda | 9.18 | 2014 est. |
| 64 | Korea, North | 9.18 | 2014 est. |
