CIA - The World Factbook --  Debt - external   

This entry gives the total public and private debt owed to nonresidents repayable in internationally accepted currencies, goods, or services. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Debt - external | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 13,980,000,000,000 | 30 June 2010 |
| 2 | European Union | $ 13,720,000,000,000 | 30 June 2010 |
| 3 | United Kingdom | $ 8,981,000,000,000 | 30 June 2010 |
| 4 | Germany | $ 4,713,000,000,000 | 30 June 2010 |
| 5 | France | $ 4,698,000,000,000 | 30 June 2010 |
| 6 | Japan | $ 2,246,000,000,000 | 30 June 2010 |
| 7 | Norway | $ 2,232,000,000,000 | 30 June 2010 |
| 8 | Italy | $ 2,223,000,000,000 | 30 June 2010 est. |
| 9 | Spain | $ 2,166,000,000,000 | 30 June 2010 |
| 10 | Ireland | $ 2,131,000,000,000 | 30 June 2010 |
| 11 | Luxembourg | $ 1,892,000,000,000 | 30 June 2010 |
| 12 | Belgium | $ 1,241,000,000,000 | 30 June 2010 |
| 13 | Switzerland | $ 1,190,000,000,000 | 30 June 2010 |
| 14 | Australia | $ 1,169,000,000,000 | 31 December 2010 est. |
| 15 | Canada | $ 1,009,000,000,000 | 30 June 2010 |
| 16 | Sweden | $ 853,300,000,000 | 30 June 2010 |
| 17 | Austria | $ 755,000,000,000 | 30 June 2010 |
| 18 | Denmark | $ 559,500,000,000 | 30 June 2010 |
| 19 | Greece | $ 532,900,000,000 | 30 June 2010 |
| 20 | Portugal | $ 497,800,000,000 | 30 June 2010 |
| 21 | Russia | $ 480,200,000,000 | 30 November 2010 est. |
| 22 | China | $ 406,600,000,000 | 31 December 2010 est. |
| 23 | Finland | $ 370,800,000,000 | 30 June 2010 |
| 24 | Korea, South | $ 370,100,000,000 | 31 December 2010 est. |
| 25 | Brazil | $ 310,800,000,000 | 31 December 2010 est. |
| 26 | Turkey | $ 270,700,000,000 | 31 December 2010 est. |
| 27 | Poland | $ 252,900,000,000 | 31 December 2010 est. |
| 28 | India | $ 237,100,000,000 | 31 December 2010 est. |
| 29 | Mexico | $ 212,500,000,000 | 31 December 2010 est. |
| 30 | Indonesia | $ 155,900,000,000 | 31 December 2010 est. |
| 31 | Hungary | $ 134,600,000,000 | 31 December 2010 est. |
| 32 | Argentina | $ 128,600,000,000 | 31 December 2010 est. |
| 33 | United Arab Emirates | $ 122,700,000,000 | 31 December 2010 est. |
| 34 | Romania | $ 108,900,000,000 | 31 December 2010 est. |
| 35 | Ukraine | $ 97,500,000,000 | 31 December 2010 est. |
| 36 | Kazakhstan | $ 94,440,000,000 | 31 December 2010 est. |
| 37 | Taiwan | $ 91,410,000,000 | 31 December 2010 est. |
| 38 | Israel | $ 89,680,000,000 | 31 December 2010 est. |
| 39 | Czech Republic | $ 86,790,000,000 | 31 December 2010 est. |
| 40 | Chile | $ 84,510,000,000 | 31 December 2010 est. |
| 41 | Saudi Arabia | $ 82,920,000,000 | 31 December 2010 est. |
| 42 | Thailand | $ 82,500,000,000 | 31 December 2010 est. |
| 43 | South Africa | $ 80,520,000,000 | 30 June 2010 est. |
| 44 | Qatar | $ 71,380,000,000 | 31 December 2010 est. |
| 45 | Hong Kong | $ 69,860,000,000 | 31 December 2010 est. |
| 46 | New Zealand | $ 64,330,000,000 | 31 December 2010 est. |
| 47 | Malaysia | $ 62,820,000,000 | 31 December 2010 est. |
| 48 | Philippines | $ 61,850,000,000 | 31 December 2010 est. |
| 49 | Croatia | $ 59,700,000,000 | 31 December 2010 est. |
| 50 | Slovakia | $ 59,330,000,000 | 30 June 2010 est. |
| 51 | Colombia | $ 57,740,000,000 | 31 December 2010 est. |
| 52 | Pakistan | $ 57,210,000,000 | 31 December 2010 est. |
| 53 | Kuwait | $ 56,810,000,000 | 31 December 2010 est. |
| 54 | Venezuela | $ 55,610,000,000 | 31 December 2010 est. |
| 55 | Iraq | $ 52,580,000,000 | 31 December 2010 est. |
| 56 | Slovenia | $ 51,570,000,000 | 30 June 2010 |
| 57 | Malta | $ 41,020,000,000 | 30 June 2010 |
| 58 | Sudan | $ 37,980,000,000 | 31 December 2010 est. |
| 59 | Latvia | $ 37,280,000,000 | 31 December 2010 est. |
| 60 | Bulgaria | $ 36,150,000,000 | 31 December 2010 est. |
| 61 | Lebanon | $ 34,450,000,000 | 31 December 2010 est. |
| 62 | Vietnam | $ 33,450,000,000 | 31 December 2010 est. |
| 63 | Peru | $ 33,290,000,000 | 31 December 2010 est. |
| 64 | Serbia | $ 32,310,000,000 | 31 December 2010 est. |
| 65 | Egypt | $ 30,610,000,000 | 31 December 2010 est. |
| 66 | Lithuania | $ 27,600,000,000 | 31 December 2010 est. |
| 67 | Estonia | $ 25,130,000,000 | 31 December 2010 est. |
| 68 | Belarus | $ 24,800,000,000 | 31 December 2010 est. |
| 69 | Bangladesh | $ 24,460,000,000 | 31 December 2010 est. |
| 70 | Morocco | $ 22,690,000,000 | 31 December 2010 est. |
| 71 | Singapore | $ 21,660,000,000 | 31 December 2010 est. |
| 72 | Cuba | $ 19,750,000,000 | 31 December 2010 est. |
| 73 | Tunisia | $ 18,760,000,000 | 31 December 2010 est. |
| 74 | Monaco | $ 18,000,000,000 | 2000 est. |
| 75 | Angola | $ 17,980,000,000 | 31 December 2010 est. |
| 76 | Sri Lanka | $ 17,970,000,000 | 31 December 2010 est. |
| 77 | Guatemala | $ 17,470,000,000 | 31 December 2010 est. |
| 78 | Ecuador | $ 14,710,000,000 | 31 December 2010 est. |
| 79 | Bahrain | $ 14,680,000,000 | 31 December 2010 est. |
| 80 | Panama | $ 13,850,000,000 | 31 December 2010 est. |
| 81 | Uruguay | $ 13,390,000,000 | 31 December 2010 est. |
| 82 | Dominican Republic | $ 13,090,000,000 | 31 December 2010 est. |
| 83 | Iran | $ 12,840,000,000 | 31 December 2010 est. |
| 84 | Jamaica | $ 12,660,000,000 | 31 December 2010 est. |
| 85 | Korea, North | $ 12,500,000,000 | 2001 est. |
| 86 | Cote d'Ivoire | $ 11,600,000,000 | 31 December 2010 est. |
| 87 | El Salvador | $ 11,450,000,000 | 31 December 2010 est. |
| 88 | Nigeria | $ 11,020,000,000 | 31 December 2010 est. |
| 89 | Costa Rica | $ 9,126,000,000 | 31 December 2010 est. |
| 90 | Oman | $ 8,829,000,000 | 31 December 2010 est. |
| 91 | Bosnia and Herzegovina | $ 7,996,000,000 | 31 December 2010 est. |
| 92 | Kenya | $ 7,935,000,000 | 31 December 2010 est. |
| 93 | Syria | $ 7,682,000,000 | 31 December 2010 est. |
| 94 | Tanzania | $ 7,576,000,000 | 31 December 2010 est. |
| 95 | Yemen | $ 7,147,000,000 | 31 December 2010 est. |
| 96 | Burma | $ 7,145,000,000 | 31 December 2010 est. |
| 97 | Ghana | $ 6,483,000,000 | 31 December 2010 est. |
| 98 | Libya | $ 6,378,000,000 | 31 December 2010 est. |
| 99 | Bolivia | $ 6,130,000,000 | 31 December 2010 est. |
| 100 | Zimbabwe | $ 5,772,000,000 | 31 December 2010 est. |
| 101 | Jordan | $ 5,522,000,000 | 31 December 2010 est. |
| 102 | Macedonia | $ 5,520,000,000 | 31 December 2010 est. |
| 103 | Armenia | $ 5,227,000,000 | 30 June 2010 |
| 104 | Mauritius | $ 5,043,000,000 | 31 December 2010 est. |
| 105 | Congo, Republic of the | $ 5,000,000,000 | 2000 est. |
| 106 | Turkmenistan | $ 5,000,000,000 | 2009 est. |
| 107 | Mozambique | $ 4,990,000,000 | 31 December 2010 est. |
| 108 | Nepal | $ 4,500,000,000 | 2009 |
| 109 | Paraguay | $ 4,346,000,000 | 31 December 2010 est. |
| 110 | Cambodia | $ 4,338,000,000 | 31 December 2010 est. |
| 111 | Trinidad and Tobago | $ 4,303,000,000 | 31 December 2010 est. |
| 112 | Congo, Democratic Republic of the | $ 4,300,000,000 | 2009 est. |
| 113 | Ethiopia | $ 4,289,000,000 | 31 December 2010 est. |
| 114 | Uzbekistan | $ 4,236,000,000 | 31 December 2010 est. |
| 115 | Moldova | $ 4,146,000,000 | 31 December 2010 est. |
| 116 | Algeria | $ 4,138,000,000 | 31 December 2010 est. |
| 117 | Nicaragua | $ 4,030,000,000 | 31 December 2010 est. |
| 118 | Senegal | $ 3,885,000,000 | 31 December 2010 est. |
| 119 | Kyrgyzstan | $ 3,738,000,000 | 30 June 2010 |
| 120 | Honduras | $ 3,540,000,000 | 31 December 2010 est. |
| 121 | Zambia | $ 3,495,000,000 | 31 December 2010 est. |
| 122 | Georgia | $ 3,381,000,000 | 31 December 2009 |
| 123 | Cameroon | $ 3,344,000,000 | 31 December 2010 est. |
| 124 | Azerbaijan | $ 3,221,000,000 | 31 December 2010 est. |
| 125 | Liberia | $ 3,200,000,000 | 2005 est. |
| 126 | Laos | $ 3,085,000,000 | 2009 est. |
| 127 | Iceland | $ 3,073,000,000 | 2002 |
| 128 | Guinea | $ 3,072,000,000 | 31 December 2009 est. |
| 129 | Somalia | $ 3,000,000,000 | 2001 est. |
| 130 | Madagascar | $ 2,973,000,000 | 31 December 2010 est. |
| 131 | Benin | $ 2,894,000,000 | 31 December 2009 est. |
| 132 | Uganda | $ 2,888,000,000 | 31 December 2010 est. |
| 133 | Mali | $ 2,800,000,000 | 2002 |
| 134 | Afghanistan | $ 2,700,000,000 | 2008/2009 |
| 135 | Gabon | $ 2,374,000,000 | 31 December 2010 est. |
| 136 | Namibia | $ 2,373,000,000 | 31 December 2010 est. |
| 137 | Botswana | $ 2,222,000,000 | 31 December 2010 est. |
| 138 | Niger | $ 2,100,000,000 | 2003 est. |
| 139 | Burkina Faso | $ 2,002,000,000 | 31 December 2010 est. |
| 140 | Tajikistan | $ 1,997,000,000 | 31 December 2010 est. |
| 141 | Mongolia | $ 1,860,000,000 | 2009 |
| 142 | Sierra Leone | $ 1,610,000,000 | 2003 est. |
| 143 | Albania | $ 1,550,000,000 | 2004 |
| 144 | Papua New Guinea | $ 1,548,000,000 | 31 December 2010 est. |
| 145 | Seychelles | $ 1,374,000,000 | 31 December 2010 est. |
| 146 | Malawi | $ 1,213,000,000 | 31 December 2010 est. |
| 147 | Burundi | $ 1,200,000,000 | 2003 |
| 148 | Central African Republic | $ 1,153,000,000 | 2007 est. |
| 149 | West Bank | $ 1,040,000,000 | 2010 est. |
| 150 | Belize | $ 1,010,000,000 | 2009 est. |
| 151 | Guinea-Bissau | $ 941,500,000 | 2000 est. |
| 152 | Bhutan | $ 836,000,000 | 2009 |
| 153 | Equatorial Guinea | $ 832,000,000 | 31 December 2010 est. |
| 154 | Guyana | $ 804,300,000 | 30 September 2008 |
| 155 | Barbados | $ 668,000,000 | 2003 |
| 156 | Montenegro | $ 650,000,000 | 2006 |
| 157 | Lesotho | $ 647,000,000 | 31 December 2010 est. |
| 158 | Maldives | $ 589,000,000 | 2009 est. |
| 159 | Gambia, The | $ 530,000,000 | 31 December 2010 est. |
| 160 | Suriname | $ 504,300,000 | 2005 est. |
| 161 | Swaziland | $ 497,000,000 | 31 December 2010 est. |
| 162 | Haiti | $ 494,000,000 | 31 December 2010 est. |
| 163 | Saint Vincent and the Grenadines | $ 479,000,000 | 2010 est. |
| 164 | Aruba | $ 478,600,000 | 2005 est. |
| 165 | Djibouti | $ 428,000,000 | 2006 |
| 166 | Antigua and Barbuda | $ 359,800,000 | June 2006 |
| 167 | Grenada | $ 347,000,000 | 2004 |
| 168 | Bahamas, The | $ 342,600,000 | 2004 est. |
| 169 | Cape Verde | $ 325,000,000 | 2002 |
