CIA - The World Factbook --  Dependency ratios   

| Rank | country | Dependency ratios | Date of Information |
| --- | --- | --- | --- |
| 1 | United Arab Emirates | 182.80 | 2014 est. |
| 2 | Niger | 111.60 | 2014 est. |
| 3 | Niger | 106.00 | 2014 est. |
| 4 | Uganda | 102.40 | 2014 est. |
| 5 | Chad | 102.20 | 2014 est. |
| 6 | Mali | 100.90 | 2014 est. |
| 7 | Somalia | 99.10 | 2014 est. |
| 8 | Angola | 98.70 | 2014 est. |
| 9 | Uganda | 97.50 | 2014 est. |
| 10 | Chad | 97.40 | 2014 est. |
| 11 | Zambia | 96.40 | 2014 est. |
| 12 | Mali | 95.40 | 2014 est. |
| 13 | Mozambique | 94.50 | 2014 est. |
| 14 | Timor-Leste | 94.30 | 2014 est. |
| 15 | Angola | 93.90 | 2014 est. |
| 16 | Somalia | 93.40 | 2014 est. |
| 17 | Malawi | 93.30 | 2014 est. |
| 18 | Afghanistan | 93.10 | 2014 est. |
| 19 | Gambia, The | 93.00 | 2014 est. |
| 20 | Tanzania | 92.40 | 2014 est. |
| 21 | Burkina Faso | 91.30 | 2014 est. |
| 22 | Zambia | 91.30 | 2014 est. |
| 23 | Congo, Democratic Republic of the | 91.10 | 2014 est. |
| 24 | Burundi | 89.20 | 2014 est. |
| 25 | Nigeria | 89.20 | 2014 est. |
| 26 | Gambia, The | 88.40 | 2014 est. |
| 27 | Afghanistan | 88.40 | 2014 est. |
| 28 | Mozambique | 88.10 | 2014 est. |
| 29 | Timor-Leste | 87.80 | 2014 est. |
| 30 | Qatar | 87.40 | 2014 est. |
| 31 | Malawi | 87.00 | 2014 est. |
| 32 | Burkina Faso | 86.60 | 2014 est. |
| 33 | Senegal | 86.50 | 2014 est. |
| 34 | Tanzania | 86.10 | 2014 est. |
| 35 | Congo, Democratic Republic of the | 85.60 | 2014 est. |
| 36 | Cameroon | 85.10 | 2014 est. |
| 37 | Congo, Republic of the | 85.00 | 2014 est. |
| 38 | Burundi | 84.70 | 2014 est. |
| 39 | Nigeria | 84.00 | 2014 est. |
| 40 | Liberia | 83.90 | 2014 est. |
| 41 | Ethiopia | 83.50 | 2014 est. |
| 42 | Eritrea | 83.30 | 2014 est. |
| 43 | Benin | 83.00 | 2014 est. |
| 44 | South Sudan | 82.80 | 2014 est. |
| 45 | Guinea | 82.40 | 2014 est. |
| 46 | Madagascar | 81.40 | 2014 est. |
| 47 | Sao Tome and Principe | 81.30 | 2014 est. |
| 48 | Kenya | 81.00 | 2014 est. |
| 49 | Comoros | 81.00 | 2014 est. |
| 50 | Senegal | 81.00 | 2014 est. |
| 51 | Guatemala | 80.70 | 2014 est. |
| 52 | Rwanda | 80.20 | 2014 est. |
| 53 | Togo | 80.10 | 2014 est. |
| 54 | Cote d'Ivoire | 79.70 | 2014 est. |
| 55 | Guinea-Bissau | 79.10 | 2014 est. |
| 56 | Eritrea | 79.10 | 2014 est. |
| 57 | Cameroon | 79.10 | 2014 est. |
| 58 | Sudan | 79.00 | 2014 est. |
| 59 | Congo, Republic of the | 78.70 | 2014 est. |
| 60 | Liberia | 78.40 | 2014 est. |
| 61 | Sierra Leone | 78.30 | 2014 est. |
| 62 | Benin | 77.70 | 2014 est. |
| 63 | Ethiopia | 77.20 | 2014 est. |
| 64 | Gabon | 77.00 | 2014 est. |
| 65 | Guinea | 76.70 | 2014 est. |
| 66 | Central African Republic | 76.50 | 2014 est. |
| 67 | South Sudan | 76.40 | 2014 est. |
| 68 | Solomon Islands | 76.30 | 2014 est. |
| 69 | Madagascar | 76.30 | 2014 est. |
| 70 | Kenya | 76.10 | 2014 est. |
| 71 | Comoros | 75.90 | 2014 est. |
| 72 | Rwanda | 75.80 | 2014 est. |
| 73 | Mauritania | 75.70 | 2014 est. |
| 74 | Sao Tome and Principe | 75.30 | 2014 est. |
| 75 | Tonga | 75.20 | 2014 est. |
| 76 | Togo | 75.20 | 2014 est. |
| 77 | Iraq | 74.90 | 2014 est. |
| 78 | Zimbabwe | 74.80 | 2014 est. |
| 79 | Samoa | 74.40 | 2014 est. |
| 80 | Yemen | 74.10 | 2014 est. |
| 81 | West Bank | 74.10 | 2014 est. |
| 82 | Gaza Strip | 74.10 | 2014 est. |
| 83 | Cote d'Ivoire | 74.00 | 2014 est. |
| 84 | Guinea-Bissau | 73.90 | 2014 est. |
| 85 | Sierra Leone | 73.50 | 2014 est. |
| 86 | Sudan | 73.10 | 2014 est. |
| 87 | Guatemala | 72.40 | 2014 est. |
| 88 | Ghana | 71.60 | 2014 est. |
| 89 | Equatorial Guinea | 70.80 | 2014 est. |
| 90 | Solomon Islands | 70.30 | 2014 est. |
| 91 | Mauritania | 70.10 | 2014 est. |
| 92 | Swaziland | 69.70 | 2014 est. |
| 93 | Central African Republic | 69.70 | 2014 est. |
| 94 | Iraq | 69.30 | 2014 est. |
| 95 | Yemen | 69.00 | 2014 est. |
| 96 | West Bank | 68.80 | 2014 est. |
| 97 | Gaza Strip | 68.80 | 2014 est. |
| 98 | Papua New Guinea | 68.20 | 2014 est. |
| 99 | Zimbabwe | 68.10 | 2014 est. |
| 100 | Gabon | 68.00 | 2014 est. |
| 101 | Vanuatu | 67.90 | 2014 est. |
| 102 | Lesotho | 67.10 | 2014 est. |
| 103 | Equatorial Guinea | 66.10 | 2014 est. |
| 104 | Ghana | 65.60 | 2014 est. |
| 105 | Samoa | 65.40 | 2014 est. |
| 106 | Bolivia | 65.30 | 2014 est. |
| 107 | Tonga | 64.90 | 2014 est. |
| 108 | Honduras | 64.70 | 2014 est. |
| 109 | Tajikistan | 64.30 | 2014 est. |
| 110 | Namibia | 64.20 | 2014 est. |
| 111 | Haiti | 64.20 | 2014 est. |
| 112 | Nepal | 64.00 | 2014 est. |
| 113 | Syria | 63.90 | 2014 est. |
| 114 | Swaziland | 63.70 | 2014 est. |
| 115 | Guyana | 63.50 | 2014 est. |
| 116 | Japan | 63.30 | 2014 est. |
| 117 | Micronesia, Federated States of | 63.30 | 2014 est. |
| 118 | Papua New Guinea | 63.20 | 2014 est. |
