CIA - The World Factbook --  Drinking water source   

| Rank | country | (% of population) | Date of Information |
| --- | --- | --- | --- |
| 1 | Lebanon | 100.00 | 2012 est. |
| 2 | Lebanon | 100.00 | 2012 est. |
| 3 | Lebanon | 100.00 | 2012 est. |
| 4 | Slovakia | 100.00 | 2012 est. |
| 5 | Slovakia | 100.00 | 2012 est. |
| 6 | Slovakia | 100.00 | 2012 est. |
| 7 | Luxembourg | 100.00 | 2012 est. |
| 8 | Luxembourg | 100.00 | 2012 est. |
| 9 | Luxembourg | 100.00 | 2012 est. |
| 10 | Monaco | 100.00 | 2012 est. |
| 11 | Monaco | 100.00 | 2012 est. |
| 12 | Malta | 100.00 | 2012 est. |
| 13 | Malta | 100.00 | 2012 est. |
| 14 | Malta | 100.00 | 2012 est. |
| 15 | Malaysia | 100.00 | 2012 est. |
| 16 | Netherlands | 100.00 | 2012 est. |
| 17 | Netherlands | 100.00 | 2012 est. |
| 18 | Netherlands | 100.00 | 2012 est. |
| 19 | Norway | 100.00 | 2012 est. |
| 20 | Norway | 100.00 | 2012 est. |
| 21 | Norway | 100.00 | 2012 est. |
| 22 | New Zealand | 100.00 | 2012 est. |
| 23 | New Zealand | 100.00 | 2012 est. |
| 24 | New Zealand | 100.00 | 2012 est. |
| 25 | Paraguay | 100.00 | 2012 est. |
| 26 | Poland | 100.00 | 2012 est. |
| 27 | Qatar | 100.00 | 2012 est. |
| 28 | Qatar | 100.00 | 2012 est. |
| 29 | Qatar | 100.00 | 2012 est. |
| 30 | Singapore | 100.00 | 2012 est. |
| 31 | Singapore | 100.00 | 2012 est. |
| 32 | Spain | 100.00 | 2012 est. |
| 33 | Spain | 100.00 | 2012 est. |
| 34 | Sweden | 100.00 | 2012 est. |
| 35 | Sweden | 100.00 | 2012 est. |
| 36 | Sweden | 100.00 | 2012 est. |
| 37 | Switzerland | 100.00 | 2012 est. |
| 38 | Switzerland | 100.00 | 2012 est. |
| 39 | Switzerland | 100.00 | 2012 est. |
| 40 | Tunisia | 100.00 | 2012 est. |
| 41 | Turkey | 100.00 | 2012 est. |
| 42 | United Kingdom | 100.00 | 2012 est. |
| 43 | United Kingdom | 100.00 | 2012 est. |
| 44 | United Kingdom | 100.00 | 2012 est. |
| 45 | Virgin Islands | 100.00 | 2012 est. |
| 46 | Virgin Islands | 100.00 | 2012 est. |
| 47 | Virgin Islands | 100.00 | 2012 est. |
| 48 | United Arab Emirates | 100.00 | 2012 est. |
| 49 | Armenia | 100.00 | 2012 est. |
| 50 | Andorra | 100.00 | 2012 est. |
| 51 | Andorra | 100.00 | 2012 est. |
| 52 | Andorra | 100.00 | 2012 est. |
| 53 | American Samoa | 100.00 | 2012 est. |
| 54 | American Samoa | 100.00 | 2012 est. |
| 55 | American Samoa | 100.00 | 2012 est. |
| 56 | Australia | 100.00 | 2012 est. |
| 57 | Australia | 100.00 | 2012 est. |
| 58 | Australia | 100.00 | 2012 est. |
| 59 | Austria | 100.00 | 2012 est. |
| 60 | Austria | 100.00 | 2012 est. |
| 61 | Austria | 100.00 | 2012 est. |
| 62 | Bahrain | 100.00 | 2012 est. |
| 63 | Bahrain | 100.00 | 2012 est. |
| 64 | Bahrain | 100.00 | 2012 est. |
| 65 | Belgium | 100.00 | 2012 est. |
| 66 | Belgium | 100.00 | 2012 est. |
| 67 | Belgium | 100.00 | 2012 est. |
| 68 | Belize | 100.00 | 2012 est. |
| 69 | Canada | 100.00 | 2012 est. |
| 70 | Cyprus | 100.00 | 2012 est. |
| 71 | Cyprus | 100.00 | 2012 est. |
| 72 | Cyprus | 100.00 | 2012 est. |
| 73 | Denmark | 100.00 | 2012 est. |
| 74 | Denmark | 100.00 | 2012 est. |
| 75 | Denmark | 100.00 | 2012 est. |
| 76 | Djibouti | 100.00 | 2012 est. |
| 77 | Egypt | 100.00 | 2012 est. |
| 78 | Ireland | 100.00 | 2012 est. |
| 79 | Finland | 100.00 | 2012 est. |
| 80 | Finland | 100.00 | 2012 est. |
| 81 | Finland | 100.00 | 2012 est. |
| 82 | Fiji | 100.00 | 2012 est. |
| 83 | French Polynesia | 100.00 | 2012 est. |
| 84 | French Polynesia | 100.00 | 2012 est. |
| 85 | French Polynesia | 100.00 | 2012 est. |
| 86 | France | 100.00 | 2012 est. |
| 87 | France | 100.00 | 2012 est. |
| 88 | France | 100.00 | 2012 est. |
| 89 | Georgia | 100.00 | 2012 est. |
| 90 | Greenland | 100.00 | 2012 est. |
| 91 | Greenland | 100.00 | 2012 est. |
| 92 | Greenland | 100.00 | 2012 est. |
| 93 | Germany | 100.00 | 2012 est. |
| 94 | Germany | 100.00 | 2012 est. |
| 95 | Germany | 100.00 | 2012 est. |
| 96 | Greece | 100.00 | 2012 est. |
| 97 | Hungary | 100.00 | 2012 est. |
| 98 | Hungary | 100.00 | 2012 est. |
| 99 | Hungary | 100.00 | 2012 est. |
| 100 | Iceland | 100.00 | 2012 est. |
| 101 | Iceland | 100.00 | 2012 est. |
| 102 | Iceland | 100.00 | 2012 est. |
| 103 | Israel | 100.00 | 2012 est. |
| 104 | Israel | 100.00 | 2012 est. |
| 105 | Israel | 100.00 | 2012 est. |
| 106 | Italy | 100.00 | 2012 est. |
| 107 | Italy | 100.00 | 2012 est. |
| 108 | Italy | 100.00 | 2012 est. |
