CIA - The World Factbook --  Electricity - consumption   

This entry consists of total electricity generated annually plus imports and minus exports, expressed in kilowatt-hours. The discrepancy between the amount of electricity generated and/or imported and the amount consumed and/or exported is accounted for as loss in transmission and distribution.

| Rank | country | (kWh) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 3,873,000,000,000 | 2008 est. |
| 2 | European Union | 2,884,000,000,000 | 2007 est. |
| 3 | China | 2,835,000,000,000 | 2007 est. |
| 4 | Japan | 1,007,000,000,000 | 2007 est. |
| 5 | Russia | 840,400,000,000 | 2007 est. |
| 6 | India | 568,000,000,000 | 2007 est. |
| 7 | Germany | 547,300,000,000 | 2007 est. |
| 8 | Canada | 536,100,000,000 | 2007 est. |
| 9 | France | 447,200,000,000 | 2007 est. |
| 10 | Brazil | 404,300,000,000 | 2007 est. |
| 11 | Korea, South | 385,100,000,000 | 2008 est. |
| 12 | United Kingdom | 345,800,000,000 | 2007 est. |
| 13 | Italy | 315,000,000,000 | 2007 est. |
| 14 | Spain | 276,100,000,000 | 2008 est. |
| 15 | Taiwan | 233,000,000,000 | 2008 est. |
| 16 | Australia | 222,000,000,000 | 2007 est. |
| 17 | South Africa | 215,100,000,000 | 2007 est. |
| 18 | Mexico | 200,900,000,000 | 2007 est. |
| 19 | Saudi Arabia | 165,100,000,000 | 2007 est. |
| 20 | Iran | 153,800,000,000 | 2007 est. |
| 21 | Turkey | 153,700,000,000 | 2007 est. |
| 22 | Ukraine | 153,100,000,000 | 2007 est. |
| 23 | Sweden | 134,500,000,000 | 2007 est. |
| 24 | Thailand | 129,500,000,000 | 2007 est. |
| 25 | Poland | 129,300,000,000 | 2007 est. |
| 26 | Norway | 128,800,000,000 | 2008 est. |
| 27 | Indonesia | 119,300,000,000 | 2007 est. |
| 28 | Netherlands | 110,200,000,000 | 2007 est. |
| 29 | Egypt | 104,100,000,000 | 2007 est. |
| 30 | Malaysia | 99,250,000,000 | 2007 est. |
| 31 | Argentina | 99,210,000,000 | 2007 est. |
| 32 | Finland | 86,900,000,000 | 2008 |
| 33 | Belgium | 84,880,000,000 | 2007 est. |
| 34 | Venezuela | 83,020,000,000 | 2007 est. |
| 35 | Pakistan | 72,200,000,000 | 2007 est. |
| 36 | United Arab Emirates | 65,980,000,000 | 2007 est. |
| 37 | Kazakhstan | 64,690,000,000 | 2007 est. |
| 38 | Austria | 61,890,000,000 | 2007 est. |
| 39 | Czech Republic | 61,650,000,000 | 2007 est. |
| 40 | Vietnam | 59,300,000,000 | 2007 est. |
| 41 | Greece | 58,280,000,000 | 2007 est. |
| 42 | Switzerland | 57,620,000,000 | 2007 est. |
| 43 | Chile | 57,290,000,000 | 2007 est. |
| 44 | Romania | 49,440,000,000 | 2007 est. |
| 45 | Philippines | 48,960,000,000 | 2007 est. |
| 46 | Portugal | 48,780,000,000 | 2007 est. |
| 47 | Israel | 46,150,000,000 | 2007 est. |
| 48 | Hong Kong | 44,600,000,000 | 2008 est. |
| 49 | Uzbekistan | 41,940,000,000 | 2007 est. |
| 50 | Kuwait | 40,210,000,000 | 2007 est. |
| 51 | Iraq | 39,880,000,000 | 2008 est. |
| 52 | New Zealand | 39,240,000,000 | 2007 est. |
| 53 | Colombia | 38,590,000,000 | 2007 est. |
| 54 | Hungary | 37,770,000,000 | 2007 est. |
| 55 | Singapore | 36,600,000,000 | 2007 est. |
| 56 | Denmark | 35,790,000,000 | 2007 est. |
| 57 | Bulgaria | 31,080,000,000 | 2007 est. |
| 58 | Belarus | 30,540,000,000 | 2007 est. |
| 59 | Peru | 28,970,000,000 | 2008 est. |
| 60 | Algeria | 28,340,000,000 | 2007 est. |
| 61 | Syria | 27,350,000,000 | 2007 est. |
| 62 | Slovakia | 26,810,000,000 | 2007 est. |
| 63 | Ireland | 25,120,000,000 | 2007 est. |
| 64 | Libya | 22,170,000,000 | 2007 est. |
| 65 | Puerto Rico | 22,060,000,000 | 2007 est. |
| 66 | Bangladesh | 21,380,000,000 | 2007 est. |
| 67 | Morocco | 20,780,000,000 | 2007 est. |
| 68 | Nigeria | 19,210,000,000 | 2007 est. |
| 69 | Tajikistan | 17,800,000,000 | 2008 |
