CIA - The World Factbook --  ELECTRICITY - CONSUMPTION

Electricity - consumption compares total electricity generated annually plus imports and minus exports, expressed in kilowatt-hours.

| Rank | Country | (KWH) | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 5,523,000,000,000 | 2014 |
| 2 | United States | 3,832,000,000,000 | 2012 est. |
| 3 | European Union | 2,771,000,000,000 | 2013 est. |
| 4 | Russia | 1,065,000,000,000 | 2014 est. |
| 5 | Japan | 921,000,000,000 | 2012 est. |
| 6 | India | 864,700,000,000 | 2012 est. |
| 7 | Germany | 540,100,000,000 | 2012 est. |
| 8 | Canada | 511,000,000,000 | 2014 est. |
| 9 | Brazil | 483,500,000,000 | 2012 est. |
| 10 | Korea, South | 482,400,000,000 | 2012 est. |
| 11 | France | 451,100,000,000 | 2012 est. |
| 12 | United Kingdom | 319,100,000,000 | 2012 est. |
| 13 | Italy | 303,100,000,000 | 2012 est. |
| 14 | Taiwan | 249,500,000,000 | 2015 est. |
| 15 | Spain | 243,100,000,000 | 2012 est. |
| 16 | Mexico | 234,000,000,000 | 2012 est. |
| 17 | Saudi Arabia | 231,600,000,000 | 2012 est. |
| 18 | Australia | 222,600,000,000 | 2012 est. |
| 19 | South Africa | 211,600,000,000 | 2012 est. |
| 20 | Turkey | 197,000,000,000 | 2012 est. |
| 21 | Iran | 195,300,000,000 | 2012 est. |
| 22 | Indonesia | 167,500,000,000 | 2012 est. |
| 23 | Ukraine | 159,800,000,000 | 2012 est. |
| 24 | Thailand | 155,900,000,000 | 2012 est. |
| 25 | Poland | 139,000,000,000 | 2012 est. |
| 26 | Egypt | 135,600,000,000 | 2012 est. |
| 27 | Sweden | 130,500,000,000 | 2012 est. |
| 28 | Norway | 126,400,000,000 | 2014 est. |
| 29 | Malaysia | 118,500,000,000 | 2012 est. |
| 30 | Argentina | 117,100,000,000 | 2012 est. |
| 31 | Netherlands | 116,800,000,000 | 2013 est. |
| 32 | Vietnam | 108,300,000,000 | 2012 est. |
| 33 | Venezuela | 97,690,000,000 | 2012 est. |
| 34 | United Arab Emirates | 93,280,000,000 | 2012 est. |
| 35 | Finland | 82,040,000,000 | 2012 est. |
| 36 | Belgium | 81,890,000,000 | 2012 est. |
| 37 | Kazakhstan | 80,290,000,000 | 2012 est. |
| 38 | Pakistan | 78,890,000,000 | 2013 est. |
| 39 | Philippines | 75,270,000,000 | 2013 est. |
| 40 | Austria | 69,750,000,000 | 2015 est. |
| 41 | Chile | 63,390,000,000 | 2012 est. |
| 42 | Czechia | 60,550,000,000 | 2012 est. |
| 43 | Israel | 59,830,000,000 | 2014 est. |
| 44 | Switzerland | 58,010,000,000 | 2012 est. |
| 45 | Greece | 57,730,000,000 | 2012 est. |
| 46 | Iraq | 53,410,000,000 | 2013 est. |
| 47 | Romania | 50,730,000,000 | 2014 est. |
| 48 | Kuwait | 50,000,000,000 | 2012 est. |
| 49 | Colombia | 49,380,000,000 | 2012 est. |
| 50 | Singapore | 47,180,000,000 | 2014 est. |
| 51 | Portugal | 46,250,000,000 | 2013 est. |
| 52 | Uzbekistan | 45,210,000,000 | 2012 est. |
| 53 | Hong Kong | 44,210,000,000 | 2013 est. |
| 54 | Algeria | 42,870,000,000 | 2012 est. |
| 55 | Bangladesh | 41,520,000,000 | 2012 est. |
| 56 | New Zealand | 40,300,000,000 | 2012 est. |
| 57 | Bulgaria | 37,990,000,000 | 2015 est. |
| 58 | Belarus | 37,880,000,000 | 2013 est. |
| 59 | Peru | 35,690,000,000 | 2012 est. |
| 60 | Denmark | 31,960,000,000 | 2012 est. |
| 61 | Qatar | 30,530,000,000 | 2012 est. |
| 62 | Slovakia | 28,360,000,000 | 2014 est. |
| 63 | Libya | 27,540,000,000 | 2012 est. |
| 64 | Serbia | 26,910,000,000 | 2014 est. |
| 65 | Morocco | 26,700,000,000 | 2012 est. |
| 66 | Syria | 25,700,000,000 | 2012 est. |
| 67 | Nigeria | 24,780,000,000 | 2012 est. |
| 68 | Ireland | 24,240,000,000 | 2012 est. |
| 69 | Hungary | 21,550,000,000 | 2015 est. |
| 70 | Oman | 20,360,000,000 | 2012 est. |
| 71 | Ecuador | 19,020,000,000 | 2012 est. |
| 72 | Puerto Rico | 18,620,000,000 | 2012 est. |
| 73 | Azerbaijan | 17,790,000,000 | 2012 est. |
| 74 | Croatia | 16,970,000,000 | 2014 est. |
| 75 | Iceland | 16,940,000,000 | 2012 est. |
| 76 | Cuba | 16,200,000,000 | 2013 est. |
| 77 | Korea, North | 16,000,000,000 | 2012 est. |
| 78 | Dominican Republic | 15,140,000,000 | 2014 est. |
| 79 | Jordan | 14,560,000,000 | 2013 est. |
| 80 | Tajikistan | 14,420,000,000 | 2012 est. |
| 81 | Tunisia | 13,310,000,000 | 2012 est. |
| 82 | Slovenia | 13,020,000,000 | 2012 est. |
| 83 | Lebanon | 12,940,000,000 | 2012 est. |
| 84 | Bosnia and Herzegovina | 12,560,000,000 | 2013 est. |
| 85 | Turkmenistan | 11,750,000,000 | 2012 est. |
| 86 | Bahrain | 11,690,000,000 | 2012 est. |
| 87 | Mozambique | 11,280,000,000 | 2012 est. |
| 88 | Ghana | 10,580,000,000 | 2013 est. |
| 89 | Sri Lanka | 10,170,000,000 | 2012 est. |
| 90 | Kyrgyzstan | 9,943,000,000 | 2012 est. |
| 91 | Lithuania | 9,664,000,000 | 2012 est. |
| 92 | Uruguay | 9,559,000,000 | 2012 est. |
| 93 | Costa Rica | 8,987,000,000 | 2012 est. |
| 94 | Guatemala | 8,915,000,000 | 2014 est. |
| 95 | Georgia | 8,468,000,000 | 2012 est. |
| 96 | Trinidad and Tobago | 8,365,000,000 | 2012 est. |
| 97 | Zambia | 8,327,000,000 | 2012 est. |
| 98 | Paraguay | 8,125,000,000 | 2012 est. |
| 99 | Albania | 7,793,000,000 | 2014 est. |
| 100 | Burma | 7,765,000,000 | 2012 est. |
| 101 | Estonia | 7,417,000,000 | 2014 est. |
| 102 | Congo, Democratic Republic of the | 7,292,000,000 | 2012 est. |
| 103 | Panama | 7,144,000,000 | 2012 est. |
| 104 | Latvia | 7,141,000,000 | 2012 est. |
| 105 | Macedonia | 6,960,000,000 | 2014 est. |
| 106 | Zimbabwe | 6,831,000,000 | 2012 est. |
