CIA - The World Factbook --  Electricity - exports   

This entry is the total exported electricity in kilowatt-hours.

| Rank | country | (kWh) | Date of Information |
| --- | --- | --- | --- |
| 1 | Germany | 61,700,000,000.00 | 2008 est. |
| 2 | France | 58,690,000,000.00 | 2008 est. |
| 3 | Canada | 55,730,000,000.00 | 2008 est. |
| 4 | Switzerland | 49,900,000,000.00 | 2009 est. |
| 5 | Paraguay | 45,140,000,000.00 | 2007 est. |
| 6 | United States | 24,080,000,000.00 | 2008 est. |
| 7 | Czech Republic | 19,990,000,000.00 | 2008 est. |
| 8 | Russia | 17,700,000,000.00 | 2009 est. |
| 9 | Norway | 17,290,000,000.00 | 2008 est. |
| 10 | Spain | 16,920,000,000.00 | 2008 est. |
| 11 | China | 16,640,000,000.00 | 2008 |
| 12 | Austria | 14,930,000,000.00 | 2008 est. |
| 13 | Sweden | 14,710,000,000.00 | 2008 est. |
| 14 | South Africa | 14,160,000,000.00 | 2008 est. |
| 15 | Mozambique | 11,820,000,000.00 | 2007 est. |
| 16 | Uzbekistan | 11,520,000,000.00 | 2009 est. |
| 17 | Denmark | 11,360,000,000.00 | 2008 |
| 18 | Netherlands | 10,560,000,000.00 | 2009 est. |
| 19 | Poland | 9,703,000,000.00 | 2008 |
| 20 | Hungary | 9,446,000,000.00 | 2008 est. |
| 21 | Slovakia | 8,891,000,000.00 | 2008 est. |
| 22 | Slovenia | 7,820,000,000.00 | 2008 est. |
| 23 | Lithuania | 6,606,000,000.00 | 2008 est. |
| 24 | Belgium | 6,561,000,000.00 | 2008 est. |
| 25 | Iran | 6,150,000,000.00 | 2007 est. |
| 26 | Bosnia and Herzegovina | 6,024,000,000.00 | 2009 est. |
| 27 | Croatia | 5,668,000,000.00 | 2008 est. |
| 28 | Bulgaria | 5,407,000,000.00 | 2008 |
| 29 | Romania | 5,169,000,000.00 | 2008 est. |
| 30 | Belarus | 5,062,000,000.00 | 2007 est. |
| 31 | Ukraine | 4,000,000,000.00 | 2009 est. |
| 32 | Hong Kong | 3,926,000,000.00 | 2009 est. |
| 33 | Kazakhstan | 3,617,000,000.00 | 2007 est. |
| 34 | Italy | 3,431,000,000.00 | 2008 est. |
| 35 | Finland | 3,335,000,000.00 | 2008 |
| 36 | Argentina | 2,628,000,000.00 | 2007 est. |
| 37 | Turkmenistan | 2,500,000,000.00 | 2009 est. |
| 38 | Luxembourg | 2,483,000,000.00 | 2008 est. |
| 39 | Kyrgyzstan | 2,379,000,000.00 | 2007 est. |
| 40 | Estonia | 2,310,000,000.00 | 2008 est. |
| 41 | Malaysia | 2,268,000,000.00 | 2007 est. |
| 42 | Latvia | 2,123,000,000.00 | 2008 est. |
| 43 | Israel | 2,081,000,000.00 | 2007 |
| 44 | Brazil | 2,034,000,000.00 | 2007 est. |
| 45 | Greece | 1,962,000,000.00 | 2008 est. |
| 46 | Congo, Democratic Republic of the | 1,916,000,000.00 | 2007 est. |
| 47 | Serbia | 1,500,000,000.00 | 2009 est. |
| 48 | Portugal | 1,313,000,000.00 | 2008 est. |
| 49 | Bhutan | 1,296,000,000.00 | 2009 est. |
| 50 | Mexico | 1,288,000,000.00 | 2008 est. |
| 51 | United Kingdom | 1,272,000,000.00 | 2008 est. |
| 52 | Turkey | 1,120,000,000.00 | 2008 est. |
| 53 | Tajikistan | 1,000,000,000.00 | 2008 est. |
| 54 | Uruguay | 996,000,000.00 | 2007 est. |
| 55 | Colombia | 876,700,000.00 | 2007 |
| 56 | Thailand | 846,000,000.00 | 2009 est. |
| 57 | Egypt | 814,000,000.00 | 2007 est. |
| 58 | India | 810,000,000.00 | 2009 est. |
| 59 | Azerbaijan | 786,000,000.00 | 2007 est. |
| 60 | Cote d'Ivoire | 772,000,000.00 | 2007 est. |
| 61 | Georgia | 628,000,000.00 | 2007 est. |
| 62 | Venezuela | 540,000,000.00 | 2007 est. |
| 63 | Vietnam | 535,000,000.00 | 2009 est. |
| 64 | Armenia | 451,300,000.00 | 2007 est. |
| 65 | Ireland | 303,000,000.00 | 2008 est. |
| 66 | Algeria | 273,000,000.00 | 2007 est. |
| 67 | Zambia | 268,000,000.00 | 2007 |
| 68 | Ghana | 249,000,000.00 | 2007 est. |
| 69 | Moldova | 240,000,000.00 | 2007 est. |
| 70 | Laos | 230,000,000.00 | 2009 est. |
| 71 | Jordan | 176,000,000.00 | 2007 est. |
| 72 | Guatemala | 131,900,000.00 | 2007 est. |
| 73 | Tunisia | 130,000,000.00 | 2007 est. |
| 74 | Panama | 124,900,000.00 | 2007 est. |
| 75 | Libya | 104,000,000.00 | 2007 est. |
| 76 | Costa Rica | 77,160,000.00 | 2008 est. |
| 77 | Kenya | 58,300,000.00 | 2007 est. |
| 78 | Namibia | 40,000,000.00 | 2007 est. |
