CIA - The World Factbook --  ELECTRICITY - FROM HYDROELECTRIC PLANTS

Electricity - from hydroelectric plants measures the capacity of plants that generate electricity by water-driven turbines, expressed as a share of the country's total generating capacity.

| Rank | Country | (% OF TOTAL INSTALLED CAPACITY) | Date of Information |
| --- | --- | --- | --- |
| 1 | Lesotho | 100.0 | 2011 est. |
| 2 | Paraguay | 99.9 | 2011 est. |
| 3 | Malawi | 99.7 | 2011 est. |
| 4 | Zambia | 99.6 | 2011 est. |
| 5 | Bhutan | 99.3 | 2011 est. |
| 6 | Congo, Democratic Republic of the | 98.6 | 2011 est. |
| 7 | Laos | 98.1 | 2011 est. |
| 8 | Burundi | 98.1 | 2011 est. |
| 9 | Albania | 94.4 | 2012 est. |
| 10 | Norway | 93.2 | 2011 est. |
| 11 | Nepal | 92.4 | 2011 est. |
| 12 | Tajikistan | 91.0 | 2013 est. |
| 13 | Mozambique | 89.7 | 2011 est. |
| 14 | Ethiopia | 88.7 | 2011 est. |
| 15 | Kyrgyzstan | 78.9 | 2011 est. |
| 16 | Togo | 78.3 | 2011 est. |
| 17 | Afghanistan | 76.5 | 2011 est. |
| 18 | Montenegro | 75.8 | 2011 est. |
| 19 | Uganda | 75.6 | 2011 est. |
| 20 | Switzerland | 75.6 | 2011 est. |
| 21 | Burma | 73.9 | 2011 est. |
| 22 | Cameroon | 71.4 | 2011 est. |
| 23 | Latvia | 70.8 | 2011 est. |
| 24 | Iceland | 70.6 | 2011 est. |
| 25 | Brazil | 69.3 | 2011 est. |
| 26 | Namibia | 68.2 | 2013 est. |
| 27 | Colombia | 67.2 | 2011 est. |
| 28 | Sierra Leone | 66.7 | 2011 est. |
| 29 | Tanzania | 66.5 | 2011 est. |
| 30 | Sudan | 66.3 | 2010 est. |
| 31 | South Sudan | 66.3 | 2010 est. |
| 32 | Venezuela | 64.3 | 2012 est. |
| 33 | Georgia | 61.2 | 2011 est. |
| 34 | Angola | 60.4 | 2011 est. |
| 35 | Rwanda | 59.8 | 2011 est. |
| 36 | Costa Rica | 57.1 | 2011 est. |
| 37 | Uruguay | 56.8 | 2011 est. |
| 38 | Central African Republic | 56.8 | 2011 est. |
| 39 | Panama | 56.5 | 2011 est. |
| 40 | Canada | 54.1 | 2011 est. |
| 41 | Ghana | 54.1 | 2011 est. |
| 42 | New Zealand | 54.0 | 2011 est. |
| 43 | Bosnia and Herzegovina | 53.2 | 2012 est. |
| 44 | Korea, North | 52.6 | 2011 est. |
| 45 | Austria | 51.8 | 2011 est. |
