CIA - The World Factbook --  ELECTRICITY - FROM OTHER RENEWABLE SOURCES

Electricity - from other renewable sources measures the capacity of plants that generate electricity by using renewable energy sources other than hydroelectric (including, for example, wind, waves, solar, and geothermal), expressed as a share of the country's total generating capacity.

| Rank | Country | (% OF TOTAL INSTALLED CAPACITY) | Date of Information |
| --- | --- | --- | --- |
| 1 | Kenya | 53.6 | 2015 est. |
| 2 | Denmark | 53.6 | 2015 est. |
| 3 | Germany | 49.9 | 2015 est. |
| 4 | Swaziland | 43.1 | 2015 est. |
| 5 | Uruguay | 39.0 | 2015 est. |
| 6 | Kiribati | 37.5 | 2015 est. |
| 7 | Nicaragua | 36.1 | 2015 est. |
| 8 | Guatemala | 34.4 | 2015 est. |
| 9 | United Kingdom | 33.4 | 2015 est. |
| 10 | Portugal | 32.5 | 2015 est. |
| 11 | Belgium | 32.1 | 2015 est. |
| 12 | Honduras | 32.0 | 2015 est. |
| 13 | Sweden | 30.0 | 2015 est. |
| 14 | Cook Islands | 30.0 | 2015 est. |
| 15 | Ireland | 29.7 | 2015 est. |
| 16 | Spain | 29.5 | 2015 est. |
| 17 | Mauritius | 29.4 | 2015 est. |
| 18 | Italy | 28.6 | 2015 est. |
| 19 | Greece | 26.8 | 2015 est. |
| 20 | El Salvador | 25.7 | 2015 est. |
| 21 | Fiji | 25.2 | 2015 est. |
| 22 | Estonia | 25.1 | 2015 est. |
| 23 | Austria | 24.3 | 2015 est. |
| 24 | Iceland | 24.1 | 2015 est. |
| 25 | Finland | 23.5 | 2015 est. |
| 26 | Cabo Verde | 23.2 | 2015 est. |
| 27 | European Union | 22.9 | 2012 est. |
| 28 | Netherlands | 22.0 | 2015 est. |
| 29 | Dominica | 21.7 | 2015 est. |
| 30 | Nauru | 20.0 | 2015 est. |
| 31 | New Zealand | 19.7 | 2015 est. |
| 32 | Belize | 19.4 | 2015 est. |
| 33 | Romania | 18.8 | 2015 est. |
| 34 | Poland | 18.8 | 2015 est. |
| 35 | Lithuania | 18.3 | 2015 est. |
| 36 | Vanuatu | 18.2 | 2015 est. |
| 37 | Tonga | 17.6 | 2015 est. |
| 38 | Costa Rica | 17.6 | 2015 est. |
| 39 | France | 16.9 | 2015 est. |
| 40 | Mauritania | 16.7 | 2015 est. |
| 41 | Faroe Islands | 16.4 | 2016 est. |
| 42 | Bulgaria | 16.4 | 2016 est. |
| 43 | Australia | 16.1 | 2015 est. |
| 44 | Chile | 16.1 | 2015 est. |
| 45 | Brazil | 16.0 | 2015 est. |
| 46 | Philippines | 15.6 | 2016 est. |
| 47 | Samoa | 15.6 | 2015 est. |
| 48 | Japan | 15.0 | 2015 est. |
| 49 | India | 14.6 | 2015 est. |
| 50 | Czechia | 14.5 | 2015 est. |
| 51 | Thailand | 14.2 | 2015 est. |
| 52 | Hungary | 14.1 | 2015 est. |
| 53 | China | 13.7 | 2016 est. |
| 54 | Ethiopia | 13.4 | 2015 est. |
| 55 | Guyana | 13.0 | 2015 est. |
| 56 | Jamaica | 13.0 | 2015 est. |
