CIA - The World Factbook --  Electricity - imports   

Electricity - imports is the total imported electricity in kilowatt-hours.

| Rank | country | (kWh) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 59,260,000,000 | 2012 est. |
| 2 | Germany | 46,270,000,000 | 2012 est. |
| 3 | Italy | 45,410,000,000 | 2012 est. |
| 4 | Brazil | 38,430,000,000 | 2011 est. |
| 5 | Netherlands | 33,250,000,000 | 2013 est. |
| 6 | Switzerland | 32,250,000,000 | 2012 est. |
| 7 | France | 29,000,000,000 | 2012 est. |
| 8 | Austria | 23,260,000,000 | 2012 est. |
| 9 | Finland | 19,090,000,000 | 2012 est. |
| 10 | United Kingdom | 17,530,000,000 | 2013 est. |
| 11 | Hungary | 16,970,000,000 | 2012 est. |
| 12 | Belgium | 16,850,000,000 | 2012 est. |
| 13 | Denmark | 15,920,000,000 | 2012 est. |
| 14 | Slovakia | 13,880,000,000 | 2012 est. |
| 15 | Uzbekistan | 12,000,000,000 | 2010 est. |
| 16 | South Africa | 11,890,000,000 | 2011 est. |
| 17 | Sweden | 11,680,000,000 | 2012 est. |
| 18 | Hong Kong | 11,470,000,000 | 2013 est. |
| 19 | Canada | 11,390,000,000 | 2012 est. |
| 20 | Portugal | 10,760,000,000 | 2012 est. |
| 21 | Czech Republic | 10,330,000,000 | 2012 est. |
| 22 | Argentina | 10,300,000,000 | 2010 est. |
| 23 | Poland | 9,803,000,000 | 2012 est. |
| 24 | Iraq | 9,802,000,000 | 2013 est. |
| 25 | Thailand | 9,575,000,000 | 2012 est. |
| 26 | Mozambique | 8,537,000,000 | 2012 est. |
| 27 | Colombia | 8,220,000,000 | 2011 est. |
| 28 | Spain | 8,209,000,000 | 2012 est. |
| 29 | Belarus | 7,767,000,000 | 2010 est. |
| 30 | Slovenia | 7,452,000,000 | 2012 est. |
| 31 | China | 7,438,000,000 | 2013 |
| 32 | Croatia | 6,844,000,000 | 2013 est. |
| 33 | Luxembourg | 6,684,000,000 | 2012 est. |
| 34 | Greece | 5,946,000,000 | 2012 est. |
| 35 | Serbia | 5,835,000,000 | 2013 est. |
| 36 | India | 5,700,000,000 | 2011 est. |
| 37 | Zimbabwe | 5,338,000,000 | 2010 est. |
| 38 | Turkey | 4,362,000,000 | 2012 est. |
| 39 | Norway | 4,168,000,000 | 2012 est. |
| 40 | Macau | 4,059,000,000 | 2013 est. |
| 41 | Latvia | 4,009,000,000 | 2011 est. |
| 42 | Morocco | 3,940,000,000 | 2010 est. |
| 43 | Kazakhstan | 3,700,000,000 | 2011 est. |
| 44 | Moldova | 3,297,000,000 | 2012 est. |
| 45 | Iran | 3,015,000,000 | 2010 est. |
| 46 | Botswana | 2,985,000,000 | 2010 est. |
| 47 | Namibia | 2,907,000,000 | 2013 est. |
| 48 | Estonia | 2,710,000,000 | 2012 est. |
| 49 | Vietnam | 2,700,000,000 | 2012 est. |
| 50 | Russia | 2,661,000,000 | 2012 est. |
| 51 | Indonesia | 2,542,000,000 | 2011 est. |
| 52 | Macedonia | 2,491,000,000 | 2013 est. |
| 53 | Albania | 2,322,000,000 | 2013 est. |
| 54 | Ukraine | 1,909,000,000 | 2010 est. |
| 55 | Cambodia | 1,830,000,000 | 2011 est. |
| 56 | Jordan | 1,738,000,000 | 2011 est. |
| 57 | Afghanistan | 1,572,000,000 | 2010 est. |
| 58 | Bulgaria | 1,450,000,000 | 2011 est. |
| 59 | Romania | 1,400,000,000 | 2012 est. |
| 60 | Ecuador | 1,300,000,000 | 2010 est. |
| 61 | Lebanon | 1,245,000,000 | 2010 est. |
| 62 | Bosnia and Herzegovina | 1,245,000,000 | 2012 est. |
| 63 | Liechtenstein | 1,214,000,000 | 2012 |
| 64 | Lithuania | 1,170,000,000 | 2012 est. |
| 65 | Laos | 1,000,000,000 | 2010 est. |
| 66 | Benin | 935,000,000 | 2010 est. |
| 67 | Algeria | 736,000,000 | 2010 est. |
| 68 | Chile | 734,000,000 | 2011 est. |
| 69 | Montenegro | 732,000,000 | 2010 est. |
