CIA - The World Factbook --  Electricity - installed generating capacity   

This entry is the total capacity of currently installed generators, expressed in kilowatts (kW), to produce electricity. A 10-kilowatt (kW) generator will produce 10 kilowatt hours (kWh) of electricity, if it runs continuously for one hour.

| Rank | country | (kW) | Date of Information |
| --- | --- | --- | --- |
| 1 | World | 5,029,000,000 | 2009 est. |
| 2 | China | 1,056,000,000 | 2011 est. |
| 3 | United States | 1,025,000,000 | 2010 est. |
| 4 | Japan | 284,500,000 | 2009 est. |
| 5 | Russia | 225,300,000 | 2009 est. |
| 6 | India | 189,300,000 | 2009 est. |
| 7 | Germany | 153,200,000 | 2010 est. |
| 8 | Canada | 131,500,000 | 2009 est. |
| 9 | Italy | 122,300,000 | 2011 est. |
| 10 | France | 119,100,000 | 2009 est. |
| 11 | Brazil | 106,200,000 | 2010 est. |
| 12 | Spain | 96,280,000 | 2009 est. |
| 13 | United Kingdom | 88,020,000 | 2009 est. |
| 14 | Korea, South | 80,590,000 | 2009 est. |
| 15 | Mexico | 59,330,000 | 2009 est. |
| 16 | Australia | 56,940,000 | 2009 est. |
| 17 | Iran | 56,170,000 | 2009 est. |
| 18 | Ukraine | 54,380,000 | 2009 est. |
| 19 | Thailand | 47,380,000 | 2009 est. |
| 20 | Turkey | 44,760,000 | 2009 est. |
| 21 | Saudi Arabia | 44,490,000 | 2009 est. |
| 22 | South Africa | 44,260,000 | 2009 est. |
| 23 | Taiwan | 41,000,000 | 2009 est. |
| 24 | Sweden | 35,290,000 | 2009 est. |
| 25 | Poland | 33,030,000 | 2009 est. |
| 26 | Indonesia | 32,800,000 | 2009 est. |
| 27 | Argentina | 32,070,000 | 2009 est. |
| 28 | Norway | 30,950,000 | 2009 est. |
| 29 | Netherlands | 25,990,000 | 2009 est. |
| 30 | Malaysia | 25,240,000 | 2009 est. |
| 31 | Venezuela | 24,850,000 | 2009 est. |
| 32 | Egypt | 24,670,000 | 2009 est. |
| 33 | United Arab Emirates | 23,250,000 | 2009 est. |
| 34 | Romania | 21,200,000 | 2011 est. |
| 35 | Austria | 21,110,000 | 2010 est. |
| 36 | Pakistan | 20,200,000 | 2009 est. |
| 37 | Kazakhstan | 18,730,000 | 2009 est. |
| 38 | Czech Republic | 18,320,000 | 2009 est. |
| 39 | Switzerland | 17,700,000 | 2010 est. |
| 40 | Belgium | 17,500,000 | 2009 est. |
| 41 | Portugal | 17,390,000 | 2009 est. |
| 42 | Finland | 16,320,000 | 2009 est. |
