CIA - The World Factbook --  ELECTRICITY - INSTALLED GENERATING CAPACITY

Electricity - installed generating capacity is the total capacity of currently installed generators, expressed in kilowatts (kW), to produce electricity. A 10-kilowatt (kW) generator will produce 10 kilowatt hours (kWh) of electricity, if it runs continuously for one hour.

| Rank | Country | (KW) | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 1,505,000,000 | 2014 est. |
| 2 | United States | 1,063,000,000 | 2012 est. |
| 3 | European Union | 947,000,000 | 2012 est. |
| 4 | Japan | 293,300,000 | 2012 est. |
| 5 | India | 254,700,000 | 2012 est. |
| 6 | Russia | 242,200,000 | 2013 est. |
| 7 | Germany | 177,100,000 | 2012 est. |
| 8 | Canada | 135,000,000 | 2012 est. |
| 9 | France | 129,300,000 | 2012 est. |
| 10 | Italy | 124,200,000 | 2012 est. |
| 11 | Brazil | 121,700,000 | 2012 est. |
| 12 | Spain | 102,300,000 | 2014 est. |
| 13 | Korea, South | 94,350,000 | 2012 est. |
| 14 | United Kingdom | 84,990,000 | 31 December 2014 est. |
| 15 | Iran | 78,300,000 | 2012 est. |
| 16 | Australia | 63,250,000 | 2012 est. |
| 17 | Mexico | 62,290,000 | 2012 est. |
| 18 | Turkey | 57,120,000 | 2012 est. |
| 19 | Ukraine | 55,190,000 | 2012 est. |
| 20 | Thailand | 53,850,000 | 2012 est. |
| 21 | Saudi Arabia | 53,620,000 | 2012 est. |
| 22 | Taiwan | 48,480,000 | 2014 est. |
| 23 | Indonesia | 47,750,000 | 2012 est. |
| 24 | South Africa | 44,150,000 | 2013 est. |
| 25 | Sweden | 37,940,000 | 2012 est. |
| 26 | Poland | 35,220,000 | 2012 est. |
| 27 | Argentina | 34,950,000 | 2012 est. |
| 28 | Norway | 33,700,000 | 2014 est. |
| 29 | Netherlands | 29,850,000 | 2012 est. |
| 30 | Malaysia | 28,530,000 | 2012 est. |
| 31 | United Arab Emirates | 27,230,000 | 2012 est. |
| 32 | Egypt | 27,000,000 | 2013 est. |
| 33 | Venezuela | 26,310,000 | 2012 est. |
| 34 | Vietnam | 24,540,000 | 2012 est. |
| 35 | Austria | 24,220,000 | 2014 est. |
| 36 | Romania | 24,000,000 | 2014 est. |
| 37 | Greece | 22,300,000 | 2012 est. |
| 38 | Belgium | 20,980,000 | 2012 est. |
| 39 | Switzerland | 20,310,000 | 2012 est. |
| 40 | Czechia | 20,210,000 | 2012 est. |
| 41 | Portugal | 19,620,000 | 2013 est. |
| 42 | Chile | 18,160,000 | 2012 est. |
| 43 | Kazakhstan | 17,840,000 | 2012 est. |
| 44 | Philippines | 17,330,000 | 2013 est. |
| 45 | Finland | 16,940,000 | 2012 est. |
| 46 | Israel | 16,250,000 | 2014 est. |
| 47 | Algeria | 15,200,000 | 2013 est. |
| 48 | Kuwait | 14,700,000 | 2012 est. |
| 49 | Colombia | 14,610,000 | 2012 est. |
| 50 | Denmark | 14,050,000 | 2012 est. |
| 51 | Uzbekistan | 12,570,000 | 2012 est. |
| 52 | Bulgaria | 11,840,000 | 2014 est. |
| 53 | Iraq | 11,200,000 | 2013 est. |
| 54 | Singapore | 10,750,000 | 2012 est. |
| 55 | Hong Kong | 10,670,000 | 2013 est. |
| 56 | Peru | 9,705,000 | 2012 est. |
| 57 | New Zealand | 9,521,000 | 2012 est. |
| 58 | Hungary | 9,289,000 | 2015 est. |
| 59 | Syria | 8,958,000 | 2012 est. |
| 60 | Paraguay | 8,816,000 | 2012 est. |
| 61 | Ireland | 8,759,000 | 2012 est. |
| 62 | Slovakia | 8,076,000 | 2014 est. |
| 63 | Qatar | 7,947,000 | 2012 est. |
| 64 | Belarus | 7,751,000 | 2012 est. |
| 65 | Serbia | 7,368,000 | 2014 est. |
| 66 | Korea, North | 7,243,000 | 2013 est. |
| 67 | Libya | 7,121,000 | 2012 est. |
| 68 | Azerbaijan | 7,114,000 | 2012 est. |
| 69 | Morocco | 6,763,000 | 2012 est. |
| 70 | Bangladesh | 6,360,000 | 2013 est. |
| 71 | Nigeria | 6,090,000 | 2012 est. |
| 72 | Cuba | 6,055,000 | 2013 est. |
| 73 | Oman | 5,809,000 | 2012 est. |
| 74 | Puerto Rico | 5,616,000 | 2012 est. |
| 75 | Ecuador | 5,384,000 | 2012 est. |
| 76 | Tajikistan | 4,476,000 | 2013 est. |
| 77 | Georgia | 4,308,000 | 2012 est. |
| 78 | Bosnia and Herzegovina | 4,300,000 | 2013 est. |
| 79 | Turkmenistan | 4,275,000 | 2014 est. |
| 80 | Croatia | 4,220,000 | 2012 est. |
| 81 | Tunisia | 4,203,000 | 2012 est. |
| 82 | Armenia | 4,021,000 | 2012 est. |
| 83 | Bahrain | 3,940,000 | 2012 est. |
| 84 | Kyrgyzstan | 3,766,000 | 2012 est. |
| 85 | Guatemala | 3,730,000 | 2015 est. |
| 86 | Lithuania | 3,714,000 | 2012 est. |
| 87 | Dominican Republic | 3,702,000 | 2013 est. |
| 88 | Burma | 3,591,000 | 2012 est. |
| 89 | Sri Lanka | 3,373,000 | 2012 est. |
| 90 | Slovenia | 3,353,000 | 2012 est. |
| 91 | Laos | 3,217,000 | 2013 est. |
| 92 | Jordan | 3,193,000 | 2013 est. |
| 93 | Estonia | 3,138,000 | 2014 est. |
| 94 | Costa Rica | 3,039,000 | 2012 est. |
| 95 | Uruguay | 2,870,000 | 2012 est. |
| 96 | Ghana | 2,847,000 | 2015 est. |
| 97 | Iceland | 2,658,000 | 2012 est. |
| 98 | Congo, Democratic Republic of the | 2,506,000 | 2012 est. |
| 99 | Ethiopia | 2,470,000 | 2012 est. |
| 100 | Mozambique | 2,436,000 | 2012 est. |
