CIA - The World Factbook --  Electricity - production   

This entry is the annual electricity generated expressed in kilowatt-hours. The discrepancy between the amount of electricity generated and/or imported and the amount consumed and/or exported is accounted for as loss in transmission and distribution.

| Rank | country | (kWh) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 4,110,000,000,000 | 2008 est. |
| 2 | China | 3,451,000,000,000 | 2008 est. |
| 3 | European Union | 3,080,000,000,000 | 2007 est. |
| 4 | Japan | 957,900,000,000 | 2008 est. |
| 5 | Russia | 925,900,000,000 | 2009 |
| 6 | India | 723,800,000,000 | 2009 est. |
| 7 | Canada | 620,700,000,000 | 2007 est. |
| 8 | Germany | 593,400,000,000 | 2007 est. |
| 9 | France | 535,700,000,000 | 2007 est. |
| 10 | Brazil | 438,800,000,000 | 2007 est. |
| 11 | Korea, South | 417,000,000,000 | 2009 est. |
| 12 | United Kingdom | 368,600,000,000 | 2007 est. |
| 13 | Spain | 300,500,000,000 | 2008 est. |
| 14 | Italy | 289,700,000,000 | 2007 est. |
| 15 | Mexico | 245,000,000,000 | 2008 est. |
| 16 | South Africa | 240,300,000,000 | 2007 est. |
| 17 | Australia | 239,900,000,000 | 2007 est. |
| 18 | Taiwan | 238,300,000,000 | 2008 |
| 19 | Iran | 212,800,000,000 | 2007 est. |
| 20 | Turkey | 198,400,000,000 | 2008 est. |
| 21 | Saudi Arabia | 179,100,000,000 | 2007 est. |
| 22 | Ukraine | 172,900,000,000 | 2009 est. |
| 23 | Poland | 149,100,000,000 | 2007 est. |
| 24 | Thailand | 148,200,000,000 | 2008 est. |
| 25 | Sweden | 144,000,000,000 | 2007 est. |
| 26 | Norway | 142,700,000,000 | 2008 est. |
| 27 | Indonesia | 134,400,000,000 | 2007 est. |
| 28 | Egypt | 118,400,000,000 | 2007 est. |
| 29 | Venezuela | 113,300,000,000 | 2007 est. |
| 30 | Argentina | 109,500,000,000 | 2007 est. |
| 31 | Netherlands | 108,200,000,000 | 2008 est. |
| 32 | Malaysia | 103,200,000,000 | 2007 est. |
