CIA - The World Factbook --  Exchange rates   

This entry provides the official value of a country's monetary unit at a given date or over a given period of time, as expressed in units of local currency per US dollar and as determined by international market forces or official fiat. The International Organization for Standardization (ISO) 4217 alphabetic currency code for the national medium of exchange is presented in parenthesis.

| Rank | country | Exchange rates | Date of Information |
| --- | --- | --- | --- |
| 1 | Zimbabwe | 30,000.00 | NA |
| 2 | Mozambique | 23,061.00 | NA |
| 3 | Mozambique | 22,581.00 | NA |
| 4 | Vietnam | 16,548.30 | NA |
| 5 | Vietnam | 16,119.00 | NA |
| 6 | Vietnam | 15,983.00 | NA |
| 7 | Vietnam | 15,746.00 | NA |
| 8 | Sao Tome and Principe | 14,900.00 | NA |
| 9 | Turkmenistan | 14,250.00 | NA |
| 10 | Sao Tome and Principe | 13,700.00 | NA |
| 11 | Sao Tome and Principe | 12,050.00 | NA |
| 12 | Laos | 10,820.00 | NA |
| 13 | Laos | 10,585.50 | NA |
| 14 | Laos | 10,235.00 | NA |
| 15 | Sao Tome and Principe | 9,902.30 | NA |
| 16 | Sao Tome and Principe | 9,900.40 | NA |
| 17 | Indonesia | 9,704.70 | NA |
| 18 | Indonesia | 9,698.90 | NA |
| 19 | Laos | 9,658.00 | NA |
| 20 | Iran | 9,407.50 | NA |
| 21 | Iran | 9,227.10 | NA |
| 22 | Ghana | 9,174.80 | NA |
| 23 | Indonesia | 9,159.30 | NA |
| 24 | Indonesia | 9,143.00 | NA |
| 25 | Iran | 9,142.80 | NA |
| 26 | Ghana | 9,072.50 | NA |
| 27 | Ghana | 9,004.60 | NA |
| 28 | Iran | 8,964.00 | NA |
| 29 | Indonesia | 8,938.90 | NA |
| 30 | Laos | 8,760.69 | NA |
| 31 | Iran | 8,614.00 | NA |
| 32 | Paraguay | 6,178.00 | NA |
| 33 | Paraguay | 5,974.60 | NA |
| 34 | Paraguay | 5,672.80 | NA |
| 35 | Guinea | 5,500.00 | NA |
| 36 | Guinea | 5,350.00 | NA |
| 37 | Paraguay | 5,031.00 | NA |
| 38 | Azerbaijan | 4,913.48 | NA |
| 39 | Zambia | 4,778.90 | NA |
| 40 | Azerbaijan | 4,727.10 | NA |
| 41 | Zambia | 4,463.50 | NA |
| 42 | Paraguay | 4,337.70 | NA |
| 43 | Guinea | 4,122.80 | NA |
| 44 | Cambodia | 4,103.00 | NA |
| 45 | Cambodia | 4,092.50 | NA |
| 46 | Cambodia | 4,070.94 | NA |
| 47 | Cambodia | 4,016.25 | NA |
| 48 | Cambodia | 4,006.00 | NA |
| 49 | Zambia | 3,990.20 | NA |
| 50 | Guinea | 3,644.30 | NA |
| 51 | Zambia | 3,601.50 | NA |
| 52 | Zambia | 3,512.90 | NA |
| 53 | Sierra Leone | 2,961.70 | NA |
| 54 | Sierra Leone | 2,889.60 | NA |
| 55 | Sierra Leone | 2,701.30 | NA |
| 56 | Colombia | 2,628.61 | NA |
| 57 | Colombia | 2,358.60 | NA |
| 58 | Sierra Leone | 2,347.90 | NA |
| 59 | Colombia | 2,320.75 | NA |
| 60 | Colombia | 2,243.60 | NA |
| 61 | Guinea | 2,225.00 | NA |
| 62 | Madagascar | 2,161.40 | NA |
| 63 | Belarus | 2,160.26 | NA |
| 64 | Belarus | 2,150.00 | NA |
| 65 | Venezuela | 2,147.00 | NA |
| 66 | Venezuela | 2,147.00 | NA |
| 67 | Belarus | 2,145.00 | NA |
| 68 | Belarus | 2,144.60 | NA |
| 69 | Belarus | 2,130.00 | NA |
| 70 | Venezuela | 2,089.80 | NA |
| 71 | Colombia | 2,013.80 | NA |
| 72 | Madagascar | 2,003.00 | NA |
| 73 | Venezuela | 1,891.30 | NA |
| 74 | Iraq | 1,890.00 | NA |
| 75 | Madagascar | 1,880.00 | NA |
| 76 | Madagascar | 1,868.90 | NA |
| 77 | Uganda | 1,834.90 | NA |
| 78 | Uganda | 1,810.30 | NA |
