CIA - The World Factbook --  Exchange rates   

This entry provides the average annual price of a country's monetary unit for the time period specified, expressed in units of local currency per US dollar, as determined by international market forces or by official fiat. The International Organization for Standardization (ISO) 4217 alphabetic currency code for the national medium of exchange is presented in parenthesis. Closing daily exchange rates are not presented in The World Factbook, but are used to convert stock values - e.g., the market value of publicly traded shares - to US dollars as of the specified date.

| Rank | country | Exchange rates | Date of Information |
| --- | --- | --- | --- |
| 1 | Somalia | 31,900.00 | NA |
| 2 | Vietnam | 20,859.00 | NA |
| 3 | Vietnam | 20,649.00 | NA |
| 4 | Sao Tome and Principe | 19,068.00 | NA |
| 5 | Vietnam | 18,612.92 | NA |
| 6 | Sao Tome and Principe | 18,499.00 | NA |
| 7 | Vietnam | 17,799.60 | NA |
| 8 | Sao Tome and Principe | 17,623.00 | NA |
| 9 | Vietnam | 16,548.30 | NA |
| 10 | Sao Tome and Principe | 16,209.00 | NA |
| 11 | Sao Tome and Principe | 14,900.00 | NA |
| 12 | Turkmenistan | 14,250.00 | NA |
| 13 | Iran | 12,175.50 | NA |
| 14 | Iran | 10,616.30 | NA |
| 15 | Indonesia | 10,389.90 | NA |
| 16 | Iran | 10,254.18 | NA |
| 17 | Iran | 9,864.30 | NA |
| 18 | Indonesia | 9,698.90 | NA |
| 19 | Zimbabwe | 9,686.80 | NA |
| 20 | Indonesia | 9,386.60 | NA |
| 21 | Iran | 9,142.80 | NA |
| 22 | Indonesia | 9,090.40 | NA |
| 23 | Indonesia | 8,770.43 | NA |
| 24 | Laos | 8,760.69 | NA |
| 25 | Laos | 8,516.04 | NA |
| 26 | Belarus | 8,336.90 | NA |
| 27 | Laos | 8,258.80 | NA |
| 28 | Laos | 8,030.10 | NA |
| 29 | Laos | 8,007.30 | NA |
| 30 | Guinea | 6,986.00 | NA |
| 31 | Guinea | 6,658.00 | NA |
| 32 | Guinea | 5,726.10 | NA |
| 33 | Guinea | 5,500.00 | NA |
| 34 | Guinea | 5,500.00 | NA |
| 35 | Zambia | 5,046.10 | NA |
| 36 | Belarus | 4,974.60 | NA |
| 37 | Paraguay | 4,965.40 | NA |
| 38 | Zambia | 4,797.10 | NA |
| 39 | Paraguay | 4,735.50 | NA |
| 40 | Paraguay | 4,424.90 | NA |
| 41 | Sierra Leone | 4,349.20 | NA |
| 42 | Sierra Leone | 4,344.00 | NA |
| 43 | Paraguay | 4,337.70 | NA |
| 44 | Paraguay | 4,191.40 | NA |
| 45 | Cambodia | 4,184.90 | NA |
| 46 | Cambodia | 4,139.00 | NA |
| 47 | Cambodia | 4,070.94 | NA |
| 48 | Cambodia | 4,058.50 | NA |
| 49 | Cambodia | 4,033.00 | NA |
| 50 | Sierra Leone | 3,978.10 | NA |
| 51 | Korea, North | 3,630.00 | NA |
| 52 | Zambia | 3,512.90 | NA |
| 53 | Belarus | 2,978.50 | NA |
| 54 | Belarus | 2,789.49 | NA |
| 55 | Uganda | 2,522.80 | NA |
| 56 | Uganda | 2,505.60 | NA |
| 57 | Colombia | 2,243.60 | NA |
| 58 | Madagascar | 2,195.00 | NA |
| 59 | Uganda | 2,177.60 | NA |
| 60 | Colombia | 2,157.60 | NA |
| 61 | Belarus | 2,130.00 | NA |
| 62 | Madagascar | 2,090.00 | NA |
| 63 | Uganda | 2,030.00 | NA |
| 64 | Madagascar | 2,025.10 | NA |
| 65 | Madagascar | 1,956.20 | NA |
| 66 | Colombia | 1,898.60 | NA |
| 67 | Uzbekistan | 1,890.10 | NA |
| 68 | Colombia | 1,848.00 | NA |
| 69 | Colombia | 1,798.00 | NA |
| 70 | Uzbekistan | 1,716.10 | NA |
| 71 | Uganda | 1,658.10 | NA |
| 72 | Madagascar | 1,654.78 | NA |
| 73 | Somalia | 1,600.00 | NA |
| 74 | Uzbekistan | 1,587.20 | NA |
| 75 | Tanzania | 1,583.00 | NA |
| 76 | Tanzania | 1,572.10 | NA |
| 77 | Lebanon | 1,507.50 | NA |
| 78 | Lebanon | 1,507.50 | NA |
| 79 | Lebanon | 1,507.50 | NA |
| 80 | Lebanon | 1,507.50 | NA |
| 81 | Lebanon | 1,507.50 | NA |
| 82 | Uzbekistan | 1,466.70 | NA |
| 83 | Mongolia | 1,442.80 | NA |
| 84 | Burundi | 1,442.51 | NA |
| 85 | Tanzania | 1,409.30 | NA |
| 86 | Mongolia | 1,357.60 | NA |
| 87 | Mongolia | 1,357.10 | NA |
| 88 | Tanzania | 1,320.30 | NA |
| 89 | Uzbekistan | 1,317.00 | NA |
| 90 | Korea, South | 1,276.93 | NA |
| 91 | Mongolia | 1,265.50 | NA |
| 92 | Burundi | 1,261.07 | NA |
| 93 | Burundi | 1,230.80 | NA |
| 94 | Burundi | 1,230.18 | NA |
| 95 | Burma | 1,205.00 | NA |
| 96 | Burundi | 1,198.00 | NA |
| 97 | Tanzania | 1,178.10 | NA |
| 98 | Iraq | 1,176.00 | NA |
| 99 | Mongolia | 1,170.00 | NA |
| 100 | Iraq | 1,170.00 | NA |
| 101 | Iraq | 1,170.00 | NA |
| 102 | Iraq | 1,170.00 | NA |
| 103 | Iraq | 1,166.20 | NA |
| 104 | Korea, South | 1,156.10 | NA |
| 105 | Korea, South | 1,126.47 | NA |
| 106 | Korea, South | 1,108.29 | NA |
| 107 | Korea, South | 1,101.70 | NA |
| 108 | Burma | 1,055.00 | NA |
| 109 | Congo, Democratic Republic of the | 920.25 | NA |
| 110 | Congo, Democratic Republic of the | 916.25 | NA |
| 111 | Congo, Democratic Republic of the | 905.91 | NA |
| 112 | Burma | 853.48 | NA |
| 113 | Burma | 815.00 | NA |
| 114 | Rwanda | 616.60 | NA |
| 115 | Rwanda | 601.83 | NA |
| 116 | Rwanda | 583.13 | NA |
| 117 | Costa Rica | 573.29 | NA |
| 118 | Rwanda | 568.18 | NA |
| 119 | Chile | 560.86 | NA |
| 120 | Congo, Democratic Republic of the | 559.00 | NA |
| 121 | Rwanda | 550.00 | NA |
| 122 | Costa Rica | 530.41 | NA |
| 123 | Costa Rica | 525.83 | NA |
| 124 | Burkina Faso | 510.53 | NA |
| 125 | Mali | 510.53 | NA |
| 126 | Niger | 510.53 | NA |
| 127 | Senegal | 510.53 | NA |
| 128 | Togo | 510.53 | NA |
| 129 | Congo, Republic of the | 510.53 | NA |
| 130 | Chad | 510.53 | NA |
| 131 | Cameroon | 510.53 | NA |
| 132 | Guinea-Bissau | 510.53 | NA |
| 133 | Central African Republic | 510.53 | NA |
| 134 | Equatorial Guinea | 510.53 | NA |
| 135 | Gabon | 510.53 | NA |
| 136 | Benin | 510.53 | NA |
| 137 | Cote d'Ivoire | 510.29 | NA |
| 138 | Chile | 510.25 | NA |
| 139 | Chile | 509.02 | NA |
| 140 | Costa Rica | 505.66 | NA |
| 141 | Costa Rica | 502.90 | NA |
| 142 | Guinea-Bissau | 495.28 | NA |
| 143 | Cameroon | 495.28 | NA |
| 144 | Congo, Republic of the | 495.28 | NA |
| 145 | Chad | 495.28 | NA |
| 146 | Benin | 495.28 | NA |
| 147 | Cote d'Ivoire | 495.28 | NA |
| 148 | Gabon | 495.28 | NA |
| 149 | Equatorial Guinea | 495.28 | NA |
| 150 | Central African Republic | 495.28 | NA |
| 151 | Niger | 495.28 | NA |
| 152 | Mali | 495.28 | NA |
| 153 | Burkina Faso | 495.28 | NA |
| 154 | Togo | 495.28 | NA |
| 155 | Senegal | 495.28 | NA |
| 156 | Chile | 486.49 | NA |
| 157 | Chile | 483.67 | NA |
| 158 | Guinea-Bissau | 472.19 | NA |
| 159 | Congo, Republic of the | 472.19 | NA |
| 160 | Cote d'Ivoire | 472.19 | NA |
| 161 | Niger | 472.19 | NA |
| 162 | Equatorial Guinea | 472.19 | NA |
| 163 | Gabon | 472.19 | NA |
| 164 | Congo, Democratic Republic of the | 472.19 | NA |
| 165 | Cameroon | 472.19 | NA |
| 166 | Mali | 472.19 | NA |
| 167 | Chad | 472.19 | NA |
| 168 | Togo | 472.19 | NA |
| 169 | Senegal | 472.19 | NA |
| 170 | Central African Republic | 472.19 | NA |
| 171 | Benin | 472.19 | NA |
| 172 | Burkina Faso | 472.19 | NA |
| 173 | Benin | 471.87 | NA |
| 174 | Niger | 471.87 | NA |
| 175 | Cote d'Ivoire | 471.87 | NA |
| 176 | Gabon | 471.87 | NA |
| 177 | Congo, Republic of the | 471.87 | NA |
| 178 | Equatorial Guinea | 471.87 | NA |
| 179 | Mali | 471.87 | NA |
| 180 | Chad | 471.87 | NA |
| 181 | Burkina Faso | 471.87 | NA |
| 182 | Guinea-Bissau | 471.87 | NA |
| 183 | Togo | 471.87 | NA |
| 184 | Central African Republic | 471.87 | NA |
| 185 | Cameroon | 471.87 | NA |
| 186 | Senegal | 471.87 | NA |
| 187 | Guinea-Bissau | 447.81 | NA |
| 188 | Senegal | 447.81 | NA |
| 189 | Togo | 447.81 | NA |
| 190 | Chad | 447.81 | NA |
| 191 | Benin | 447.81 | NA |
| 192 | Cote d'Ivoire | 447.81 | NA |
| 193 | Gabon | 447.81 | NA |
| 194 | Equatorial Guinea | 447.81 | NA |
| 195 | Congo, Republic of the | 447.81 | NA |
| 196 | Central African Republic | 447.81 | NA |
| 197 | Niger | 447.81 | NA |
| 198 | Mali | 447.81 | NA |
| 199 | Burkina Faso | 447.81 | NA |
| 200 | Cameroon | 447.81 | NA |
| 201 | Armenia | 401.76 | NA |
| 202 | Comoros | 382.90 | NA |
| 203 | Armenia | 373.66 | NA |
| 204 | Armenia | 372.50 | NA |
| 205 | Comoros | 371.46 | NA |
| 206 | Armenia | 363.28 | NA |
| 207 | Comoros | 353.90 | NA |
| 208 | Armenia | 303.93 | NA |
| 209 | Mauritania | 296.60 | NA |
| 210 | Mauritania | 281.12 | NA |
| 211 | Mauritania | 275.89 | NA |
| 212 | Mauritania | 262.40 | NA |
| 213 | Malawi | 249.11 | NA |
| 214 | Mauritania | 238.20 | NA |
| 215 | Zimbabwe | 234.25 | NA |
| 216 | Zimbabwe | 234.25 | NA |
| 217 | Hungary | 225.10 | NA |
| 218 | Yemen | 219.59 | NA |
| 219 | Yemen | 214.35 | NA |
| 220 | Yemen | 213.80 | NA |
| 221 | Hungary | 207.94 | NA |
| 222 | Guyana | 204.36 | NA |
| 223 | Guyana | 204.02 | NA |
| 224 | Guyana | 203.95 | NA |
| 225 | Guyana | 203.86 | NA |
| 226 | Guyana | 203.64 | NA |
| 227 | Yemen | 202.85 | NA |
| 228 | Hungary | 202.34 | NA |
| 229 | Hungary | 201.05 | NA |
| 230 | Yemen | 199.76 | NA |
| 231 | Djibouti | 177.72 | NA |
| 232 | Djibouti | 177.72 | NA |
| 233 | Djibouti | 177.72 | NA |
| 234 | Hungary | 171.80 | NA |
| 235 | Malawi | 156.93 | NA |
| 236 | Nigeria | 156.81 | NA |
| 237 | Korea, North | 156.10 | NA |
| 238 | Korea, North | 155.50 | NA |
| 239 | Nigeria | 154.74 | NA |
| 240 | Malawi | 150.49 | NA |
| 241 | Nigeria | 150.30 | NA |
| 242 | Kazakhstan | 149.11 | NA |
| 243 | Nigeria | 148.90 | NA |
| 244 | Kazakhstan | 147.50 | NA |
| 245 | Kazakhstan | 147.36 | NA |
| 246 | Kazakhstan | 146.62 | NA |
| 247 | Korea, North | 145.00 | NA |
| 248 | Malawi | 142.41 | NA |
| 249 | Malawi | 141.14 | NA |
| 250 | Korea, North | 140.00 | NA |
| 251 | Sri Lanka | 127.60 | NA |
| 252 | Iceland | 125.08 | NA |
| 253 | Iceland | 123.64 | NA |
| 254 | Iceland | 122.24 | NA |
| 255 | Kazakhstan | 120.25 | NA |
| 256 | Nigeria | 117.80 | NA |
| 257 | Iceland | 115.95 | NA |
| 258 | Sri Lanka | 114.95 | NA |
| 259 | Sri Lanka | 113.06 | NA |
| 260 | Sri Lanka | 110.57 | NA |
| 261 | Sri Lanka | 108.33 | NA |
| 262 | Albania | 108.19 | NA |
| 263 | Albania | 103.94 | NA |
| 264 | Japan | 103.58 | NA |
| 265 | Albania | 100.90 | NA |
| 266 | Vanuatu | 96.91 | NA |
| 267 | Angola | 95.47 | NA |
| 268 | Albania | 94.98 | NA |
| 269 | Angola | 93.94 | NA |
