CIA - The World Factbook --  Exports - partners   

This entry provides a rank ordering of trading partners starting with the most important; it sometimes includes the percent of total dollar value.

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Chad | 90.06 | 2009 |
| 2 | Bhutan | 86.30 | 2008 |
| 3 | Mexico | 80.50 | 2009 |
| 4 | Haiti | 79.76 | 2009 |
| 5 | Mongolia | 78.52 | 2009 |
| 6 | Djibouti | 76.68 | 2009 |
| 7 | Canada | 75.02 | 2009 |
| 8 | Nepal | 65.60 | 2009 |
| 9 | Saint Kitts and Nevis | 62.30 | 2009 |
| 10 | Guinea-Bissau | 62.21 | 2009 |
| 11 | Nicaragua | 61.98 | 2009 |
| 12 | Greenland | 61.13 | 2009 |
| 13 | Honduras | 59.60 | 2009 |
| 14 | Lesotho | 58.90 | 2008 |
| 15 | Albania | 58.75 | 2009 |
| 16 | Sudan | 58.29 | 2009 |
| 17 | Somalia | 58.27 | 2009 |
| 18 | Dominican Republic | 54.08 | 2009 |
| 19 | Solomon Islands | 54.07 | 2009 |
| 20 | Cape Verde | 53.98 | 2009 |
| 21 | Vanuatu | 53.15 | 2009 |
| 22 | Niger | 52.63 | 2009 |
| 23 | Hong Kong | 51.20 | 2009 est. |
| 24 | Mozambique | 47.62 | 2009 |
| 25 | Congo, Democratic Republic of the | 46.75 | 2009 |
| 26 | Burma | 46.57 | 2009 |
| 27 | Cambodia | 45.32 | 2009 |
| 28 | El Salvador | 43.86 | 2009 |
| 29 | Gambia, The | 42.06 | 2009 |
| 30 | Mauritania | 42.06 | 2009 |
| 31 | Korea, North | 42.00 | 2008 |
| 32 | Bolivia | 41.38 | 2009 |
| 33 | Samoa | 41.12 | 2009 |
| 34 | Guatemala | 40.41 | 2009 |
| 35 | Congo, Republic of the | 40.08 | 2009 |
| 36 | Saint Vincent and the Grenadines | 40.04 | 2009 |
| 37 | Colombia | 39.00 | 2009 |
| 38 | Macau | 38.70 | 2009 |
| 39 | Trinidad and Tobago | 38.53 | 2009 |
| 40 | Jamaica | 38.19 | 2009 |
| 41 | Brunei | 38.04 | 2009 |
| 42 | Korea, North | 38.00 | 2008 |
| 43 | Libya | 37.65 | 2009 |
| 44 | Lesotho | 37.00 | 2008 |
| 45 | Faroe Islands | 36.26 | 2009 |
| 46 | Yemen | 36.00 | 2009 |
| 47 | Bahamas, The | 35.99 | 2009 |
| 48 | Angola | 35.65 | 2009 |
| 49 | Suriname | 35.47 | 2009 |
| 50 | Venezuela | 35.18 | 2009 |
| 51 | Nigeria | 35.08 | 2009 |
| 52 | Israel | 35.05 | 2009 |
| 53 | Qatar | 34.68 | 2009 |
| 54 | Rwanda | 33.88 | 2009 |
| 55 | Belarus | 33.60 | 2009 |
| 56 | Ecuador | 33.50 | 2009 |
| 57 | Sao Tome and Principe | 32.99 | 2009 |
| 58 | Costa Rica | 32.61 | 2009 |
| 59 | Central African Republic | 32.57 | 2009 |
| 60 | Czech Republic | 32.25 | 2009 |
| 61 | Guinea-Bissau | 31.28 | 2009 |
| 62 | Austria | 30.96 | 2009 |
| 63 | Iceland | 30.71 | 2009 |
| 64 | Belize | 30.70 | 2009 |
| 65 | Gabon | 30.62 | 2009 |
| 66 | Equatorial Guinea | 30.31 | 2009 |
| 67 | Syria | 30.22 | 2009 |
| 68 | Congo, Republic of the | 30.18 | 2009 |
| 69 | Papua New Guinea | 30.05 | 2009 |
| 70 | Uzbekistan | 29.91 | 2009 |
| 71 | Belize | 29.77 | 2009 |
| 72 | Tunisia | 29.60 | 2009 |
| 73 | Montenegro | 29.52 | 2009 |
| 74 | Saint Lucia | 29.41 | 2009 |
| 75 | Laos | 29.18 | 2009 |
| 76 | Madagascar | 28.90 | 2009 |
| 77 | Dominica | 28.62 | 2009 |
| 78 | Liberia | 27.92 | 2009 |
| 79 | Iraq | 27.62 | 2009 |
| 80 | Guyana | 27.52 | 2009 |
| 81 | New Caledonia | 27.52 | 2009 |
| 82 | Oman | 26.98 | 2009 |
| 83 | Sao Tome and Principe | 26.93 | 2009 |
| 84 | Taiwan | 26.60 | 2009 |
| 85 | Sierra Leone | 26.56 | 2009 |
| 86 | Afghanistan | 26.47 | 2009 |
| 87 | Portugal | 26.25 | 2009 |
| 88 | Poland | 26.06 | 2009 |
| 89 | Angola | 25.98 | 2009 |
| 90 | Kyrgyzstan | 25.96 | 2009 |
| 91 | Brunei | 25.95 | 2009 |
| 92 | Kyrgyzstan | 25.88 | 2009 |
| 93 | Cuba | 25.68 | 2009 |
| 94 | Mauritius | 25.55 | 2009 |
| 95 | Hungary | 25.54 | 2009 |
| 96 | Netherlands | 25.54 | 2009 |
| 97 | Tonga | 25.42 | 2009 |
| 98 | Eritrea | 25.30 | 2008 |
| 99 | Comoros | 25.20 | 2009 |
| 100 | Seychelles | 24.84 | 2009 |
| 101 | Samoa | 24.74 | 2009 |
| 102 | Norway | 24.28 | 2009 |
| 103 | Aruba | 23.84 | 2009 |
| 104 | Cyprus | 23.83 | 2009 |
| 105 | Moldova | 23.77 | 2009 |
| 106 | Sint Maarten | 23.49 | 2009 |
| 107 | New Zealand | 23.36 | 2009 |
| 108 | Algeria | 23.20 | 2009 |
| 109 | Afghanistan | 23.09 | 2009 |
