CIA - The World Factbook --  Exports - partners   

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Nepal | 93.90 | 2013 est. |
| 2 | Mongolia | 89.00 | 2012 |
| 3 | Bhutan | 83.80 | 2013 est. |
| 4 | San Marino | 82.30 | 2012 est. |
| 5 | Chad | 81.90 | 2012 |
| 6 | Haiti | 81.70 | 2012 |
| 7 | Djibouti | 80.10 | 2012 |
| 8 | Mexico | 78.00 | 2012 |
| 9 | Canada | 74.50 | 2012 |
| 10 | Monaco | 73.20 | 2013 est. |
| 11 | Turkmenistan | 69.60 | 2012 |
| 12 | Cabo Verde | 66.90 | 2012 |
| 13 | Sudan | 63.20 | 2012 |
| 14 | Korea, North | 63.00 | 2012 est. |
| 15 | Greenland | 60.40 | 2012 |
| 16 | Comoros | 58.60 | 2012 |
| 17 | Syria | 58.40 | 2012 |
| 18 | Hong Kong | 57.70 | 2012 est. |
| 19 | Gambia, The | 57.10 | 2012 |
| 20 | Guinea-Bissau | 56.50 | 2012 |
| 21 | Saint Kitts and Nevis | 56.00 | 2012 |
| 22 | Congo, Democratic Republic of the | 54.30 | 2012 |
| 23 | Macau | 53.40 | 2013 est. |
| 24 | Mali | 52.90 | 2012 |
| 25 | Somalia | 51.70 | 2012 |
| 26 | Albania | 51.10 | 2012 |
| 27 | Sierra Leone | 51.10 | 2012 |
| 28 | Solomon Islands | 50.80 | 2012 |
| 29 | Mauritania | 50.50 | 2012 |
| 30 | Samoa | 48.40 | 2012 |
| 31 | Jamaica | 48.00 | 2012 |
| 32 | El Salvador | 47.30 | 2012 |
| 33 | Dominican Republic | 47.00 | 2012 |
| 34 | Angola | 46.30 | 2012 |
| 35 | Brunei | 45.70 | 2012 |
| 36 | Zambia | 43.40 | 2012 |
| 37 | Trinidad and Tobago | 42.10 | 2012 |
| 38 | Vanuatu | 41.90 | 2012 |
| 39 | Bolivia | 41.80 | 2012 |
| 40 | Yemen | 41.00 | 2013 est. |
