CIA - The World Factbook --  Exports   

This entry provides the total US dollar amount of merchandise exports on an f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Exports | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 1,952,000,000,000 | 2007 |
| 2 | Germany | $ 1,498,000,000,000 | 2008 est. |
| 3 | China | $ 1,435,000,000,000 | 2008 est. |
| 4 | United States | $ 1,277,000,000,000 | 2008 est. |
| 5 | Japan | $ 746,500,000,000 | 2008 est. |
| 6 | France | $ 601,900,000,000 | 2008 est. |
| 7 | Italy | $ 546,900,000,000 | 2008 est. |
| 8 | Netherlands | $ 531,700,000,000 | 2008 est. |
| 9 | Russia | $ 471,600,000,000 | 2008 est. |
| 10 | United Kingdom | $ 466,300,000,000 | 2008 est. |
| 11 | Canada | $ 459,100,000,000 | 2008 est. |
| 12 | Korea, South | $ 433,500,000,000 | 2008 est. |
| 13 | Belgium | $ 371,500,000,000 | 2008 est. |
| 14 | Hong Kong | $ 365,200,000,000 | 2008 est. |
| 15 | Singapore | $ 342,700,000,000 | 2008 est. |
| 16 | Saudi Arabia | $ 313,400,000,000 | 2008 est. |
| 17 | Mexico | $ 291,300,000,000 | 2008 est. |
| 18 | Spain | $ 285,900,000,000 | 2008 est. |
| 19 | Taiwan | $ 254,900,000,000 | 2008 est. |
| 20 | Switzerland | $ 241,300,000,000 | 2008 est. |
| 21 | United Arab Emirates | $ 239,200,000,000 | 2008 est. |
| 22 | Malaysia | $ 198,700,000,000 | 2008 est. |
| 23 | Brazil | $ 197,900,000,000 | 2008 est. |
| 24 | Australia | $ 189,900,000,000 | 2008 est. |
| 25 | India | $ 187,900,000,000 | 2008 est. |
| 26 | Sweden | $ 185,900,000,000 | 2008 est. |
| 27 | Austria | $ 179,100,000,000 | 2008 est. |
| 28 | Poland | $ 178,400,000,000 | 2008 est. |
| 29 | Thailand | $ 175,300,000,000 | 2008 est. |
| 30 | Norway | $ 173,600,000,000 | 2008 est. |
| 31 | Czech Republic | $ 145,700,000,000 | 2008 est. |
| 32 | Turkey | $ 140,700,000,000 | 2008 est. |
| 33 | Indonesia | $ 139,300,000,000 | 2008 est. |
| 34 | Ireland | $ 119,800,000,000 | 2008 est. |
| 35 | Denmark | $ 114,900,000,000 | 2008 est. |
| 36 | Hungary | $ 106,600,000,000 | 2008 est. |
| 37 | Iran | $ 98,420,000,000 | 2008 est. |
| 38 | Finland | $ 96,620,000,000 | 2008 est. |
| 39 | Venezuela | $ 93,540,000,000 | 2008 est. |
| 40 | Kuwait | $ 86,940,000,000 | 2008 est. |
| 41 | South Africa | $ 86,120,000,000 | 2008 est. |
| 42 | Algeria | $ 78,230,000,000 | 2008 est. |
| 43 | Nigeria | $ 76,030,000,000 | 2008 est. |
| 44 | Slovakia | $ 72,570,000,000 | 2008 est. |
| 45 | Kazakhstan | $ 71,970,000,000 | 2008 est. |
