CIA - The World Factbook --  GDP (official exchange rate)   

| Rank | country | GDP (official exchange rate) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 16,950,000,000,000 | 2013 est. |
| 2 | United States | $ 16,720,000,000,000 | 2013 est. |
| 3 | China | $ 9,330,000,000,000 | 2013 est. |
| 4 | Japan | $ 5,007,000,000,000 | 2013 est. |
| 5 | Germany | $ 3,593,000,000,000 | 2013 est. |
| 6 | France | $ 2,739,000,000,000 | 2013 est. |
| 7 | United Kingdom | $ 2,490,000,000,000 | 2013 est. |
| 8 | Brazil | $ 2,190,000,000,000 | 2013 est. |
| 9 | Russia | $ 2,113,000,000,000 | 2013 est. |
| 10 | Italy | $ 2,068,000,000,000 | 2013 est. |
| 11 | Canada | $ 1,825,000,000,000 | 2013 est. |
| 12 | India | $ 1,670,000,000,000 | 2013 est. |
| 13 | Australia | $ 1,488,000,000,000 | 2013 est. |
| 14 | Spain | $ 1,356,000,000,000 | 2013 est. |
| 15 | Mexico | $ 1,327,000,000,000 | 2013 est. |
| 16 | Korea, South | $ 1,198,000,000,000 | 2013 est. |
| 17 | Indonesia | $ 867,500,000,000 | 2013 est. |
| 18 | Turkey | $ 821,800,000,000 | 2013 est. |
| 19 | Netherlands | $ 722,300,000,000 | 2013 est. |
| 20 | Saudi Arabia | $ 718,500,000,000 | 2013 est. |
| 21 | Switzerland | $ 646,200,000,000 | 2013 est. |
| 22 | Sweden | $ 552,000,000,000 | 2013 est. |
| 23 | Norway | $ 515,800,000,000 | 2013 est. |
| 24 | Poland | $ 513,900,000,000 | 2013 est. |
| 25 | Belgium | $ 507,400,000,000 | 2013 est. |
| 26 | Nigeria | $ 502,000,000,000 | 2013 est. |
| 27 | Taiwan | $ 484,700,000,000 | 2013 est. |
| 28 | Argentina | $ 484,600,000,000 | 2013 est. |
| 29 | Austria | $ 417,900,000,000 | 2013 est. |
| 30 | Iran | $ 411,900,000,000 | 2013 est. |
| 31 | Thailand | $ 400,900,000,000 | 2013 est. |
| 32 | United Arab Emirates | $ 390,000,000,000 | 2013 est. |
| 33 | Colombia | $ 369,200,000,000 | 2013 est. |
| 34 | Venezuela | $ 367,500,000,000 | 2013 est. |
| 35 | South Africa | $ 353,900,000,000 | 2013 est. |
| 36 | Denmark | $ 324,300,000,000 | 2013 est. |
| 37 | Malaysia | $ 312,400,000,000 | 2013 est. |
| 38 | Singapore | $ 295,700,000,000 | 2013 est. |
| 39 | Chile | $ 281,700,000,000 | 2013 est. |
| 40 | Israel | $ 272,700,000,000 | 2013 est. |
| 41 | Philippines | $ 272,200,000,000 | 2013 est. |
| 42 | Hong Kong | $ 272,100,000,000 | 2013 est. |
| 43 | Egypt | $ 262,000,000,000 | 2013 est. |
| 44 | Finland | $ 259,600,000,000 | 2013 est. |
| 45 | Greece | $ 243,300,000,000 | 2013 est. |
| 46 | Pakistan | $ 236,500,000,000 | 2013 est. |
| 47 | Kazakhstan | $ 224,900,000,000 | 2013 est. |
| 48 | Iraq | $ 221,800,000,000 | 2013 est. |
| 49 | Ireland | $ 220,900,000,000 | 2013 est. |
| 50 | Portugal | $ 219,300,000,000 | 2013 est. |
| 51 | Algeria | $ 215,700,000,000 | 2013 est. |
| 52 | Qatar | $ 213,100,000,000 | 2013 est. |
| 53 | Peru | $ 210,300,000,000 | 2013 est. |
| 54 | Czech Republic | $ 194,800,000,000 | 2013 est. |
| 55 | Romania | $ 188,900,000,000 | 2013 est. |
| 56 | New Zealand | $ 181,100,000,000 | 2013 est. |
| 57 | Kuwait | $ 179,500,000,000 | 2013 est. |
| 58 | Ukraine | $ 175,500,000,000 | 2013 est. |
| 59 | Vietnam | $ 170,000,000,000 | 2013 est. |
| 60 | Bangladesh | $ 140,200,000,000 | 2013 est. |
| 61 | Hungary | $ 130,600,000,000 | 2013 est. |
| 62 | Angola | $ 124,000,000,000 | 2013 est. |
| 63 | Morocco | $ 104,800,000,000 | 2013 est. |
| 64 | Slovakia | $ 96,960,000,000 | 2013 est. |
| 65 | Puerto Rico | $ 93,520,000,000 | 2010 est. |
| 66 | Ecuador | $ 91,410,000,000 | 2013 est. |
| 67 | Oman | $ 81,950,000,000 | 2013 est. |
| 68 | Azerbaijan | $ 76,010,000,000 | 2013 est. |
| 69 | Cuba | $ 72,300,000,000 | 2012 est. |
| 70 | Libya | $ 70,920,000,000 | 2013 est. |
| 71 | Belarus | $ 69,240,000,000 | 2013 est. |
| 72 | Sri Lanka | $ 65,120,000,000 | 2013 est. |
