CIA - The World Factbook --  GDP - composition, by end use   

This entry shows who does the spending in an economy: consumers, businesses, government, and foreigners. The distribution gives the percentage contribution to total GDP of household consumption, government consumption, investment in fixed capital, investment in inventories, exports of goods and services, and imports of goods and services, and will total 100 percent of GDP if the data are complete.
| household consumption consists of expenditures by resident households, and by nonprofit institutions that serve households, on goods and services that are consumed by individuals. This includes consumption of both domestically produced and foreign goods and services. |
| government consumption consists of government expenditures on goods and services. These figures exclude government transfer payments, such as interest on debt, unemployment, and social security, since such payments are not made in exchange for goods and services supplied. |
| investment in fixed capital consists of total business spending on fixed assets, such as factories, machinery, equipment, dwellings, and inventories of raw materials, which provide the basis for future production. It is measured gross of the depreciation of the assets, i.e., it includes investment that merely replaces worn-out or scrapped capital. Earlier editions of The World Factbook referred to this concept as Investment (gross fixed) and that data now have been moved to this new field. |
| investment in inventories consists of net changes to the stock of outputs that are still held by the units that produce them, awaiting further sale to an end user, such as automobiles sitting on a dealerâ€™s lot or groceries on the store shelves. This figure may be positive or negative. If the stock of unsold output increases during the relevant time period, investment in inventories is positive, but, if the stock of unsold goods declines, it will be negative. Investment in inventories normally is an early indicator of the state of the economy. If the stock of unsold items increases unexpectedly â€“ because people stop buying - the economy may be entering a recession; but if the stock of unsold items falls - and goods "go flying off the shelves" - businesses normally try to replace those stocks, and the economy is likely to accelerate. |
| exports of goods and services consist of sales, barter, gifts, or grants of goods and services from residents to nonresidents. |
| imports of goods and services consist of purchases, barter, or receipts of gifts, or grants of goods and services by residents from nonresidents. Exports are treated as a positive item, while imports are treated as a negative item. In a purely accounting sense, imports have no direct impact on GDP, which only measures output of the domestic economy. Imports are entered as a negative item to offset the fact that the expenditure figures for consumption, investment, government, and exports also include expenditures on imports. These imports contribute directly to foreign GDP but only indirectly to domestic GDP. Because of this negative offset for imports of goods and services, the sum of the other five items, excluding imports, will always total more than 100 percent of GDP. A surplus of exports of goods and services over imports indicates an economy is investing abroad, while a deficit indicates an economy is borrowing from abroad. |
| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Hong Kong | 224.80 | 2012 est. |
| 2 | Singapore | 200.70 | 2012 est. |
| 3 | Luxembourg | 171.00 | 2012 est. |
| 4 | Sao Tome and Principe | 132.90 | 2012 est. |
| 5 | Liberia | 125.60 | 2011 est. |
| 6 | British Virgin Islands | 111.80 | 2012 est. |
| 7 | Macau | 108.30 | 2012 est. |
| 8 | Ireland | 107.80 | 2012 est. |
| 9 | Tajikistan | 106.60 | 2012 est. |
| 10 | Puerto Rico | 106.40 | 2012 est. |
| 11 | Gaza Strip | 102.80 | 2012 est. |
| 12 | West Bank | 102.80 | 2012 est. |
| 13 | Congo, Republic of the | 102.60 | 2012 est. |
| 14 | Malta | 102.50 | 2012 est. |
| 15 | Seychelles | 101.50 | 2012 est. |
| 16 | Comoros | 99.60 | 2012 est. |
| 17 | Tonga | 97.30 | 2012 est. |
| 18 | Moldova | 97.20 | 2012 est. |
| 19 | Afghanistan | 96.50 | 2011 est. |
| 20 | Slovakia | 95.60 | 2012 est. |
| 21 | United Arab Emirates | 95.20 | 2012 est. |
| 22 | Hungary | 94.80 | 2012 est. |
| 23 | Kosovo | 93.30 | 2011 est. |
| 24 | El Salvador | 93.20 | 2012 est. |
| 25 | Estonia | 92.50 | 2012 est. |
| 26 | Trinidad and Tobago | 92.40 | 2012 est. |
| 27 | Grenada | 91.90 | 2012 est. |
| 28 | Central African Republic | 91.30 | 2012 est. |
| 29 | Lesotho | 90.80 | 2012 est. |
| 30 | Saint Vincent and the Grenadines | 89.70 | 2012 est. |
| 31 | Burundi | 88.90 | 2012 est. |
| 32 | Rwanda | 88.60 | 2012 est. |
| 33 | Armenia | 88.50 | 2012 est. |
| 34 | Montserrat | 88.50 | 2012 est. |
| 35 | Gambia, The | 88.30 | 2012 est. |
| 36 | Netherlands | 88.00 | 2012 est. |
| 37 | Kyrgyzstan | 88.00 | 2012 est. |
| 38 | Puerto Rico | 87.80 | 2012 est. |
| 39 | Albania | 87.30 | 2012 est. |
| 40 | Togo | 87.20 | 2012 est. |
| 41 | Malaysia | 87.10 | 2012 est. |
| 42 | Guinea | 87.00 | 2012 est. |
| 43 | Nicaragua | 86.30 | 2012 est. |
| 44 | Jamaica | 86.20 | 2012 est. |
| 45 | Madagascar | 86.20 | 2012 est. |
| 46 | Vietnam | 86.20 | 2012 est. |
| 47 | Guatemala | 85.80 | 2012 est. |
| 48 | Ethiopia | 85.60 | 2012 est. |
| 49 | Belgium | 84.80 | 2012 est. |
| 50 | Dominican Republic | 84.70 | 2012 est. |
| 51 | Suriname | 84.60 | 2012 est. |
| 52 | Sierra Leone | 84.60 | 2012 est. |
| 53 | Montenegro | 84.40 | 2011 est. |
| 54 | Yemen | 84.30 | 2012 est. |
| 55 | Guyana | 84.20 | 2012 est. |
| 56 | Lithuania | 84.20 | 2012 est. |
| 57 | Equatorial Guinea | 83.70 | 2012 est. |
| 58 | Panama | 83.40 | 2012 est. |
| 59 | Pakistan | 82.50 | 2012 est. |
| 60 | Bosnia and Herzegovina | 82.10 | 2012 est. |
| 61 | Turks and Caicos Islands | 81.80 | 2012 est. |
| 62 | Belarus | 81.60 | 2012 est. |
| 63 | Lebanon | 81.50 | 2012 est. |
| 64 | Brunei | 81.40 | 2012 est. |
| 65 | Uganda | 80.80 | 2012 est. |
| 66 | Burma | 80.80 | 2012 est. |
| 67 | Senegal | 80.50 | 2012 est. |
| 68 | Barbados | 80.20 | 2012 est. |
| 69 | Swaziland | 79.90 | 2012 est. |
| 70 | Kenya | 79.80 | 2012 est. |
| 71 | Timor-Leste | 79.60 | 2012 est. |
| 72 | Egypt | 79.30 | 2012 est. |
| 73 | Serbia | 78.40 | 2012 est. |
| 74 | Czech Republic | 78.00 | 2012 est. |
| 75 | Benin | 77.90 | 2012 est. |
| 76 | Honduras | 77.80 | 2012 est. |
| 77 | Cambodia | 77.10 | 2012 est. |
| 78 | Cote d'Ivoire | 76.80 | 2012 est. |
| 79 | Belize | 76.70 | 2012 est. |
