CIA - The World Factbook --  GDP - composition by sector   

This entry gives the percentage contribution of agriculture, industry, and services to total GDP. Agriculture includes farming, fishing, and forestry. Industry includes mining, manufacturing, energy production, and construction. Services cover government activities, communications, transportation, finance, and all other private economic activities that do not produce material goods. The distribution will total less than 100 percent if the data are incomplete.

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Gibraltar | 100.00 | 2008 est. |
| 2 | Macau | 97.10 | 2009 est. |
| 3 | Jersey | 97.00 | 2005 |
| 4 | Monaco | 95.10 | 2005 |
| 5 | Falkland Islands (Islas Malvinas) | 95.00 | 1996 |
| 6 | Equatorial Guinea | 93.90 | 2010 est. |
| 7 | Hong Kong | 92.50 | 2010 est. |
| 8 | Bermuda | 90.80 | 2010 est. |
| 9 | Bahamas, The | 90.40 | 2010 est. |
| 10 | British Virgin Islands | 88.50 | 2010 est. |
| 11 | Guernsey | 87.00 | 2000 |
| 12 | Luxembourg | 86.00 | 2007 est. |
| 13 | Isle of Man | 86.00 | 2000 est. |
| 14 | Saint Martin | 84.00 | 2000 |
| 15 | Curacao | 83.80 | 2010 est. |
| 16 | Barbados | 82.60 | 2010 est. |
| 17 | West Bank | 82.60 | 2010 est. |
| 18 | Palau | 81.80 | 2003 |
| 19 | Cyprus | 81.30 | 2010 est. |
| 20 | Sint Maarten | 81.30 | 2008 est. |
| 21 | Malta | 80.90 | 2010 est. |
| 22 | Djibouti | 80.00 | 2010 est. |
| 23 | Virgin Islands | 80.00 | 2003 est. |
| 24 | France | 79.70 | 2010 est. |
| 25 | Lebanon | 79.40 | 2010 est. |
| 26 | Seychelles | 79.10 | 2010 est. |
| 27 | Greece | 78.80 | 2010 est. |
| 28 | Panama | 78.70 | 2010 est. |
| 29 | Cook Islands | 78.50 | 2008 est. |
| 30 | United Kingdom | 77.60 | 2010 est. |
| 31 | Maldives | 77.50 | 2009 est. |
| 32 | Belgium | 77.40 | 2010 est. |
| 33 | Liberia | 76.90 | 2002 est. |
| 34 | Denmark | 76.70 | 2010 est. |
| 35 | Saint Lucia | 76.70 | 2010 est. |
| 36 | United States | 76.60 | 2010 est. |
| 37 | French Polynesia | 76.10 | 2005 |
| 38 | Montserrat | 75.60 | 2010 est. |
| 39 | Samoa | 75.30 | 2004 est. |
| 40 | Turks and Caicos Islands | 75.20 | NA |
| 41 | Cape Verde | 75.10 | 2010 est. |
| 42 | Portugal | 74.70 | 2010 est. |
| 43 | Saint Kitts and Nevis | 74.60 | 2010 est. |
| 44 | Latvia | 74.40 | 2010 est. |
| 45 | Cuba | 74.20 | 2010 est. |
| 46 | Japan | 73.80 | 2010 est. |
| 47 | European Union | 73.20 | 2010 est. |
| 48 | Congo, Republic of the | 73.00 | 2010 est. |
| 49 | Netherlands | 72.90 | 2010 est. |
| 50 | Italy | 72.80 | 2010 est. |
| 51 | Brunei | 72.10 | 2010 est. |
| 52 | Qatar | 71.80 | 2010 est. |
| 53 | Singapore | 71.70 | 2010 est. |
| 54 | Switzerland | 71.50 | 2010 est. |
| 55 | Canada | 71.50 | 2010 est. |
| 56 | Sweden | 71.50 | 2010 est. |
| 57 | New Caledonia | 71.40 | 2010 est. |
| 58 | Anguilla | 71.30 | 2010 est. |
| 59 | Mauritius | 71.30 | 2010 est. |
| 60 | Germany | 71.30 | 2010 est. |
| 61 | Costa Rica | 71.00 | 2010 est. |
| 62 | New Zealand | 71.00 | 2010 est. |
| 63 | Spain | 70.70 | 2010 est. |
| 64 | Australia | 70.60 | 2010 est. |
| 65 | Ireland | 70.00 | 2009 est. |
| 66 | Turkmenistan | 69.90 | 2010 est. |
| 67 | Iceland | 69.80 | 2010 est. |
| 68 | Uruguay | 69.40 | 2010 est. |
| 69 | Austria | 69.20 | 2010 est. |
| 70 | Croatia | 68.80 | 2010 est. |
| 71 | Lithuania | 68.70 | 2010 est. |
| 72 | Vanuatu | 68.30 | 2010 est. |
| 73 | Estonia | 68.20 | 2010 est. |
| 74 | Finland | 68.10 | 2010 est. |
| 75 | Taiwan | 67.50 | 2010 est. |
| 76 | Brazil | 67.40 | 2010 est. |
| 77 | Saint Vincent and the Grenadines | 66.90 | 2010 est. |
| 78 | Kiribati | 66.80 | 2004 |
| 79 | South Africa | 66.80 | 2010 est. |
| 80 | Libya | 66.70 | 2010 est. |
| 81 | Slovenia | 66.40 | 2010 est. |
| 82 | Aruba | 66.30 | 2002 est. |
| 83 | Angola | 65.80 | 2008 est. |
| 84 | Azerbaijan | 65.40 | 2010 est. |
| 85 | Jordan | 65.30 | 2010 est. |
| 86 | Serbia | 65.20 | 2010 est. |
| 87 | Israel | 65.00 | 2010 est. |
| 88 | Suriname | 64.80 | 2005 est. |
| 89 | Dominican Republic | 64.60 | 2010 est. |
| 90 | Bulgaria | 64.60 | 2010 est. |
| 91 | Kosovo | 64.50 | 2009 est. |
| 92 | Jamaica | 64.30 | 2010 est. |
| 93 | Bosnia and Herzegovina | 64.30 | 2010 est. |
| 94 | Turkey | 63.80 | 2010 est. |
| 95 | Moldova | 63.80 | 2010 est. |
| 96 | Mexico | 63.50 | 2010 est. |
| 97 | Poland | 63.50 | 2010 est. |
| 98 | Greenland | 63.20 | 2007 est. |
| 99 | Guatemala | 63.00 | 2010 est. |
| 100 | Antigua and Barbuda | 62.90 | 2010 est. |
| 101 | Eritrea | 62.60 | 2010 est. |
| 102 | Senegal | 62.40 | 2010 est. |
| 103 | Solomon Islands | 62.00 | 2010 est. |
| 104 | Kenya | 62.00 | 2010 est. |
| 105 | Saudi Arabia | 61.80 | 2010 est. |
| 106 | Tonga | 61.70 | 2010 est. |
| 107 | Sao Tome and Principe | 61.60 | 2010 est. |
| 108 | Algeria | 61.60 | 2010 est. |
| 109 | Slovakia | 61.40 | 2010 est. |
| 110 | Grenada | 61.00 | 2010 est. |
| 111 | Georgia | 60.90 | 2010 est. |
| 112 | Honduras | 60.90 | 2010 est. |
| 113 | Hungary | 60.70 | 2010 est. |
| 114 | San Marino | 60.70 | 2009 |
| 115 | Albania | 60.50 | 2010 est. |
| 116 | Iraq | 60.50 | 2010 est. |
| 117 | Somalia | 60.20 | 2008 est. |
| 118 | Venezuela | 60.00 | 2010 est. |
| 119 | Czech Republic | 60.00 | 2010 est. |
| 120 | Argentina | 59.80 | 2010 est. |
| 121 | Fiji | 59.50 | 2010 est. |
| 122 | Russia | 59.10 | 2010 est. |
| 123 | Haiti | 59.00 | 2010 est. |
| 124 | Trinidad and Tobago | 58.80 | 2010 est. |
| 125 | Macedonia | 58.50 | 2010 est. |
| 126 | Namibia | 58.40 | 2010 est. |
| 127 | Belize | 58.20 | 2010 est. |
| 128 | Korea, South | 58.20 | 2010 est. |
| 129 | Tajikistan | 58.10 | 2010 est. |
| 130 | Benin | 58.10 | 2010 est. |
| 131 | Norway | 58.10 | 2010 est. |
| 132 | Bahrain | 58.00 | 2010 est. |
| 133 | Liechtenstein | 58.00 | 2008 |
| 134 | El Salvador | 57.90 | 2010 est. |
| 135 | Sri Lanka | 57.80 | 2010 est. |
| 136 | Ecuador | 57.70 | 2010 est. |
| 137 | Lesotho | 57.70 | 2010 est. |
| 138 | Ukraine | 57.00 | 2010 est. |
| 139 | Gambia, The | 56.40 | 2010 est. |
| 140 | Tuvalu | 56.20 | 2002 |
| 141 | Dominica | 56.10 | 2010 est. |
| 142 | Micronesia, Federated States of | 55.90 | 2004 est. |
| 143 | Syria | 55.70 | 2010 est. |
| 144 | Zimbabwe | 55.70 | 2010 est. |
| 145 | Nicaragua | 55.60 | 2010 est. |
| 146 | United Arab Emirates | 55.50 | 2010 est. |
| 147 | Guinea-Bissau | 55.20 | 2010 est. |
| 148 | Philippines | 55.10 | 2010 est. |
| 149 | Faroe Islands | 55.00 | 2007 est. |
