CIA - The World Factbook --  GDP - composition, by sector of origin   

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Gibraltar | 100.00 | 2008 est. |
| 2 | Jersey | 96.00 | 2010 |
| 3 | Falkland Islands (Islas Malvinas) | 95.00 | 1996 |
| 4 | Northern Mariana Islands | 95.00 | 2010 |
| 5 | Macau | 93.50 | 2013 est. |
| 6 | Bermuda | 93.50 | 2013 est. |
| 7 | Hong Kong | 93.00 | 2013 est. |
| 8 | Bahamas, The | 90.80 | 2013 est. |
| 9 | Monaco | 90.00 | 2011 |
| 10 | Isle of Man | 88.00 | FY08/09 est. |
| 11 | Montenegro | 87.90 | 2011 |
| 12 | Equatorial Guinea | 87.30 | 2013 est. |
| 13 | British Virgin Islands | 87.20 | 2013 est. |
| 14 | Guernsey | 87.00 | 2000 |
| 15 | Luxembourg | 86.40 | 2013 est. |
| 16 | Saint Martin | 84.00 | 2000 |
| 17 | Curacao | 83.80 | 2012 est. |
| 18 | Barbados | 83.00 | 2013 est. |
| 19 | Saint Pierre and Miquelon | 83.00 | 2006 est. |
| 20 | Cook Islands | 82.10 | 2010 est. |
| 21 | Cyprus | 81.70 | 2013 est. |
| 22 | Timor-Leste | 81.60 | 2013 est. |
| 23 | Antigua and Barbuda | 81.40 | 2013 est. |
| 24 | Sint Maarten | 81.30 | 2008 est. |
| 25 | Greece | 80.50 | 2013 est. |
| 26 | Virgin Islands | 80.00 | 2003 est. |
| 27 | Maldives | 80.00 | 2012 est. |
| 28 | Djibouti | 79.70 | 2013 est. |
| 29 | Saint Lucia | 79.50 | 2013 est. |
| 30 | United States | 79.40 | 2013 est. |
| 31 | Seychelles | 79.40 | 2013 est. |
| 32 | France | 79.40 | 2013 est. |
| 33 | Andorra | 79.00 | 2011 est. |
| 34 | United Kingdom | 78.90 | 2013 est. |
| 35 | Grenada | 78.50 | 2013 est. |
| 36 | Panama | 78.40 | 2013 est. |
| 37 | West Bank | 77.90 | 2012 est. |
| 38 | Liberia | 76.90 | 2002 est. |
| 39 | French Polynesia | 76.90 | 2006 |
| 40 | Denmark | 76.80 | 2013 est. |
| 41 | Palau | 76.80 | 2012 est. |
| 42 | Belgium | 76.60 | 2013 est. |
| 43 | Turks and Caicos Islands | 76.50 | 2013 est. |
| 44 | Lebanon | 75.40 | 2013 est. |
| 45 | Portugal | 75.20 | 2013 est. |
| 46 | Montserrat | 75.10 | 2013 est. |
| 47 | Saint Kitts and Nevis | 75.10 | 2013 est. |
| 48 | Saint Vincent and the Grenadines | 74.40 | 2013 est. |
| 49 | Micronesia, Federated States of | 74.00 | 2011 est. |
| 50 | Congo, Republic of the | 73.90 | 2013 est. |
| 51 | Cuba | 73.90 | 2013 est. |
| 52 | Anguilla | 73.80 | 2013 est. |
| 53 | Italy | 73.50 | 2013 est. |
| 54 | Mauritius | 73.40 | 2013 est. |
| 55 | Malta | 73.30 | 2013 est. |
| 56 | Japan | 73.20 | 2013 est. |
| 57 | European Union | 72.80 | 2013 est. |
| 58 | Switzerland | 72.50 | 2013 est. |
| 59 | Costa Rica | 72.50 | 2013 est. |
| 60 | Cayman Islands | 72.30 | 2013 est. |
| 61 | Qatar | 72.20 | 2013 est. |
| 62 | Netherlands | 72.10 | 2013 est. |
| 63 | Cabo Verde | 71.90 | 2013 est. |
| 64 | Finland | 71.90 | 2013 est. |
| 65 | Marshall Islands | 71.80 | 2011 est. |
| 66 | Iceland | 71.20 | 2013 est. |
| 67 | Uruguay | 71.00 | 2013 est. |
| 68 | Brunei | 70.90 | 2013 est. |
| 69 | Spain | 70.80 | 2013 est. |
| 70 | Singapore | 70.60 | 2013 est. |
| 71 | Ireland | 70.40 | 2013 est. |
| 72 | Fiji | 70.20 | 2013 est. |
| 73 | Georgia | 69.90 | 2013 est. |
| 74 | Canada | 69.90 | 2013 est. |
| 75 | Austria | 69.80 | 2013 est. |
| 76 | New Zealand | 69.50 | 2013 est. |
| 77 | Latvia | 69.40 | 2013 est. |
| 78 | Croatia | 69.20 | 2013 est. |
| 79 | Germany | 69.00 | 2013 est. |
| 80 | Australia | 68.70 | 2013 est. |
| 81 | Hungary | 68.70 | 2013 est. |
| 82 | Dominica | 68.70 | 2013 est. |
| 83 | Taiwan | 68.60 | 2013 est. |
| 84 | Albania | 68.50 | 2011 est. |
| 85 | Turkmenistan | 68.40 | 2013 est. |
| 86 | South Africa | 68.40 | 2013 est. |
| 87 | Slovenia | 68.30 | 2013 est. |
| 88 | Brazil | 68.10 | 2013 est. |
| 89 | Lithuania | 68.00 | 2013 est. |
| 90 | Vanuatu | 67.90 | 2013 est. |
| 91 | New Caledonia | 67.90 | 2013 est. |
| 92 | Kiribati | 67.80 | 2010 est. |
| 93 | Gambia, The | 67.70 | 2013 est. |
| 94 | Jordan | 67.00 | 2013 est. |
| 95 | Greenland | 67.00 | 2009 est. |
| 96 | Sweden | 66.80 | 2013 est. |
| 97 | Sao Tome and Principe | 66.80 | 2013 est. |
| 98 | Israel | 66.40 | 2013 est. |
| 99 | Aruba | 66.30 | 2002 est. |
| 100 | Estonia | 66.20 | 2013 est. |
| 101 | Moldova | 66.20 | 2013 est. |
| 102 | Bosnia and Herzegovina | 65.50 | 2013 est. |
| 103 | Dominican Republic | 64.90 | 2013 est. |
| 104 | Iraq | 64.60 | 2013 est. |
| 105 | Kosovo | 64.50 | 2009 est. |
| 106 | Oman | 64.40 | 2013 est. |
| 107 | Jamaica | 64.10 | 2013 est. |
| 108 | Samoa | 64.00 | 2013 est. |
| 109 | Belize | 64.00 | 2012 est. |
| 110 | Gabon | 63.90 | 2013 est. |
| 111 | Turkey | 63.80 | 2013 est. |
| 112 | Bulgaria | 63.00 | 2013 est. |
| 113 | Azerbaijan | 63.00 | 2013 est. |
| 114 | Guatemala | 62.70 | 2013 est. |
| 115 | Poland | 62.70 | 2013 est. |
| 116 | Namibia | 62.60 | 2013 est. |
| 117 | Algeria | 62.60 | 2013 est. |
| 118 | Saudi Arabia | 62.50 | 2013 est. |
| 119 | Botswana | 62.40 | 2013 est. |
| 120 | Senegal | 62.40 | 2013 est. |
| 121 | Macedonia | 62.30 | 2013 est. |
| 122 | Paraguay | 61.90 | 2013 est. |
| 123 | Angola | 61.40 | 2011 est. |
| 124 | Yemen | 61.40 | 2013 est. |
| 125 | Eritrea | 61.40 | 2013 est. |
| 126 | United Arab Emirates | 61.10 | 2013 est. |
| 127 | Argentina | 61.00 | 2013 est. |
| 128 | Tunisia | 61.00 | 2013 est. |
| 129 | Chile | 61.00 | 2013 est. |
| 130 | Nauru | 60.80 | 2009 est. |
| 131 | Venezuela | 60.80 | 2013 est. |
| 132 | San Marino | 60.70 | 2009 |
| 133 | Ukraine | 60.50 | 2013 est. |
| 134 | Czech Republic | 60.30 | 2012 est. |
| 135 | Serbia | 60.30 | 2013 est. |
| 136 | Syria | 60.20 | 2013 est. |
| 137 | El Salvador | 60.10 | 2013 est. |
| 138 | Mexico | 59.80 | 2013 est. |
| 139 | Romania | 59.40 | 2013 est. |
| 140 | Somalia | 59.30 | 2012 est. |
| 141 | Ecuador | 59.00 | 2013 est. |
| 142 | Libya | 58.30 | 2013 est. |
| 143 | Russia | 58.30 | 2013 est. |
| 144 | Korea, South | 58.20 | 2013 est. |
| 145 | Lesotho | 58.20 | 2013 est. |
| 146 | Guinea-Bissau | 58.00 | 2013 est. |
| 147 | Honduras | 57.80 | 2013 est. |
| 148 | Trinidad and Tobago | 57.70 | 2013 est. |
| 149 | Nicaragua | 57.50 | 2013 est. |
| 150 | Philippines | 57.20 | 2013 est. |
| 151 | Tonga | 57.20 | 2013 est. |
| 152 | Sri Lanka | 57.00 | 2013 est. |
| 153 | India | 56.90 | 2013 est. |
| 154 | Kazakhstan | 56.90 | 2011 est. |
