CIA - The World Factbook --  GDP - per capita (PPP)   

This entry shows GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | country | GDP - per capita (PPP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Qatar | $ 145,300 | 2010 est. |
| 2 | Liechtenstein | $ 122,100 | 2007 est. |
| 3 | Luxembourg | $ 81,800 | 2010 est. |
| 4 | Bermuda | $ 69,900 | 2004 est. |
| 5 | Singapore | $ 62,200 | 2010 est. |
| 6 | Norway | $ 59,100 | 2010 est. |
| 7 | Jersey | $ 57,000 | 2005 est. |
| 8 | Kuwait | $ 51,700 | 2010 est. |
| 9 | Brunei | $ 50,300 | 2010 est. |
| 10 | United States | $ 47,400 | 2010 est. |
| 11 | Hong Kong | $ 45,600 | 2010 est. |
| 12 | Andorra | $ 44,900 | 2008 |
| 13 | Guernsey | $ 44,600 | 2005 |
| 14 | Cayman Islands | $ 43,800 | 2004 est. |
| 15 | Switzerland | $ 42,900 | 2010 est. |
| 16 | San Marino | $ 41,900 | 2007 |
| 17 | Australia | $ 41,300 | 2010 est. |
| 18 | Netherlands | $ 40,500 | 2010 est. |
| 19 | Bahrain | $ 40,400 | 2010 est. |
| 20 | Austria | $ 40,300 | 2010 est. |
| 21 | United Arab Emirates | $ 40,200 | 2010 est. |
| 22 | Canada | $ 39,600 | 2010 est. |
| 23 | Sweden | $ 39,000 | 2010 est. |
| 24 | British Virgin Islands | $ 38,500 | 2004 est. |
| 25 | Gibraltar | $ 38,400 | 2006 est. |
| 26 | Iceland | $ 38,400 | 2010 est. |
| 27 | Belgium | $ 37,900 | 2010 est. |
| 28 | Equatorial Guinea | $ 37,900 | 2010 est. |
| 29 | Ireland | $ 37,600 | 2010 est. |
| 30 | Denmark | $ 37,000 | 2010 est. |
| 31 | Germany | $ 35,900 | 2010 est. |
| 32 | Greenland | $ 35,900 | 2007 est. |
| 33 | Falkland Islands (Islas Malvinas) | $ 35,400 | 2002 est. |
| 34 | Finland | $ 35,300 | 2010 est. |
| 35 | United Kingdom | $ 35,100 | 2010 est. |
| 36 | Taiwan | $ 35,100 | 2010 est. |
| 37 | Isle of Man | $ 35,000 | 2005 est. |
| 38 | Japan | $ 34,200 | 2010 est. |
| 39 | Faroe Islands | $ 34,000 | 2008 est. |
| 40 | France | $ 33,300 | 2010 est. |
| 41 | Macau | $ 33,000 | 2009 |
| 42 | European Union | $ 32,900 | 2010 est. |
| 43 | Italy | $ 30,700 | 2010 est. |
| 44 | Greece | $ 30,200 | 2010 est. |
| 45 | Korea, South | $ 30,200 | 2010 est. |
| 46 | Monaco | $ 30,000 | 2006 est. |
| 47 | Israel | $ 29,500 | 2010 est. |
| 48 | Spain | $ 29,500 | 2010 est. |
| 49 | Bahamas, The | $ 28,600 | 2010 est. |
| 50 | Slovenia | $ 28,400 | 2010 est. |
| 51 | New Zealand | $ 28,000 | 2010 est. |
| 52 | Oman | $ 25,800 | 2010 est. |
| 53 | Czech Republic | $ 25,600 | 2010 est. |
| 54 | Malta | $ 25,100 | 2010 est. |
| 55 | Saudi Arabia | $ 24,200 | 2010 est. |
