CIA - The World Factbook --  GDP - PER CAPITA (PPP)

GDP - per capita (PPP) compares GDP on a purchasing power parity basis divided by population as of 1 July for the same year.

| Rank | Country | GDP - PER CAPITA (PPP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Qatar | $132,900 | 2015 est. |
| 2 | Macau | $101,300 | 2015 est. |
| 3 | Luxembourg | $99,500 | 2015 est. |
| 4 | Liechtenstein | $89,400 | 2009 est. |
| 5 | Bermuda | $85,700 | 2013 est. |
| 6 | Singapore | $85,400 | 2015 est. |
| 7 | Isle of Man | $83,100 | 2007 est. |
| 8 | Brunei | $79,500 | 2015 est. |
| 9 | Monaco | $78,700 | 2013 est. |
| 10 | Kuwait | $70,500 | 2015 est. |
| 11 | Norway | $68,600 | 2015 est. |
| 12 | United Arab Emirates | $67,200 | 2015 est. |
| 13 | Sint Maarten | $66,800 | 2014 est. |
| 14 | Ireland | $65,800 | 2015 est. |
| 15 | San Marino | $63,800 | 2015 est. |
| 16 | Switzerland | $58,600 | 2015 est. |
| 17 | Jersey | $57,000 | 2005 est. |
| 18 | Hong Kong | $56,900 | 2015 est. |
| 19 | United States | $56,100 | 2015 est. |
| 20 | Falkland Islands (Islas Malvinas) | $55,400 | 2002 est. |
| 21 | Saudi Arabia | $53,800 | 2015 est. |
| 22 | Guernsey | $52,300 | 2014 est. |
| 23 | Bahrain | $49,600 | 2015 est. |
| 24 | Netherlands | $49,600 | 2015 est. |
| 25 | Sweden | $48,200 | 2015 est. |
| 26 | Australia | $47,600 | 2015 est. |
| 27 | Austria | $47,000 | 2015 est. |
| 28 | Germany | $47,000 | 2015 est. |
| 29 | Taiwan | $46,800 | 2015 est. |
| 30 | Denmark | $45,700 | 2015 est. |
| 31 | Canada | $45,600 | 2015 est. |
| 32 | Iceland | $45,600 | 2015 est. |
| 33 | Belgium | $44,100 | 2015 est. |
| 34 | Cayman Islands | $43,800 | 2004 est. |
| 35 | Oman | $43,700 | 2015 est. |
| 36 | Equatorial Guinea | $43,500 | 2015 est. |
| 37 | Gibraltar | $43,000 | 2008 est. |
| 38 | British Virgin Islands | $42,300 | 2010 est. |
| 39 | France | $41,500 | 2015 est. |
| 40 | United Kingdom | $41,500 | 2015 est. |
| 41 | Finland | $41,100 | 2015 est. |
| 42 | New Caledonia | $38,800 | 2012 est. |
| 43 | Japan | $38,100 | 2015 est. |
| 44 | Puerto Rico | $37,900 | 2015 est. |
| 45 | Greenland | $37,900 | 2008 est. |
| 46 | European Union | $37,800 | 2015 est. |
| 47 | Andorra | $37,200 | 2011 est. |
| 48 | Faroe Islands | $36,600 | 2014 est. |
| 49 | Korea, South | $36,600 | 2015 est. |
| 50 | Virgin Islands | $36,100 | 2013 est. |
| 51 | New Zealand | $36,100 | 2015 est. |
| 52 | Malta | $36,100 | 2015 est. |
| 53 | Italy | $35,800 | 2015 est. |
| 54 | Spain | $34,900 | 2015 est. |
| 55 | Saint Pierre and Miquelon | $34,900 | 2006 est. |
| 56 | Israel | $34,100 | 2015 est. |
| 57 | Cyprus | $33,200 | 2015 est. |
| 58 | Trinidad and Tobago | $32,600 | 2015 est. |
| 59 | Czechia | $32,100 | 2015 est. |
| 60 | Slovenia | $30,900 | 2015 est. |
| 61 | Guam | $30,500 | 2013 est. |
| 62 | Slovakia | $29,800 | 2015 est. |
| 63 | Turks and Caicos Islands | $29,100 | 2007 est. |
| 64 | Estonia | $28,700 | 2015 est. |
| 65 | Lithuania | $28,400 | 2015 est. |
| 66 | Portugal | $27,900 | 2015 est. |
| 67 | Seychelles | $26,700 | 2015 est. |
| 68 | Poland | $26,500 | 2015 est. |
| 69 | Greece | $26,400 | 2015 est. |
