CIA - The World Factbook --  GDP - real growth rate   

This entry gives GDP growth on an annual basis adjusted for inflation and expressed as a percent.

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Qatar | 19.40 | 2010 est. |
| 2 | Singapore | 14.60 | 2010 est. |
| 3 | Turkmenistan | 11.00 | 2010 est. |
| 4 | Congo, Republic of the | 10.50 | 2010 est. |
| 5 | China | 10.30 | 2010 est. |
| 6 | Afghanistan | 8.90 | 2010 est. |
| 7 | India | 8.30 | 2010 est. |
| 8 | Mozambique | 8.30 | 2010 est. |
| 9 | Taiwan | 8.30 | 2010 est. |
| 10 | Uzbekistan | 8.20 | 2010 est. |
| 11 | Timor-Leste | 8.00 | 2010 est. |
| 12 | Peru | 7.80 | 2010 est. |
| 13 | Thailand | 7.60 | 2010 est. |
| 14 | Argentina | 7.50 | 2010 est. |
| 15 | Brazil | 7.50 | 2010 est. |
| 16 | Turkey | 7.30 | 2010 est. |
| 17 | Lebanon | 7.20 | 2010 est. |
| 18 | Malaysia | 7.10 | 2010 est. |
| 19 | Uruguay | 7.10 | 2010 est. |
| 20 | Ethiopia | 7.00 | 2010 est. |
| 21 | Zambia | 7.00 | 2010 est. |
| 22 | West Bank | 7.00 | 2009 est. |
| 23 | Mongolia | 7.00 | 2010 est. |
| 24 | Laos | 7.00 | 2010 est. |
| 25 | Sri Lanka | 6.90 | 2010 est. |
| 26 | Bhutan | 6.80 | 2010 est. |
| 27 | Nigeria | 6.80 | 2010 est. |
| 28 | Vietnam | 6.80 | 2010 est. |
| 29 | Philippines | 6.70 | 2010 est. |
| 30 | Malawi | 6.50 | 2010 est. |
| 31 | Paraguay | 6.50 | 2010 est. |
| 32 | Tanzania | 6.40 | 2010 est. |
| 33 | Niue | 6.20 | 2003 est. |
| 34 | Papua New Guinea | 6.20 | 2010 est. |
| 35 | Korea, South | 6.10 | 2010 est. |
| 36 | Bangladesh | 6.00 | 2010 est. |
| 37 | Sao Tome and Principe | 6.00 | 2010 est. |
| 38 | Rwanda | 6.00 | 2010 est. |
| 39 | Indonesia | 6.00 | 2010 est. |
| 40 | Liberia | 6.00 | 2010 est. |
| 41 | Angola | 5.90 | 2010 est. |
| 42 | Uganda | 5.80 | 2010 est. |
| 43 | Hong Kong | 5.70 | 2010 est. |
| 44 | Georgia | 5.50 | 2010 est. |
| 45 | Tajikistan | 5.50 | 2010 est. |
| 46 | Iraq | 5.50 | 2010 est. |
| 47 | Gabon | 5.40 | 2010 est. |
| 48 | Chile | 5.30 | 2010 est. |
| 49 | Egypt | 5.30 | 2010 est. |
| 50 | Burkina Faso | 5.20 | 2010 est. |
| 51 | Isle of Man | 5.20 | 2005 |
| 52 | Yemen | 5.20 | 2010 est. |
| 53 | Sudan | 5.20 | 2010 est. |
| 54 | Sierra Leone | 5.20 | 2010 est. |
| 55 | Mali | 5.20 | 2010 est. |
| 56 | Panama | 5.10 | 2010 est. |
| 57 | Gambia, The | 5.00 | 2010 est. |
| 58 | Mauritania | 5.00 | 2010 est. |
| 59 | Mexico | 5.00 | 2010 est. |
| 60 | Kazakhstan | 4.90 | 2010 est. |
| 61 | Turks and Caicos Islands | 4.90 | 2000 est. |
| 62 | Belarus | 4.80 | 2010 est. |
| 63 | Djibouti | 4.80 | 2010 est. |
| 64 | Armenia | 4.70 | 2010 est. |
| 65 | Ghana | 4.70 | 2010 est. |
| 66 | World | 4.60 | 2010 est. |
| 67 | Bermuda | 4.60 | 2004 est. |
| 68 | Cape Verde | 4.50 | 2010 est. |
| 69 | Colombia | 4.40 | 2010 est. |
| 70 | San Marino | 4.30 | 2007 est. |
| 71 | Ukraine | 4.30 | 2010 est. |
| 72 | Dominican Republic | 4.20 | 2010 est. |
| 73 | Morocco | 4.20 | 2010 est. |
| 74 | Algeria | 4.10 | 2010 est. |
| 75 | Namibia | 4.10 | 2010 est. |
| 76 | Vanuatu | 4.10 | 2010 est. |
| 77 | Sweden | 4.10 | 2010 est. |
| 78 | Cambodia | 4.10 | 2010 est. |
| 79 | Zimbabwe | 4.10 | 2010 est. |
| 80 | Eritrea | 4.00 | 2010 est. |
| 81 | Kenya | 4.00 | 2010 est. |
| 82 | Slovakia | 4.00 | 2010 est. |
| 83 | Syria | 4.00 | 2010 est. |
| 84 | Bahrain | 3.90 | 2010 est. |
| 85 | Burundi | 3.90 | 2010 est. |
| 86 | Senegal | 3.90 | 2010 est. |
| 87 | Bolivia | 3.80 | 2010 est. |
| 88 | Russia | 3.80 | 2010 est. |
| 89 | Saudi Arabia | 3.80 | 2010 est. |
| 90 | Azerbaijan | 3.70 | 2010 est. |
| 91 | Gibraltar | 3.70 | 2006 |
| 92 | Central African Republic | 3.70 | 2010 est. |
| 93 | Cote d'Ivoire | 3.60 | 2010 est. |
| 94 | Mauritius | 3.60 | 2010 est. |
| 95 | Oman | 3.60 | 2010 est. |
| 96 | Costa Rica | 3.50 | 2010 est. |
| 97 | Lesotho | 3.50 | 2010 est. |
| 98 | Curacao | 3.50 | 2008 |
| 99 | Suriname | 3.50 | 2010 est. |
| 100 | Seychelles | 3.50 | 2010 est. |
| 101 | Niger | 3.50 | 2010 est. |
| 102 | Nepal | 3.50 | 2010 est. |
| 103 | Israel | 3.40 | 2010 est. |
| 104 | Tunisia | 3.40 | 2010 est. |
| 105 | Maldives | 3.40 | 2010 est. |
| 106 | Australia | 3.30 | 2010 est. |
| 107 | Togo | 3.30 | 2010 est. |
| 108 | Poland | 3.30 | 2010 est. |
| 109 | Germany | 3.30 | 2010 est. |
| 110 | Libya | 3.30 | 2010 est. |
| 111 | Jordan | 3.20 | 2010 est. |
| 112 | Luxembourg | 3.20 | 2010 est. |
| 113 | Kuwait | 3.20 | 2010 est. |
| 114 | Albania | 3.10 | 2010 est. |
| 115 | Moldova | 3.10 | 2010 est. |
| 116 | Liechtenstein | 3.10 | 2007 est. |
| 117 | Burma | 3.10 | 2010 est. |
| 118 | Botswana | 3.10 | 2010 est. |
| 119 | American Samoa | 3.00 | 2003 |
| 120 | Congo, Democratic Republic of the | 3.00 | 2010 est. |
| 121 | Guernsey | 3.00 | 2005 est. |
| 122 | Iran | 3.00 | 2010 est. |
| 123 | Tuvalu | 3.00 | 2006 est. |
| 124 | South Africa | 3.00 | 2010 est. |
| 125 | Japan | 3.00 | 2010 est. |
| 126 | Guinea | 3.00 | 2010 est. |
| 127 | Benin | 3.00 | 2010 est. |
| 128 | Canada | 3.00 | 2010 est. |
| 129 | Cameroon | 2.80 | 2010 est. |
| 130 | Nicaragua | 2.80 | 2010 est. |
| 131 | Solomon Islands | 2.80 | 2010 est. |
| 132 | Switzerland | 2.80 | 2010 est. |
| 133 | United States | 2.80 | 2010 est. |
| 134 | French Polynesia | 2.70 | 2005 |
| 135 | Pakistan | 2.70 | 2010 est. |
| 136 | Andorra | 2.60 | 2008 est. |
| 137 | United Arab Emirates | 2.60 | 2010 est. |
| 138 | Somalia | 2.60 | 2010 est. |
| 139 | Guyana | 2.50 | 2010 est. |
| 140 | Honduras | 2.50 | 2010 est. |
| 141 | Aruba | 2.40 | 2005 est. |
| 142 | Ecuador | 2.40 | 2010 est. |
