CIA - The World Factbook --  GDP - real growth rate   

This entry gives GDP growth on an annual basis adjusted for inflation and expressed as a percent. The growth rates are year-over-year, and not compounded.

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Libya | 104.50 | 2012 est. |
| 2 | Sierra Leone | 15.20 | 2012 est. |
| 3 | Afghanistan | 12.50 | 2012 est. |
| 4 | Mongolia | 12.30 | 2012 est. |
| 5 | Turks and Caicos Islands | 11.20 | 2007 est. |
| 6 | Niger | 11.20 | 2012 est. |
| 7 | Turkmenistan | 11.10 | 2012 est. |
| 8 | Panama | 10.70 | 2012 est. |
| 9 | Macau | 10.00 | 2012 est. |
| 10 | Cote d'Ivoire | 9.80 | 2012 est. |
| 11 | Bhutan | 9.20 | 2012 est. |
| 12 | Burkina Faso | 9.00 | 2012 est. |
| 13 | Chad | 8.90 | 2012 est. |
| 14 | Ethiopia | 8.50 | 2012 est. |
| 15 | Iraq | 8.40 | 2012 est. |
| 16 | Timor-Leste | 8.30 | 2012 est. |
| 17 | Liberia | 8.30 | 2012 est. |
| 18 | Uzbekistan | 8.20 | 2012 est. |
| 19 | Papua New Guinea | 8.10 | 2012 est. |
| 20 | Rwanda | 8.00 | 2012 est. |
| 21 | Ghana | 7.90 | 2012 est. |
| 22 | Laos | 7.90 | 2012 est. |
| 23 | China | 7.70 | 2012 est. |
| 24 | Tajikistan | 7.50 | 2012 est. |
| 25 | Mozambique | 7.40 | 2012 est. |
| 26 | Cambodia | 7.30 | 2012 est. |
| 27 | Armenia | 7.20 | 2012 est. |
| 28 | Zambia | 7.20 | 2012 est. |
| 29 | Congo, Democratic Republic of the | 7.20 | 2012 est. |
| 30 | Eritrea | 7.00 | 2012 est. |
| 31 | Mauritania | 6.90 | 2012 est. |
| 32 | Tanzania | 6.90 | 2012 est. |
| 33 | Philippines | 6.80 | 2012 est. |
| 34 | Nigeria | 6.60 | 2012 est. |
| 35 | Thailand | 6.50 | 2012 est. |
| 36 | Sri Lanka | 6.40 | 2012 est. |
| 37 | Burma | 6.40 | 2012 est. |
| 38 | Peru | 6.30 | 2012 est. |
| 39 | Palau | 6.30 | 2012 est. |
| 40 | Indonesia | 6.20 | 2012 est. |
| 41 | Kuwait | 6.20 | 2012 est. |
| 42 | Qatar | 6.20 | 2012 est. |
| 43 | Niue | 6.20 | 2003 est. |
| 44 | Georgia | 6.10 | 2012 est. |
| 45 | Bangladesh | 6.10 | 2012 est. |
| 46 | Gibraltar | 6.00 | 2008 |
| 47 | West Bank | 5.70 | 2011 est. |
| 48 | Latvia | 5.60 | 2012 est. |
| 49 | Gabon | 5.60 | 2012 est. |
| 50 | Chile | 5.60 | 2012 est. |
| 51 | Venezuela | 5.60 | 2012 est. |
| 52 | Togo | 5.60 | 2012 est. |
| 53 | Malaysia | 5.60 | 2012 est. |
| 54 | Benin | 5.40 | 2012 est. |
| 55 | Gambia, The | 5.30 | 2012 est. |
| 56 | Equatorial Guinea | 5.30 | 2012 est. |
| 57 | Belize | 5.30 | 2012 est. |
| 58 | Isle of Man | 5.20 | 2005 |
| 59 | Nicaragua | 5.20 | 2012 est. |
| 60 | Angola | 5.20 | 2012 est. |
| 61 | Bolivia | 5.20 | 2012 est. |
| 62 | Vietnam | 5.20 | 2012 est. |
| 63 | Saudi Arabia | 5.10 | 2012 est. |
| 64 | Kazakhstan | 5.10 | 2012 est. |
| 65 | Monaco | 5.10 | 2011 est. |
| 66 | Costa Rica | 5.10 | 2012 est. |
| 67 | Ecuador | 5.10 | 2012 est. |
| 68 | Oman | 5.00 | 2012 est. |
| 69 | Namibia | 5.00 | 2012 est. |
| 70 | Nepal | 4.90 | 2012 est. |
| 71 | Bahrain | 4.80 | 2012 est. |
| 72 | Djibouti | 4.80 | 2012 est. |
| 73 | Solomon Islands | 4.80 | 2012 est. |
| 74 | Suriname | 4.80 | 2012 est. |
| 75 | Guyana | 4.80 | 2012 est. |
| 76 | Kenya | 4.60 | 2012 est. |
| 77 | Cameroon | 4.60 | 2012 est. |
| 78 | Lesotho | 4.50 | 2012 est. |
| 79 | United Arab Emirates | 4.40 | 2012 est. |
| 80 | Zimbabwe | 4.40 | 2012 est. |
| 81 | Pakistan | 4.40 | 2012 est. |
