CIA - The World Factbook --  HIV/AIDS - deaths   

This entry gives an estimate of the number of adults and children who died of AIDS during a given calendar year.

| Rank | country | HIV/AIDS - deaths | Date of Information |
| --- | --- | --- | --- |
| 1 | South Africa | 310,000 | 2009 est. |
| 2 | Nigeria | 220,000 | 2009 est. |
| 3 | India | 170,000 | 2009 est. |
| 4 | Tanzania | 86,000 | 2009 est. |
| 5 | Zimbabwe | 83,000 | 2009 est. |
| 6 | Kenya | 80,000 | 2009 est. |
| 7 | Mozambique | 74,000 | 2009 est. |
| 8 | Uganda | 64,000 | 2009 est. |
| 9 | Malawi | 51,000 | 2009 est. |
| 10 | Zambia | 45,000 | 2009 est. |
| 11 | Cameroon | 37,000 | 2009 est. |
| 12 | Cote d'Ivoire | 36,000 | 2009 est. |
| 13 | Thailand | 28,000 | 2009 est. |
| 14 | China | 26,000 | 2009 est. |
| 15 | Ukraine | 24,000 | 2009 est. |
| 16 | Ghana | 18,000 | 2009 est. |
| 17 | Burma | 18,000 | 2009 est. |
| 18 | United States | 17,000 | 2009 est. |
| 19 | Burundi | 15,000 | 2009 est. |
| 20 | Lesotho | 14,000 | 2009 est. |
| 21 | Vietnam | 14,000 | 2009 est. |
| 22 | Colombia | 14,000 | 2009 est. |
| 23 | Sudan | 12,000 | 2009 est. |
| 24 | Chad | 11,000 | 2009 est. |
| 25 | Central African Republic | 11,000 | 2009 est. |
| 26 | Angola | 11,000 | 2009 est. |
| 27 | Indonesia | 8,300 | 2009 est. |
| 28 | Togo | 7,700 | 2009 est. |
| 29 | Haiti | 7,100 | 2009 est. |
| 30 | Burkina Faso | 7,100 | 2009 est. |
| 31 | Swaziland | 7,000 | 2009 est. |
| 32 | Namibia | 6,700 | 2009 est. |
| 33 | Iran | 6,400 | 2009 est. |
| 34 | Pakistan | 5,800 | 2009 est. |
| 35 | Botswana | 5,800 | 2009 est. |
| 36 | Malaysia | 5,800 | 2009 est. |
| 37 | Congo, Republic of the | 5,100 | 2009 est. |
| 38 | Peru | 5,000 | 2009 est. |
| 39 | Guinea | 4,700 | 2009 est. |
| 40 | Nepal | 4,700 | 2009 est. |
| 41 | Mali | 4,400 | 2009 est. |
| 42 | Niger | 4,300 | 2009 est. |
| 43 | Rwanda | 4,100 | 2009 est. |
| 44 | Liberia | 3,600 | 2009 est. |
| 45 | Cambodia | 3,100 | 2009 est. |
| 46 | Argentina | 2,900 | 2009 est. |
| 47 | Sierra Leone | 2,800 | 2009 est. |
| 48 | Benin | 2,700 | 2009 est. |
| 49 | Guatemala | 2,600 | 2009 est. |
| 50 | Senegal | 2,600 | 2009 est. |
| 51 | Honduras | 2,500 | 2009 est. |
| 52 | Gabon | 2,400 | 2009 est. |
| 53 | Dominican Republic | 2,300 | 2009 est. |
| 54 | Ecuador | 2,200 | 2009 est. |
| 55 | Eritrea | 1,700 | 2009 est. |
| 56 | Madagascar | 1,700 | 2009 est. |
| 57 | France | 1,700 | 2009 est. |
| 58 | Spain | 1,600 | 2009 est. |
| 59 | Somalia | 1,600 | 2009 est. |
| 60 | Panama | 1,500 | 2009 est. |
| 61 | El Salvador | 1,400 | 2009 est. |
| 62 | Papua New Guinea | 1,300 | 2009 est. |
| 63 | Morocco | 1,200 | 2009 est. |
| 64 | Guinea-Bissau | 1,200 | 2009 est. |
| 65 | Jamaica | 1,200 | 2009 est. |
| 66 | Trinidad and Tobago | 1,000 | 2009 est. |
| 67 | Algeria | 1,000 | 2009 est. |
| 68 | United Kingdom | 1,000 | 2009 est. |
| 69 | Belarus | 1,000 | 2009 est. |
| 70 | Romania | 1,000 | 2009 est. |
| 71 | Bolivia | 1,000 | 2009 est. |
| 72 | Canada | 1,000 | 2009 est. |
| 73 | Djibouti | 1,000 | 2009 est. |
| 74 | Moldova | 1,000 | 2009 est. |
| 75 | Mauritania | 1,000 | 2009 est. |
| 76 | Equatorial Guinea | 1,000 | 2009 est. |
| 77 | Latvia | 1,000 | 2009 est. |
| 78 | Italy | 1,000 | 2009 est. |
| 79 | Germany | 1,000 | 2009 est. |
| 80 | Gambia, The | 1,000 | 2009 est. |
| 81 | Bahamas, The | 500 | 2009 est. |
| 82 | Belize | 500 | 2009 est. |
| 83 | Costa Rica | 500 | 2009 est. |
| 84 | Egypt | 500 | 2009 est. |
| 85 | Estonia | 500 | 2009 est. |
| 86 | Greece | 500 | 2009 est. |
| 87 | Guyana | 500 | 2009 est. |
| 88 | Jordan | 500 | 2003 est. |
| 89 | Kazakhstan | 500 | 2009 est. |
| 90 | Korea, South | 500 | 2009 est. |
| 91 | Kyrgyzstan | 500 | 2009 est. |
| 92 | Lebanon | 500 | 2009 est. |
| 93 | Mauritius | 500 | 2009 est. |
