CIA - The World Factbook --  Household income or consumption by percentage share   

Data on household income or consumption come from household surveys, the results adjusted for household size. Nations use different standards and procedures in collecting and adjusting the data. Surveys based on income will normally show a more unequal distribution than surveys based on consumption. The quality of surveys is improving with time, yet caution is still necessary in making inter-country comparisons.

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Comoros | 55.20 | 2004 |
| 2 | Namibia | 53.00 | 2008 |
| 3 | Haiti | 47.70 | 2001 |
| 4 | Colombia | 45.00 | 2008 |
| 5 | Angola | 44.70 | 2000 |
| 6 | South Africa | 44.70 | 2000 |
| 7 | Bolivia | 44.10 | 2005 |
| 8 | Ecuador | 43.30 | 2007 |
| 9 | Brazil | 43.00 | 2007 |
| 10 | Guatemala | 42.40 | 2006 |
| 11 | Paraguay | 42.30 | 2007 |
| 12 | Honduras | 42.20 | 2006 |
| 13 | Nicaragua | 41.80 | 2005 |
| 14 | Chile | 41.70 | 2006 |
| 15 | Madagascar | 41.50 | 2005 |
| 16 | Panama | 41.40 | 2006 |
| 17 | Armenia | 41.30 | 2004 |
| 18 | Taiwan | 41.10 | 2002 |
| 19 | Guinea | 41.00 | 2006 |
| 20 | Swaziland | 40.70 | 2001 |
| 21 | Cape Verde | 40.60 | 2000 |
| 22 | Nepal | 40.60 | 2008 |
| 23 | Papua New Guinea | 40.50 | 1996 |
| 24 | Zimbabwe | 40.40 | 1995 |
| 25 | Sri Lanka | 39.70 | 2004 |
| 26 | Lesotho | 39.40 | 2003 |
| 27 | Mozambique | 39.20 | 2003 |
| 28 | Zambia | 38.80 | 2004 |
| 29 | Dominican Republic | 38.70 | 2005 |
| 30 | Rwanda | 38.20 | 2000 |
| 31 | Peru | 37.90 | 2006 |
| 32 | Kenya | 37.80 | 2005 |
| 33 | Bhutan | 37.60 | 2003 |
| 34 | Congo, Republic of the | 37.10 | 2005 |
| 35 | El Salvador | 37.00 | 2005 |
| 36 | Gambia, The | 36.90 | 2003 |
| 37 | Mexico | 36.30 | 2008 |
| 38 | Jamaica | 35.80 | 2004 |
| 39 | Niger | 35.70 | 2005 |
| 40 | Costa Rica | 35.50 | 2005 |
