CIA - The World Factbook --  Imports - partners   

| Rank | country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | San Marino | 81.80 | 2012 est. |
| 2 | Nepal | 79.40 | 2013 est. |
| 3 | Korea, North | 73.00 | 2012 est. |
| 4 | Bhutan | 72.30 | 2013 est. |
| 5 | Monaco | 70.40 | 2013 est. |
| 6 | Greenland | 65.40 | 2012 |
| 7 | Sao Tome and Principe | 63.10 | 2012 |
| 8 | Laos | 62.10 | 2012 |
| 9 | Belarus | 59.40 | 2012 |
| 10 | Saint Lucia | 57.40 | 2012 |
| 11 | Kyrgyzstan | 55.20 | 2012 |
| 12 | Zimbabwe | 51.90 | 2012 |
| 13 | Canada | 50.60 | 2012 |
| 14 | Mexico | 49.90 | 2012 |
| 15 | Costa Rica | 49.80 | 2012 |
| 16 | Yemen | 48.80 | 2013 est. |
| 17 | Aruba | 46.40 | 2012 |
| 18 | Bermuda | 46.20 | 2012 |
| 19 | Hong Kong | 44.50 | 2012 est. |
| 20 | Grenada | 44.30 | 2012 |
| 21 | Honduras | 44.30 | 2012 |
| 22 | Dominican Republic | 43.30 | 2012 |
| 23 | Faroe Islands | 42.00 | 2012 |
| 24 | Togo | 40.40 | 2012 |
| 25 | Austria | 40.39 | 2013 est. |
| 26 | Ireland | 39.80 | 2012 |
| 27 | Dominica | 39.30 | 2012 |
| 28 | Cuba | 38.30 | 2012 |
| 29 | Cabo Verde | 38.10 | 2012 |
| 30 | Guatemala | 38.00 | 2012 |
| 31 | Mongolia | 37.50 | 2012 |
| 32 | Benin | 37.20 | 2012 |
| 33 | Burma | 36.90 | 2012 |
| 34 | Zambia | 36.70 | 2012 |
| 35 | Papua New Guinea | 36.30 | 2012 |
| 36 | Jamaica | 36.10 | 2012 |
| 37 | Barbados | 35.90 | 2012 |
| 38 | Tonga | 35.70 | 2012 |
| 39 | El Salvador | 35.40 | 2012 |
| 40 | Haiti | 34.50 | 2012 |
| 41 | New Caledonia | 33.50 | 2012 |
| 42 | Iran | 33.20 | 2012 |
| 43 | Trinidad and Tobago | 33.10 | 2012 |
| 44 | Fiji | 32.80 | 2012 |
| 45 | Macau | 32.60 | 2013 est. |
| 46 | Ukraine | 32.40 | 2012 |
| 47 | Faroe Islands | 32.00 | 2012 |
| 48 | Portugal | 32.00 | 2012 |
| 49 | Albania | 31.90 | 2012 |
| 50 | Saint Kitts and Nevis | 31.70 | 2012 |
| 51 | Venezuela | 31.70 | 2012 |
| 52 | Luxembourg | 30.60 | 2012 |
| 53 | Mozambique | 30.50 | 2012 |
| 54 | Bahamas, The | 30.10 | 2012 |
| 55 | Czech Republic | 29.50 | 2012 |
| 56 | Lithuania | 29.30 | 2013 est. |
