CIA - The World Factbook --  Imports   

This entry provides the total US dollar amount of merchandise imports on a c.i.f. (cost, insurance, and freight) or f.o.b. (free on board) basis. These figures are calculated on an exchange rate basis, i.e., not in purchasing power parity (PPP) terms.

| Rank | country | Imports | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | $ 2,117,000,000,000 | 2008 est. |
| 2 | European Union | $ 1,690,000,000,000 | 2007 |
| 3 | Germany | $ 1,232,000,000,000 | 2008 est. |
| 4 | China | $ 1,074,000,000,000 | 2008 est. |
| 5 | Japan | $ 708,300,000,000 | 2008 est. |
| 6 | France | $ 692,000,000,000 | 2008 est. |
| 7 | United Kingdom | $ 639,300,000,000 | 2008 est. |
| 8 | Italy | $ 546,900,000,000 | 2008 est. |
| 9 | Netherlands | $ 474,800,000,000 | 2008 est. |
| 10 | Korea, South | $ 427,400,000,000 | 2008 est. |
| 11 | Spain | $ 415,500,000,000 | 2008 est. |
| 12 | Canada | $ 415,200,000,000 | 2008 est. |
| 13 | Hong Kong | $ 388,400,000,000 | 2008 est. |
| 14 | Belgium | $ 387,700,000,000 | 2008 est. |
| 15 | India | $ 315,100,000,000 | 2008 est. |
| 16 | Singapore | $ 309,600,000,000 | 2008 est. |
| 17 | Mexico | $ 308,600,000,000 | 2008 est. |
| 18 | Russia | $ 291,900,000,000 | 2008 est. |
| 19 | Taiwan | $ 236,700,000,000 | 2008 est. |
| 20 | Switzerland | $ 227,400,000,000 | 2008 est. |
| 21 | Poland | $ 204,400,000,000 | 2008 est. |
| 22 | Australia | $ 194,200,000,000 | 2008 est. |
| 23 | Turkey | $ 193,900,000,000 | 2008 est. |
| 24 | Austria | $ 179,200,000,000 | 2008 est. |
| 25 | United Arab Emirates | $ 176,300,000,000 | 2008 est. |
| 26 | Brazil | $ 173,100,000,000 | 2008 est. |
| 27 | Sweden | $ 167,800,000,000 | 2008 est. |
| 28 | Thailand | $ 157,300,000,000 | 2008 est. |
| 29 | Malaysia | $ 154,700,000,000 | 2008 est. |
| 30 | Czech Republic | $ 139,400,000,000 | 2008 est. |
| 31 | Denmark | $ 116,400,000,000 | 2008 est. |
| 32 | Indonesia | $ 116,000,000,000 | 2008 est. |
| 33 | Saudi Arabia | $ 108,300,000,000 | 2008 est. |
| 34 | Hungary | $ 106,500,000,000 | 2008 est. |
| 35 | Greece | $ 93,910,000,000 | 2008 est. |
| 36 | South Africa | $ 90,570,000,000 | 2008 est. |
| 37 | Portugal | $ 87,830,000,000 | 2008 est. |
| 38 | Finland | $ 87,510,000,000 | 2008 est. |
| 39 | Norway | $ 85,950,000,000 | 2008 est. |
| 40 | Ireland | $ 84,820,000,000 | 2008 est. |
| 41 | Ukraine | $ 83,810,000,000 | 2008 est. |
| 42 | Romania | $ 76,170,000,000 | 2008 est. |
| 43 | Vietnam | $ 75,470,000,000 | 2008 est. |
| 44 | Slovakia | $ 73,620,000,000 | 2008 est. |
| 45 | Iran | $ 67,250,000,000 | 2008 est. |
| 46 | Israel | $ 64,400,000,000 | 2008 est. |
| 47 | Philippines | $ 60,780,000,000 | 2008 est. |
| 48 | Chile | $ 57,610,000,000 | 2008 est. |
| 49 | Egypt | $ 56,620,000,000 | 2008 est. |
| 50 | Argentina | $ 54,560,000,000 | 2008 est. |
| 51 | Venezuela | $ 48,100,000,000 | 2008 est. |
| 52 | Nigeria | $ 46,300,000,000 | 2008 est. |
| 53 | Morocco | $ 39,350,000,000 | 2008 est. |
| 54 | Algeria | $ 39,160,000,000 | 2008 est. |
| 55 | Belarus | $ 39,160,000,000 | 2008 est. |
| 56 | Kazakhstan | $ 38,450,000,000 | 2008 est. |
| 57 | Pakistan | $ 38,190,000,000 | 2008 est. |
| 58 | Colombia | $ 37,560,000,000 | 2008 est. |
| 59 | Iraq | $ 37,220,000,000 | 2008 est. |
| 60 | Bulgaria | $ 35,640,000,000 | 2008 est. |
| 61 | Slovenia | $ 33,490,000,000 | 2008 est. |
| 62 | New Zealand | $ 32,760,000,000 | 2008 est. |
| 63 | Croatia | $ 30,420,000,000 | 2008 est. |
| 64 | Lithuania | $ 29,300,000,000 | 2008 est. |
| 65 | Peru | $ 28,440,000,000 | 2008 est. |
