CIA - The World Factbook --  INDUSTRIAL PRODUCTION GROWTH RATE

Industrial production growth rate compares the annual percentage increase in industrial production (includes manufacturing, mining, and construction).

| Rank | Country | (%) | Date of Information |
| --- | --- | --- | --- |
| 1 | Ethiopia | 21.60 | 2015 est. |
| 2 | Monaco | 20.00 | 2013 |
| 3 | Maldives | 14.00 | 2012 est. |
| 4 | Burma | 13.70 | 2015 est. |
| 5 | Cambodia | 11.70 | 2015 est. |
| 6 | Tanzania | 11.60 | 2015 est. |
| 7 | Tonga | 10.90 | 2015 est. |
| 8 | Iraq | 10.80 | 2015 est. |
| 9 | Papua New Guinea | 10.80 | 2015 est. |
| 10 | Saint Kitts and Nevis | 10.00 | 2015 est. |
| 11 | Cuba | 9.80 | 2015 est. |
| 12 | Bangladesh | 9.70 | 2015 est. |
| 13 | Vietnam | 9.60 | 2015 est. |
| 14 | Togo | 9.10 | 2015 est. |
| 15 | Guyana | 9.00 | 2015 est. |
| 16 | Mongolia | 8.80 | 2015 est. |
| 17 | Cote d'Ivoire | 8.70 | 2015 est. |
| 18 | Mozambique | 8.60 | 2015 est. |
| 19 | Dominican Republic | 8.50 | 2015 est. |
| 20 | Macedonia | 7.80 | 2015 est. |
| 21 | Senegal | 7.70 | 2015 est. |
| 22 | Laos | 7.50 | 2015 est. |
| 23 | Slovakia | 7.40 | 2015 est. |
| 24 | India | 7.40 | 2015 est. |
| 25 | Cameroon | 7.20 | 2015 est. |
| 26 | Benin | 6.80 | 2015 est. |
| 27 | Nicaragua | 6.50 | 2015 est. |
| 28 | Rwanda | 6.50 | 2015 est. |
| 29 | Uganda | 6.50 | 2015 est. |
| 30 | Sudan | 6.10 | 2015 est. |
| 31 | Kenya | 6.10 | 2015 est. |
| 32 | Congo, Democratic Republic of the | 6.10 | 2015 est. |
| 33 | Philippines | 6.00 | 2015 est. |
| 34 | China | 6.00 | 2015 est. |
| 35 | Malta | 5.90 | 2015 |
| 36 | Panama | 5.90 | 2015 est. |
| 37 | Hungary | 5.80 | 2015 est. |
| 38 | Malaysia | 5.50 | 2015 est. |
| 39 | Poland | 5.40 | 2015 est. |
| 40 | Namibia | 5.10 | 2015 est. |
| 41 | Sweden | 4.80 | 2015 est. |
| 42 | Pakistan | 4.80 | 2015 est. |
| 43 | Serbia | 4.70 | 2015 est. |
| 44 | Bhutan | 4.60 | 2015 est. |
| 45 | Solomon Islands | 4.60 | 2015 est. |
| 46 | Montenegro | 4.50 | 2013 est. |
| 47 | Djibouti | 4.50 | 2015 est. |
| 48 | Czechia | 4.50 | 2015 est. |
| 49 | Madagascar | 4.10 | 2015 est. |
| 50 | Malawi | 4.10 | 2015 est. |
| 51 | Niger | 4.00 | 2015 est. |
| 52 | Macau | 4.00 | 2015 est. |
| 53 | Gambia, The | 4.00 | 2015 est. |
| 54 | Saudi Arabia | 4.00 | 2015 est. |
| 55 | Central African Republic | 4.00 | 2015 est. |
| 56 | Tajikistan | 4.00 | 2015 est. |
| 57 | Burkina Faso | 4.00 | 2015 est. |
| 58 | Uzbekistan | 4.00 | 2015 est. |
| 59 | Spain | 3.90 | 2015 est. |
| 60 | Sao Tome and Principe | 3.80 | 2015 est. |
| 61 | Guatemala | 3.70 | 2015 est. |
| 62 | Saint Lucia | 3.50 | 2015 est. |
| 63 | Gaza Strip | 3.40 | |
| 64 | Faroe Islands | 3.40 | 2009 est. |
| 65 | Romania | 3.30 | 2015 est. |
| 66 | Turkey | 3.30 | 2015 est. |
| 67 | Slovenia | 3.30 | 2015 est. |
| 68 | Honduras | 3.20 | 2015 est. |
| 69 | Haiti | 3.20 | 2015 est. |
| 70 | Georgia | 3.20 | 2015 est. |
| 71 | Bosnia and Herzegovina | 3.20 | 2015 est. |
| 72 | Israel | 3.20 | 2015 est. |
| 73 | Morocco | 3.00 | 2015 est. |
| 74 | Ireland | 3.00 | 2015 est. |
| 75 | Turks and Caicos Islands | 3.00 | 2015 est. |
| 76 | Sri Lanka | 3.00 | 2015 est. |
| 77 | Guinea-Bissau | 3.00 | 2015 est. |
| 78 | European Union | 2.90 | 2015 est. |
| 79 | Fiji | 2.80 | 2015 est. |
| 80 | Iran | 2.70 | 2015 est. |
| 81 | Indonesia | 2.70 | 2015 est. |
| 82 | Bulgaria | 2.70 | 2015 est. |
| 83 | New Caledonia | 2.60 | 2015 est. |
| 84 | Bolivia | 2.60 | 2015 est. |
| 85 | Armenia | 2.50 | 2015 est. |
| 86 | Gabon | 2.50 | 2015 est. |
| 87 | Mauritania | 2.50 | 2015 est. |
| 88 | Somalia | 2.50 | 2013 est. |
| 89 | United Arab Emirates | 2.40 | 2015 est. |
| 90 | Paraguay | 2.40 | 2015 est. |
| 91 | Azerbaijan | 2.40 | 2015 est. |
| 92 | Albania | 2.30 | 2015 est. |
| 93 | Latvia | 2.20 | 2015 est. |
| 94 | Jordan | 2.20 | 2015 est. |
| 95 | El Salvador | 2.20 | 2015 est. |
| 96 | Bermuda | 2.20 | 2015 est. |
| 97 | Bahrain | 2.20 | 2015 est. |
| 98 | Thailand | 2.20 | 2015 est. |
| 99 | Saint Vincent and the Grenadines | 2.20 | 2015 est. |
| 100 | Seychelles | 2.20 | 2015 est. |
| 101 | Algeria | 2.10 | 2015 est. |
| 102 | Jamaica | 2.10 | 2015 est. |
| 103 | Antigua and Barbuda | 2.00 | 2015 est. |
| 104 | Anguilla | 2.00 | 2015 est. |
| 105 | Colombia | 2.00 | 2015 est. |
| 106 | Grenada | 2.00 | 2015 est. |
| 107 | Montserrat | 2.00 | 2015 est. |
| 108 | Mauritius | 2.00 | 2015 est. |
| 109 | Suriname | 2.00 | 2015 est. |
| 110 | Qatar | 2.00 | 2015 est. |
| 111 | Turkmenistan | 2.00 | 2015 est. |
| 112 | United Kingdom | 2.00 | 2015 est. |
| 113 | Croatia | 1.90 | 2015 est. |
