CIA - The World Factbook --  INFANT MORTALITY RATE

Infant mortality rate compares the number of deaths of infants under one year old in a given year per 1,000 live births in the same year. This rate is often used as an indicator of the level of health in a country.

| Rank | Country | (DEATHS/1,000 LIVE BIRTHS) | Date of Information |
| --- | --- | --- | --- |
| 1 | Afghanistan | 112.80 | 2016 est. |
| 2 | Mali | 100.00 | 2016 est. |
| 3 | Somalia | 96.60 | 2016 est. |
| 4 | Central African Republic | 88.40 | 2016 est. |
| 5 | Guinea-Bissau | 87.50 | 2016 est. |
| 6 | Chad | 87.00 | 2016 est. |
| 7 | Niger | 82.80 | 2016 est. |
| 8 | Angola | 76.50 | 2016 est. |
| 9 | Burkina Faso | 73.80 | 2016 est. |
| 10 | Nigeria | 71.20 | 2016 est. |
| 11 | Sierra Leone | 70.00 | 2016 est. |
| 12 | Congo, Democratic Republic of the | 69.80 | 2016 est. |
| 13 | Mozambique | 67.90 | 2016 est. |
| 14 | Equatorial Guinea | 67.20 | 2016 est. |
| 15 | Liberia | 65.80 | 2016 est. |
| 16 | South Sudan | 64.60 | 2016 est. |
| 17 | Zambia | 62.90 | 2016 est. |
| 18 | Gambia, The | 62.00 | 2016 est. |
| 19 | Comoros | 61.80 | 2016 est. |
| 20 | Burundi | 60.40 | 2016 est. |
| 21 | Uganda | 57.60 | 2016 est. |
| 22 | Cote d'Ivoire | 57.20 | 2016 est. |
| 23 | Rwanda | 56.80 | 2016 est. |
| 24 | Congo, Republic of the | 56.40 | 2016 est. |
| 25 | Benin | 54.20 | 2016 est. |
| 26 | Pakistan | 53.90 | 2016 est. |
| 27 | Western Sahara | 53.30 | 2016 est. |
| 28 | Mauritania | 53.30 | 2016 est. |
| 29 | Cameroon | 52.20 | 2016 est. |
| 30 | Guinea | 51.70 | 2016 est. |
| 31 | Laos | 51.40 | 2016 est. |
| 32 | Ethiopia | 51.10 | 2016 est. |
| 33 | Swaziland | 50.40 | 2016 est. |
| 34 | Senegal | 50.30 | 2016 est. |
| 35 | Sudan | 50.20 | 2016 est. |
| 36 | Cambodia | 48.70 | 2016 est. |
| 37 | Haiti | 48.20 | 2016 est. |
| 38 | Lesotho | 47.60 | 2016 est. |
| 39 | Yemen | 47.40 | 2016 est. |
| 40 | Djibouti | 47.20 | 2016 est. |
| 41 | Sao Tome and Principe | 46.60 | 2016 est. |
| 42 | Eritrea | 45.60 | 2016 est. |
| 43 | Gabon | 45.10 | 2016 est. |
| 44 | Malawi | 44.80 | 2016 est. |
| 45 | Togo | 43.70 | 2016 est. |
| 46 | Madagascar | 42.40 | 2016 est. |
| 47 | Burma | 42.20 | 2016 est. |
| 48 | Tanzania | 41.20 | 2016 est. |
| 49 | India | 40.50 | 2016 est. |
| 50 | Kenya | 38.30 | 2016 est. |
| 51 | Iraq | 37.50 | 2016 est. |
| 52 | Papua New Guinea | 37.40 | 2016 est. |
| 53 | Iran | 37.10 | 2016 est. |
| 54 | Namibia | 36.40 | 2016 est. |
| 55 | Bolivia | 36.40 | 2016 est. |
| 56 | Ghana | 36.30 | 2016 est. |
| 57 | Timor-Leste | 36.30 | 2016 est. |
| 58 | Turkmenistan | 35.50 | 2016 est. |
| 59 | Bhutan | 33.90 | 2016 est. |
| 60 | Kiribati | 33.20 | 2016 est. |
| 61 | Bangladesh | 32.90 | 2016 est. |
| 62 | Tajikistan | 32.80 | 2016 est. |
| 63 | South Africa | 32.00 | 2016 est. |
| 64 | Guyana | 31.50 | 2016 est. |
| 65 | Tuvalu | 29.90 | 2016 est. |
| 66 | Nepal | 28.90 | 2016 est. |
| 67 | Kyrgyzstan | 26.80 | 2016 est. |
| 68 | Zimbabwe | 25.90 | 2016 est. |
| 69 | Suriname | 25.30 | 2016 est. |
| 70 | Azerbaijan | 24.70 | 2016 est. |
| 71 | Indonesia | 23.50 | 2016 est. |
| 72 | Trinidad and Tobago | 23.00 | 2016 est. |
| 73 | Korea, North | 22.90 | 2016 est. |
| 74 | Maldives | 22.90 | 2016 est. |
| 75 | Morocco | 22.70 | 2016 est. |
| 76 | Cabo Verde | 22.70 | 2016 est. |
| 77 | Guatemala | 22.00 | 2016 est. |
| 78 | Philippines | 21.90 | 2016 est. |
